nQuality	nHpStage	szDropConfig	tbArrival	tbArrival2
1	0	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp60.tab	Contrib|400	Contrib|500
1	10	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp60.tab	Contrib|480	Contrib|500
1	30	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp60.tab	Contrib|560	Contrib|600
1	50	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp60.tab	Contrib|640	Contrib|700
1	60	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp70.tab	Contrib|640	Contrib|800
1	70	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp80.tab	Contrib|720	Contrib|800
1	80	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp90.tab	Contrib|720	Contrib|900
1	90	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp100.tab	Contrib|800	Contrib|1000
2	0	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp60.tab	Contrib|500	Contrib|625
2	10	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp60.tab	Contrib|600	Contrib|625
2	30	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp60.tab	Contrib|700	Contrib|750
2	50	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp60.tab	Contrib|800	Contrib|875
2	60	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp70.tab	Contrib|800	Contrib|1000
2	70	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp80.tab	Contrib|900	Contrib|1000
2	80	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp90.tab	Contrib|900	Contrib|1125
2	90	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp100.tab	Contrib|1000	Contrib|1250
3	0	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp60.tab	Contrib|750	Contrib|935
3	10	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp60.tab	Contrib|900	Contrib|935
3	30	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp60.tab	Contrib|1050	Contrib|1125
3	50	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp60.tab	Contrib|1200	Contrib|1315
3	60	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp70.tab	Contrib|1200	Contrib|1500
3	70	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp80.tab	Contrib|1350	Contrib|1500
3	80	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp90.tab	Contrib|1350	Contrib|1688
3	90	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp100.tab	Contrib|1500	Contrib|1875
4	0	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp60.tab	Contrib|1000	Contrib|1250
4	10	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp60.tab	Contrib|1200	Contrib|1250
4	30	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp60.tab	Contrib|1400	Contrib|1500
4	50	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp60.tab	Contrib|1600	Contrib|1750
4	60	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp70.tab	Contrib|1600	Contrib|2000
4	70	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp80.tab	Contrib|1800	Contrib|2000
4	80	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp90.tab	Contrib|1800	Contrib|2250
4	90	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp100.tab	Contrib|2000	Contrib|2500
5	0	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp60.tab	Contrib|1500	Contrib|1875
5	10	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp60.tab	Contrib|1800	Contrib|1875
5	30	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp60.tab	Contrib|2100	Contrib|2250
5	50	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp60.tab	Contrib|2400	Contrib|2625
5	60	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp70.tab	Contrib|2400	Contrib|3000
5	70	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp80.tab	Contrib|2700	Contrib|3000
5	80	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp90.tab	Contrib|2700	Contrib|3375
5	90	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp100.tab	Contrib|3000	Contrib|3750
