ItemId	MaxItemCount	Desc	TypeName	OrgPrice	Price1	Price2	Price3	Price4	Price5	Price6	Price7	Price8	Price9	MaxPriceRate1	MaxPriceRate2	MaxPriceRate3	MaxPriceRate4	MaxPriceRate5	MaxPriceRate6	MaxPriceRate7	MaxPriceRate8	MaxPriceRate9
1526	1	高级附魔石	消耗品	5000	5000	5000	5000	5000	5000	5000	5000	5000		25	25	25	25	25	25	25	25	25
1392	1	2级附魔石·攻击	消耗品	2000	2000	2000	2000	2000	2000	2000	2000	2000		25	25	25	25	25	25	25	25	25
3714	1	洗髓经·上卷	消耗品	500	500	500	500	500	500	500	500	500		25	25	25	25	25	25	25	25	25
3715	1	洗髓经·中卷	消耗品	750	750	750	750	750	750	750	750	750		25	25	25	25	25	25	25	25	25
1430	1	武林秘籍·上卷	消耗品	500	500	500	500	450	450	400	400	350		25	25	25	25	25	25	25	25	25
1431	1	武林秘籍·中卷	消耗品	750	750	750	750	750	750	675	675	600		25	25	25	25	25	25	25	25	25
1432	1	武林秘籍·下卷	消耗品	1000	1000	1000	1000	1000	1000	1000	1000	1000		25	25	25	25	25	25	25	25	25
2424	20	门派信物	消耗品	20	20	20	20	20	20	20	20	20		25	25	25	25	25	25	25	25	25
2527	20	马牌	消耗品	60	60	60	60	60	60	60	60	60		25	25	25	25	25	25	25	25	25
2396	1	高级修为书	消耗品	1000	1000	1000	1000	1000	1000	1000	1000	1000		25	25	25	25	20	15	15	12	12
2804	1	和氏璧	消耗品	600	600	600	600	600	600	600	600	600		25	25	25	25	25	20	15	12	10
788	1	高级藏宝图	消耗品	200	200	200	200	200	200	200	200	200		25	25	25	25	25	25	20	20	20
4462	5	元气瓶（小）	消耗品	100	100	100	100	100	100	100	100	100		25	25	25	25	25	25	25	25	25
4816	5	元气瓶（中）	消耗品	300	300	300	300	300	300	300	300	300		25	25	25	25	25	25	25	25	25
4817	1	元气瓶（大）	消耗品	1000	1000	1000	1000	1000	1000	1000	1000	1000		25	25	25	25	25	25	25	25	25
1397	1	传说令	头衔令牌	5000	5000	5000	5000	5000	5000	5000	5000	5000		25	25	25	25	25	25	25	25	25
1396	1	皇帝令	头衔令牌	3000	3000	3000	3000	3000	3000	3000	3000	3000		25	25	25	25	25	25	25	25	20
1395	1	逐鹿令	头衔令牌	1000	1000	1000	1000	1000	1000	1000	1000	1000		25	25	25	25	25	20	15	12	10
1394	1	名将令	头衔令牌	500	500	500	500	500	500	500	500	500		25	25	25	20	18	15	12	10	10
1393	1	盟主令	头衔令牌	300	300	300	300	300	300	300	300	300		25	25	20	15	15	12	12	10	10
5561	1	T11稀有武器	装备	28500	28500	28500	28500	28500	28500	28500	28500	28500		25	25	25	25	25	25	25	25	25
5621	1	T11稀有衣服	装备	17100	17100	17100	17100	17100	17100	17100	17100	17100		25	25	25	25	25	25	25	25	25
5571	1	T11稀有项链	装备	11400	11400	11400	11400	11400	11400	11400	11400	11400		25	25	25	25	25	25	25	25	25
5581	1	T11稀有戒指	装备	11400	11400	11400	11400	11400	11400	11400	11400	11400		25	25	25	25	25	25	25	25	25
5591	1	T11稀有玉佩	装备	11400	11400	11400	11400	11400	11400	11400	11400	11400		25	25	25	25	25	25	25	25	25
5601	1	T11稀有护身符	装备	11400	11400	11400	11400	11400	11400	11400	11400	11400		25	25	25	25	25	25	25	25	25
5611	1	T11稀有帽子	装备	5700	5700	5700	5700	5700	5700	5700	5700	5700		25	25	25	25	25	25	25	25	25
5631	1	T11稀有护腕	装备	5700	5700	5700	5700	5700	5700	5700	5700	5700		25	25	25	25	25	25	25	25	25
5641	1	T11稀有腰带	装备	5700	5700	5700	5700	5700	5700	5700	5700	5700		25	25	25	25	25	25	25	25	25
5651	1	T11稀有鞋子	装备	5700	5700	5700	5700	5700	5700	5700	5700	5700		25	25	25	25	25	25	25	25	25
1131	1	T10稀有武器	装备	22500	22500	22500	22500	22500	22500	22500	22500	22500		25	25	25	25	25	25	25	25	25
1191	1	T10稀有衣服	装备	13500	13500	13500	13500	13500	13500	13500	13500	13500		25	25	25	25	25	25	25	25	25
1141	1	T10稀有项链	装备	9000	9000	9000	9000	9000	9000	9000	9000	9000		25	25	25	25	25	25	25	25	25
1151	1	T10稀有戒指	装备	9000	9000	9000	9000	9000	9000	9000	9000	9000		25	25	25	25	25	25	25	25	25
1161	1	T10稀有玉佩	装备	9000	9000	9000	9000	9000	9000	9000	9000	9000		25	25	25	25	25	25	25	25	25
1171	1	T10稀有护身符	装备	9000	9000	9000	9000	9000	9000	9000	9000	9000		25	25	25	25	25	25	25	25	25
1181	1	T10稀有帽子	装备	4500	4500	4500	4500	4500	4500	4500	4500	4500		25	25	25	25	25	25	25	25	25
1201	1	T10稀有护腕	装备	4500	4500	4500	4500	4500	4500	4500	4500	4500		25	25	25	25	25	25	25	25	25
