ItemId	Desc	ItemCount1	ItemCount2	ItemCount3	ItemCount4	ItemCount5	ItemCount6	ItemCount7	ItemCount8	ItemCount9	ItemCount10
1394	名将令	3									
1395	逐鹿令		3								
1396	帝皇令				1						
2794	黄金图谱·武器					0.5	0.5	0.5	0.5		
2796	黄金图谱·帽子				0.5	0.5	0.5	0.5	0.5		
2800	黄金图谱·项链				0.5	0.5	0.5	0.5	0.5		
2795	黄金图谱·衣服				0.5	0.5	0.5	0.5	0.5		
2802	黄金图谱·玉佩					0.5	0.5	0.5	0.5		
2797	黄金图谱·腰带				0.5	0.5	0.5	0.5	0.5		
2804	和氏璧				10	10	10	10	10		
4462	元气瓶（小）		5	5	5	5	5	5	5		
4816	元气瓶（中）		5	5	5	5	5	5	5		
4817	元气瓶（大）		5	5	5	5	5	5	5		
2424	门派信物		60			60					
2527	马牌			60		60		60			
3445	赤金驭天绳				1	1	1				
3455	赤金驭天蹬				1	1	1				
3450	赤金驭天鞍				1	1	1				
3179	SS同伴任选箱				1	1	1	1	1		
3693	SS本命武器任选箱				1	1	1	1	1		
3701	S本命武器任选箱		2	2	1	1	1	1	1		
1430	武林秘籍·上卷	3	10								
1431	武林秘籍·中卷		10	10							
1432	武林秘籍·下卷						10	10			
3714	洗髓经·上卷				3	3	3	3	3		
3715	洗髓经·中卷						3	3	3		
2396	高级修为书		10	10		0.5	0.5				
4873	初级魂石·宋秋石					0.5	0.5	0.5	0.5		
4874	初级魂石·古嫣然					0.5	0.5	0.5	0.5		
3709	初级魂石·年兽		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2824	初级魂石·玄天武机				0.5	0.5	0.5	0.5	0.5		
2825	初级魂石·白起				0.5	0.5	0.5	0.5	0.5		
2826	初级魂石·李斯				0.5	0.5	0.5	0.5	0.5		
2696	初级魂石·完颜洪烈		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2528	初级魂石·杨瑛		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2529	初级魂石·清晓师太		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2530	初级魂石·祝子虚		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2531	初级魂石·黄玉英		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2532	初级魂石·道一真人		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2533	初级魂石·端木睿		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2534	初级魂石·孟知秋		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2535	初级魂石·李显忠		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2536	初级魂石·徒单克宁		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
4540	初级魂石·冰鳞蜥皇							0.5	0.5		
4541	初级魂石·银钩蝎皇							0.5	0.5		
4542	初级魂石·狂鬃獒皇							0.5	0.5		
1754	初级魂石·赤睛虎皇				0.5	0.5	0.5	0.5	0.5		
1755	初级魂石·撼天熊皇				0.5	0.5	0.5	0.5	0.5		
1756	初级魂石·紫背鳄皇				0.5	0.5	0.5	0.5	0.5		
1757	初级魂石·定海金刚		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
1758	初级魂石·金翅鹏皇		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
1759	初级魂石·银角犀皇		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2668	初级魂石·独孤剑		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2674	初级魂石·岳飞			0.5	0.5	0.5	0.5	0.5	0.5		
2673	初级魂石·虞姬			0.5	0.5	0.5	0.5	0.5	0.5		
2672	初级魂石·荆轲			0.5	0.5	0.5	0.5	0.5	0.5		
2848	初级魂石·玄因			0.5	0.5	0.5	0.5	0.5	0.5		
2880	初级魂石·南宫飞云			0.5	0.5	0.5	0.5	0.5	0.5		
2881	初级魂石·杨影枫				0.5	0.5	0.5	0.5	0.5		
3022	初级魂石·雷				0.5	0.5	0.5	0.5	0.5		
3215	初级魂石·李元霸					0.5	0.5	0.5	0.5		
3216	初级魂石·赵云					0.5	0.5	0.5	0.5		
3217	初级魂石·李广					0.5	0.5	0.5	0.5		
3371	初级魂石·尹含烟					0.5	0.5	0.5	0.5		
3372	初级魂石·璇玑子					0.5	0.5	0.5	0.5		
3373	初级魂石·玄天道人					0.5	0.5	0.5	0.5		
3856	初级魂石·唐仇					0.5	0.5	0.5	0.5		
3854	初级魂石·黑面郎君					0.5	0.5	0.5	0.5		
3855	初级魂石·何人我					0.5	0.5	0.5	0.5		
4282	1阶稀有真元（未鉴定）		2								
4283	2阶稀有真元（未鉴定）			2							
4284	3阶稀有真元（未鉴定）				2						
4285	4阶稀有真元（未鉴定）					2					
4286	5阶稀有真元（未鉴定）						2				
4287	6阶稀有真元（未鉴定）							2			
4288	7阶稀有真元（未鉴定）								2		
