CGID	Des	Event	Param1	Param2	Param3	Param4	Param5	Param6
1	隐藏UI	SetAllUiVisable	0					
1	镜头动画	PlayCameraAnimation	Scenes/camera/xsc_cam1.controller					
1	关闭ui	CloseWindow	BgBlackAll					
1	屏蔽玩家	ShowAllRepresentObj	0					
1	显示玩家	ShowPlayer	1					
1	播放特效	PlayEffect	9110	0	0	0	1	
1	禁止操作	ForbiddenOperation	1					
1	特效动画	PlayCameraEffect	9109					
1	显示其他玩家	ShowAllRepresentObj	1	149				
1	打开ui	OpenWindow	InterludeDescribePanel					
1	关闭ui	CloseWindowTimer	InterludeDescribePanel	143				
1		End	147					
