NpcType	ChatID	Name	ActionID	ActionEvent	ActionLoop	Content
0	1	问好	1	10002	1	在下「$M」，请多指教！
0	2	大笑	2	10002	1	哈哈哈~
0	3	愤怒	3	10002	1	哼~岂有此理！
0	4	跪拜	4	10001	1	是在下输了！
0	5	干杯	5	10002	1	来来来~干杯！
0	6	哭泣	6	10002	1	实在是太过分了，呜呜呜……
0	7	跳舞	7	10002	1	跟着我的音乐，跟着我的节奏，动次打次…动次打次…
2353|2354|2355|2356|2357|2358|2359|2360|2361	1	问好	1	10002	1	在下「$M」，请多指教！
2353|2354|2355|2356|2357|2358|2359|2360|2361	2	大笑	2	10002	1	哈哈哈~
2353|2354|2355|2356|2357|2358|2359|2360|2361	3	跪拜	3	10005	1	是在下输了！
2353|2354|2355|2356|2357|2358|2359|2360|2361	4	干杯	5	10002	1	来来来~干杯！
2353|2354|2355|2356|2357|2358|2359|2360|2361	5	跳舞	6	10002	1	跟着我的音乐，跟着我的节奏，动次打次…动次打次…
2353|2354|2355|2356|2357|2358|2359|2360|2361	6	作揖	7	10002	1	在下「$M」，请多指教！
