szHelpKey	szBigTitle	nHead	nIndex	szTitle	Function	FunParam	szContent
BossHelp	武林盟主须知		1	积分获取			挑战盟主，根据对武林盟主造成的伤害换算成积分，积分比例会跟随盟主血量变化，盟主生命在[FFFE0D] 60% [-]以下获得[FFFE0D] 2倍积分 [-]，[FFFE0D] 30% [-]以下获得[FFFE0D] 3倍积分 [-]\n抢夺积分，击败[FFFE0D] 非好友 [-]和[FFFE0D] 非家族成员 [-]侠士即可抢夺[FFFE0D] 一定比例的积分 [-]。
BossHelp	武林盟主须知		2	抢分规则			每击败对方的一名[FFFE0D] 同伴 [-]获得[FFFE0D] 少量 [-]积分，击败对方[FFFE0D] 角色 [-]获得[FFFE0D] 大量 [-]积分；\n抢夺积分后双方结为仇人，被抢夺的侠士获得保护时间；\n不可挑战头衔高于自身三阶的侠士
BossHelp	武林盟主须知		3	挑战规则			挑战盟主与抢夺积分均有[FFFE0D] 3分钟 [-]的冷却时间，两者的冷却时间分别计算，进入战斗就将开始计算冷却。
BossHelp	武林盟主须知		4	家族奖励			根据[FFFE0D] 家族积分排名 [-]结算，奖励将进行家族拍卖，[FFFE0D]参与者越多 [-]奖励越多；家族积分，即本次获得，所有家族参与成员的[FFFE0D] 积分总和 [-]；\n成员奖励，根据家族最终的[FFFE0D] 总积分排名 [-]给予每名成员额外的贡献；
BossHelp	武林盟主须知		5	个人奖励			个人奖励，根据个人积分最终排名获得[FFFE0D] 贡献 [-] 奖励，排名越高贡献越多；
RankHelp	武神殿须知		1	挑战规则			挑战次数，每[FFFE0D] 4小时 [-]回复1次挑战次数，最多回复到[FFFE0D] 10次[-]；\n挑战奖励，挑战将获得经验，挑战成功获得的经验值略高于挑战失败。
RankHelp	武神殿须知		2	排名奖励			每天晚上[FFFE0D] 22:00 [-]点，将根据侠士当前排名发放[FFFE0D] 荣誉[-]，荣誉将自动兑换为[FFFE0D] 武神黄金箱 [-]与[FFFE0D] 武神白银箱[-]。\n每[FFFE0D] 1000荣誉 [-]兑换一个[FFFE0D] 武神黄金箱 [-]；每[FFFE0D] 500荣誉 [-]兑换一个[FFFE0D] 武神白银箱 [-]
RankHelp	武神殿须知		3	奖励规则			排名[FFFE0D] 前400[-]，将优先自动兑换[FFFE0D] 武神黄金箱[-]，然后兑换[FFFE0D] 武神白银箱[-]；\n排名[FFFE0D] 400以后[-]，荣誉不可兑换[FFFE0D] 武神黄金箱[-]，仅自动兑换[FFFE0D] 武神白银箱[-]；\n兑换完毕后的[FFFE0D] 武神宝箱 [-]需手动领取，剩余荣誉将累积；
RankHelp	武神殿须知		4	奖励保留			[FFFE0D]仅保留一次 [-]宝箱奖励，侠士们要记得每天晚上[FFFE0D] 22:00 [-]点来领取奖励，否则下次结算可能会被替换为新的奖励哦！
FubenHelp	关卡须知		1	星级奖励			每一章的关卡拿到7星、14星、21星时可分别领取一份奖励，星级奖励只与[FFFE0D] 通关时间 [-]有关，三星通关后即可对该关卡进行扫荡！
