Level	FightPower
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	300
11	300
12	300
13	300
14	300
15	300
16	300
17	300
18	300
19	300
20	800
21	800
22	1000
23	1000
24	1200
25	1200
26	1200
27	1200
28	1200
29	1200
30	2400
31	2400
32	2400
33	2400
34	2400
35	3600
36	3600
37	3600
38	4800
39	4800
40	7200
41	7200
42	7200
43	7200
44	7200
45	12000
46	12000
47	12000
48	18000
49	18000
50	21000
51	24000
52	27000
53	30000
54	33000
55	36000
56	39000
57	42000
58	45000
59	48000
60	55200
61	62400
62	69600
63	76800
64	84000
65	91200
66	98400
67	105600
68	112800
69	120000
70	138000
71	156000
72	174000
73	192000
74	210000
75	228000
76	246000
77	264000
78	282000
79	300000
80	330000
81	360000
82	390000
83	420000
84	450000
85	480000
86	510000
87	540000
88	570000
89	600000
90	660000
91	720000
92	780000
93	840000
94	900000
95	960000
96	1020000
97	1080000
98	1140000
99	1200000
100	1250000
101	1300000
102	1350000
103	1400000
104	1450000
105	1500000
106	1550000
107	1600000
108	1650000
109	1700000
110	1750000
111	1800000
112	1900000
113	2000000
114	2100000
115	2200000
116	2300000
117	2400000
118	2500000
119	2600000
120	2700000
121	2800000
122	2900000
123	3000000
124	3100000
125	3200000
126	3300000
127	3400000
128	3500000
129	3600000
130	3700000
