Level	FightPower
1	20
2	40
3	60
4	100
5	100
6	100
7	100
8	200
9	200
10	500
11	600
12	600
13	700
14	800
15	900
16	900
17	1000
18	1100
19	1100
20	2900
21	3200
22	3700
23	4000
24	4600
25	4900
26	5000
27	5200
28	5400
29	5600
30	12000
31	12000
32	13000
33	13000
34	14000
35	15000
36	16000
37	16000
38	18000
39	18000
40	47000
41	48000
42	49000
43	50000
44	50000
45	56000
46	56000
47	57000
48	64000
49	65000
50	95000
51	96000
52	97000
53	98000
54	100000
55	110000
56	110000
57	120000
58	120000
59	120000
60	180000
61	180000
62	190000
63	190000
64	190000
65	210000
66	210000
67	220000
68	220000
69	220000
70	410000
71	410000
72	420000
73	420000
74	420000
75	480000
76	480000
77	490000
78	490000
79	490000
80	1100000
81	1100000
82	1100000
83	1100000
84	1100000
85	1200000
86	1200000
87	1200000
88	1200000
89	1200000
90	1560000
91	1570000
92	1590000
93	1610000
94	1620000
95	1640000
96	1650000
97	1670000
98	1690000
99	1700000
100	1720000
101	1920000
102	1940000
103	1960000
104	1970000
105	1990000
106	2010000
107	2020000
108	2040000
109	2050000
110	2070000
111	2498336
112	2514836
113	2531336
114	2547836
115	2564336
116	2580836
117	2597336
118	2613836
119	2630336
120	2646836
121	2746836
122	2846836
123	2946836
124	3046836
125	3146836
126	3246836
127	3346836
128	3446836
129	3546836
130	3646836
