Level	FightPower
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	3000
61	9900
62	16800
63	23700
64	30600
65	37500
66	44400
67	51300
68	58200
69	65100
70	72000
71	75600
72	79200
73	82800
74	86400
75	90000
76	93600
77	97200
78	100800
79	104400
80	108000
81	111600
82	115200
83	118800
84	122400
85	126000
86	129600
87	133200
88	136800
89	140400
90	144000
91	147600
92	151200
93	154800
94	158400
95	162000
96	165600
97	169200
98	172800
99	176400
100	180000
101	183600
102	187200
103	190800
104	194400
105	198000
106	201600
107	205200
108	208800
109	212400
110	216000
111	219600
112	223200
113	226800
114	230400
115	234000
116	237600
117	241200
118	244800
119	248400
120	252000
121	255600
122	259200
123	262800
124	266400
125	270000
126	273600
127	277200
128	280800
129	284400
130	288000
131	291600
132	295200
133	298800
134	302400
135	306000
136	309600
137	313200
138	316800
139	320400
140	324000
141	327600
142	331200
143	334800
144	338400
145	342000
146	345600
147	349200
148	352800
149	356400
150	360000
