TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
31	兰花佩	T1_Pendant_Q1		10	1	1	1	1	31	31			10000	1	10000	1	equip		0	lifemax_v	600			fire_resist_v	45																																				
32	荷叶佩	T2_Pendant_Q1		10	1	2	32	3	32	32			20000	2	20000	1	equip		0	lifemax_v	800			fire_resist_v	60																																			1	2
33	鹿纹佩	T3_Pendant_Q1		10	1	3	46	6	33	33			40000	3	40000	1	equip		0	lifemax_v	1000			fire_resist_v	75																																			2	3
34	玉蝉佩	T4_Pendant_Q1		10	1	4	56	9	34	34			80000	4	80000	1	equip		0	lifemax_v	1500			fire_resist_v	90																																			3	4
35	龙鱼佩	T5_Pendant_Q1		10	1	5	66	12	35	35			160000	5	160000	1	equip		0	lifemax_v	2000			fire_resist_v	113																																			4	4
36	雁行佩	T6_Pendant_Q1		10	1	6	76	15	36	36			320000	6	320000	1	equip		0	lifemax_v	2500			fire_resist_v	135																																			4	5
37	勾云佩	T7_Pendant_Q1		10	1	7	86	18	37	37			640000	7	640000	1	equip		0	lifemax_v	3000			fire_resist_v	158																																			4	5
38	龙首佩	T8_Pendant_Q1		10	1	8	96	21	38	38			900000	8	900000	1	equip		0	lifemax_v	3500			fire_resist_v	180																																			5	5
39	鲲鹏佩	T9_Pendant_Q1		10	1	9	106	24	39	39			1200000	8	1200000	1	equip		0	lifemax_v	4000			fire_resist_v	200																																			6	6
40	北冥佩	T10_Pendant_Q1		10	1	10	116	27	40	40			1600000	8	1600000	1	equip		0	lifemax_v	4500			fire_resist_v	220																																			7	6
4931	天心佩	T11_Pendant_Q1		10	1	11	126	30	4931	4931			2200000	8	2200000	1	equip		0	lifemax_v	5000			fire_resist_v	240																																			7	7
4932	玉佩T12	T12_Pendant_Q1		10	1	12	136	27	4932	4932			1600000	8	1600000	1	equip		0	lifemax_v	4500			fire_resist_v	220																																			7	6
4933	玉佩T13	T13_Pendant_Q1		10	1	13	146	27	4933	4933			1600000	8	1600000	1	equip		0	lifemax_v	4500			fire_resist_v	220																																			7	6
4934	玉佩T14	T14_Pendant_Q1		10	1	14	156	27	4934	4934			1600000	8	1600000	1	equip		0	lifemax_v	4500			fire_resist_v	220																																			7	6
4935	玉佩T15	T15_Pendant_Q1		10	1	15	166	27	4935	4935			1600000	8	1600000	1	equip		0	lifemax_v	4500			fire_resist_v	220																																			7	6
4936	玉佩T16	T16_Pendant_Q1		10	1	16	176	27	4936	4936			1600000	8	1600000	1	equip		0	lifemax_v	4500			fire_resist_v	220																																			7	6
4937	玉佩T17	T17_Pendant_Q1		10	1	17	186	27	4937	4937			1600000	8	1600000	1	equip		0	lifemax_v	4500			fire_resist_v	220																																			7	6
4938	玉佩T18	T18_Pendant_Q1		10	1	18	196	27	4938	4938			1600000	8	1600000	1	equip		0	lifemax_v	4500			fire_resist_v	220																																			7	6
4939	玉佩T19	T19_Pendant_Q1		10	1	19	206	27	4939	4939			1600000	8	1600000	1	equip		0	lifemax_v	4500			fire_resist_v	220																																			7	6
4940	玉佩T20	T20_Pendant_Q1		10	1	20	216	27	4940	4940			1600000	8	1600000	1	equip		0	lifemax_v	4500			fire_resist_v	220																																			7	6
131	【稀有】兰花佩	T1_Pendant_Q2		10	2	1	1	4	31	31			100000	1	100000	1	equip		0	lifemax_v	860			fire_resist_v	64																																				
132	【稀有】荷叶佩	T2_Pendant_Q2		10	2	2	32	7	32	32			200000	2	200000	1	equip		0	lifemax_v	1150			fire_resist_v	79																																			3	3
133	【稀有】鹿纹佩	T3_Pendant_Q2		10	2	3	46	10	33	33			500000	3	500000	1	equip		0	lifemax_v	1650			fire_resist_v	96																																			3	4
134	【稀有】玉蝉佩	T4_Pendant_Q2		10	2	4	56	13	34	34			1200000	4	1200000	1	equip		0	lifemax_v	2150			fire_resist_v	119																																			4	4
135	【稀有】龙鱼佩	T5_Pendant_Q2		10	2	5	66	16	35	35			2500000	5	2500000	1	equip		0	lifemax_v	2650			fire_resist_v	141																																			4	5
136	【稀有】雁行佩	T6_Pendant_Q2		10	2	6	76	19	36	36			3000000	6	3000000	1	equip		0	lifemax_v	3150			fire_resist_v	164																																			5	5
137	【稀有】勾云佩	T7_Pendant_Q2		10	2	7	86	22	37	37			4000000	7	4000000	1	equip		0	lifemax_v	3850			fire_resist_v	198																																			5	6
138	【稀有】龙首佩	T8_Pendant_Q2		10	2	8	96	25	38	38			5400000	8	5400000	1	equip		0	lifemax_v	4200			fire_resist_v	217																																			6	6
139	【稀有】鲲鹏佩	T9_Pendant_Q2		10	2	9	106	28	39	39			8000000	8	8000000	1	equip		0	lifemax_v	5000			fire_resist_v	257																																			7	6
140	【稀有】北冥佩	T10_Pendant_Q2		10	2	10	116	31	40	40			10000000	8	10000000	1	equip		0	lifemax_v	5500			fire_resist_v	282																																			7	7
5031	【稀有】天心佩	T11_Pendant_Q2		10	2	11	126	34	4931	4931			12500000	8	12500000	1	equip		0	lifemax_v	6000			fire_resist_v	290																																			7	7
5032	【稀有】玉佩T12	T12_Pendant_Q2		10	2	12	136	31	4932	4932			10000000	8	10000000	1	equip		0	lifemax_v	5500			fire_resist_v	282																																			7	7
5033	【稀有】玉佩T13	T13_Pendant_Q2		10	2	13	146	31	4933	4933			10000000	8	10000000	1	equip		0	lifemax_v	5500			fire_resist_v	282																																			7	7
5034	【稀有】玉佩T14	T14_Pendant_Q2		10	2	14	156	31	4934	4934			10000000	8	10000000	1	equip		0	lifemax_v	5500			fire_resist_v	282																																			7	7
5035	【稀有】玉佩T15	T15_Pendant_Q2		10	2	15	166	31	4935	4935			10000000	8	10000000	1	equip		0	lifemax_v	5500			fire_resist_v	282																																			7	7
5036	【稀有】玉佩T16	T16_Pendant_Q2		10	2	16	176	31	4936	4936			10000000	8	10000000	1	equip		0	lifemax_v	5500			fire_resist_v	282																																			7	7
5037	【稀有】玉佩T17	T17_Pendant_Q2		10	2	17	186	31	4937	4937			10000000	8	10000000	1	equip		0	lifemax_v	5500			fire_resist_v	282																																			7	7
5038	【稀有】玉佩T18	T18_Pendant_Q2		10	2	18	196	31	4938	4938			10000000	8	10000000	1	equip		0	lifemax_v	5500			fire_resist_v	282																																			7	7
5039	【稀有】玉佩T19	T19_Pendant_Q2		10	2	19	206	31	4939	4939			10000000	8	10000000	1	equip		0	lifemax_v	5500			fire_resist_v	282																																			7	7
5040	【稀有】玉佩T20	T20_Pendant_Q2		10	2	20	216	31	4940	4940			10000000	8	10000000	1	equip		0	lifemax_v	5500			fire_resist_v	282																																			7	7
1554	【传承】兰花佩	T1_Pendant_Q3		10	3	1	1	2	31	31			40000	1	40000	1	equip		0	lifemax_v	700			fire_resist_v	52																																				
1555	【传承】荷叶佩	T2_Pendant_Q3		10	3	2	32	5	32	32			80000	2	80000	1	equip		0	lifemax_v	900			fire_resist_v	67																																			2	2
1556	【传承】鹿纹佩	T3_Pendant_Q3		10	3	3	46	8	33	33			160000	3	160000	1	equip		0	lifemax_v	1250			fire_resist_v	82																																			3	3
1557	【传承】玉蝉佩	T4_Pendant_Q3		10	3	4	56	11	34	34			400000	4	400000	1	equip		0	lifemax_v	1750			fire_resist_v	101																																			3	4
