EquipItem	WaiYiItem	Cost	TimeOut	Desc
61	2570	150000		T1衣服
62	2571	150000		T2衣服
63	2572	150000		T3衣服
64	2573	150000		T4衣服
65	2574	150000		T5衣服
66	2575	150000		T6衣服
67	2576	150000		T7衣服
68	2577	150000		T8衣服
69	2578	150000		T9衣服
70	2579	150000		T10衣服
4961	5269	150000		T11衣服
161	2570	150000		T1【稀有】衣服
162	2571	150000		T2【稀有】衣服
163	2572	150000		T3【稀有】衣服
164	2573	150000		T4【稀有】衣服
165	2574	150000		T5【稀有】衣服
166	2575	150000		T6【稀有】衣服
167	2576	150000		T7【稀有】衣服
168	2577	150000		T8【稀有】衣服
169	2578	150000		T9【稀有】衣服
170	2579	150000		T10【稀有】衣服
5061	5269	150000		T11【稀有】衣服
1570	2570	150000		T1【传承】衣服
1571	2571	150000		T2【传承】衣服
1572	2572	150000		T3【传承】衣服
1573	2573	150000		T4【传承】衣服
1574	2574	150000		T5【传承】衣服
1575	2575	150000		T6【传承】衣服
1576	2576	150000		T7【传承】衣服
1577	2577	150000		T8【传承】衣服
3611	2578	150000		T9【传承】衣服
3612	2579	150000		T10【传承】衣服
5161	5269	150000		T11【传承】衣服
1252	2570	150000		T1衣服（定制）
1529	2570	150000		T1衣服（定制）
2667	2512			T1外装
2681	2516		604800	T1外装，首充赠送
2700	2580			新手装
2706	2702			T2外装
3310	3259			T3外装
3311	3263			T4外装
3864	3870			T5外装
6344	6288			T5时装天王（黑帮）
6345	6292			T5时装峨眉（黑帮）
6346	6296			T5时装桃花（黑帮）
6347	6300			T5时装逍遥（黑帮）
6348	6304			T5时装武当（黑帮）
6349	6308			T5时装天忍（黑帮）
6350	6312			T5时装少林（黑帮）
6351	6316			T5时装翠烟（黑帮）
6352	6320			T5时装唐门（黑帮）
6353	6324			T5时装昆仑（黑帮）
6354	6328			T5时装丐帮（黑帮）
6355	6332			T5时装五毒（黑帮）
6356	6336			T5时装藏剑（黑帮）
6357	6340			T5时装长歌（黑帮）
4508	4243			T6外装天王·华贵
4509	4370			T6外装峨眉·华贵
4510	4371			T6外装桃花·华贵
4511	4372			T6外装逍遥·华贵
4512	4373			T6外装武当·华贵
4513	4374			T6外装天忍·华贵
4514	4375			T6外装少林·华贵
4515	4376			T6外装翠烟·华贵
4516	4377			T6外装唐门·华贵
4517	4378			T6外装昆仑·华贵
4518	4379			T6外装丐帮·华贵
4519	4380			T6外装五毒·华贵
4448	3874			T6外装天王
4449	4326			T6外装峨眉
4450	4330			T6外装桃花
4451	4334			T6外装逍遥
4452	4338			T6外装武当
4453	4342			T6外装天忍
4454	4346			T6外装少林
4455	4350			T6外装翠烟
4456	4354			T6外装唐门
4457	4358			T6外装昆仑
4458	4362			T6外装丐帮
4459	4366			T6外装五毒
6204	5259			T6外装藏剑
6205	5263			T6外装长歌
5969	3878			【天王】浮光·梦羽
5970	5863			【峨眉】浮光·梦缘
5971	5867			【桃花】浮光·梦蝶
5972	5871			【逍遥】浮光·梦羽
5973	5875			【武当】浮光·梦缘
5974	5879			【天忍】浮光·梦羽
5975	5883			【少林】浮光·梦缘
5976	5887			【翠烟】浮光·梦蝶
5977	5891			【唐门】浮光·梦羽
5978	5895			【昆仑】浮光·梦缘
5979	5899			【丐帮】浮光·梦缘
