ShowType	Name	Faction	ResId	IconId	BigIconId	Desc
2	《野蛮冲撞》秘卷	1		20002	20002	
2	《江海凝波》秘卷	2		20022	20022	
2	《飞火流星》秘卷	3		20042	20042	
2	《白虹贯日》秘卷	4		20062	20062	
2	《剑飞惊天》秘卷	5		20082	20082	
2	《死亡回旋》秘卷	6		20102	20102	
2	《降龙棍》秘卷	7		20122	20122	
2	《璇玑罗舞》秘卷	8		20142	20142	
2	《缠身刺》秘卷	9		20162	20162	
2	《仙人指路》秘卷	10		20182	20182	
2	《亢龙有悔》秘卷	11		20202	20202	
2	《阴风蚀骨》秘卷	12		20222	20222	
2	《九溪弥烟》秘卷	13		20242	20242	
2	《平沙雁落》秘卷	14		20262	20262	
3	《血战八方》秘卷	1		20003	20003	
3	《天舞宝轮》秘卷	2		20023	20023	
3	《九曜连珠》秘卷	3		20043	20043	
3	《七探蛇盘》秘卷	4		20063	20063	
3	《天地无极》秘卷	5		20083	20083	
3	《魔焰在天》秘卷	6		20103	20103	
3	《大力金刚指》秘卷	7		20123	20123	
3	《雨打梨花》秘卷	8		20143	20143	
3	《暴雨梨花》秘卷	9		20163	20163	
3	《啸风三连击》秘卷	10		20183	20183	
3	《困龙功》秘卷	11		20203	20203	
3	《召唤毒虫》秘卷	12		20223	20223	
3	《心剑》秘卷	13		20243	20243	
3	《云生结海》秘卷	14		20263	20263	
4	《金钟罩》秘卷	1		20004	20004	
4	《慈航普度》秘卷	2		20024	20024	
4	《火凤燎原》秘卷	3		20044	20044	
4	《斗转星移》秘卷	4		20064	20064	
4	《坐忘无我》秘卷	5		20084	20084	
4	《血月之影》秘卷	6		20104	20104	
4	《金刚伏魔》秘卷	7		20124	20124	
4	《召唤啵啵》秘卷	8		20144	20144	
4	《迷影纵》秘卷	9		20164	20164	
4	《混沌剑法》秘卷	10		20184	20184	
4	《醉蝶狂舞》秘卷	11		20204	20204	
4	《迷心蛊》秘卷	12		20224	20224	
4	《平湖断月》秘卷	13		20244	20244	
4	《清音长啸》秘卷	14		20264	20264	
5	《霸王怒吼》秘卷	1		20005	20005	
5	《白露凝霜》秘卷	2		20025	20025	
5	《穿云破月》秘卷	3		20045	20045	
5	《风卷残云》秘卷	4		20065	20065	
5	《人剑合一》秘卷	5		20085	20085	
5	《摄魂乱心》秘卷	6		20105	20105	
5	《十二擒龙手》秘卷	7		20125	20125	
5	《冰踪无影》秘卷	8		20145	20145	
5	《九宫飞星》秘卷	9		20165	20165	
5	《雷动九天》秘卷	10		20185	20185	
5	《龙战于野》秘卷	11		20205	20205	
5	《万蛊蚀心》秘卷	12		20225	20225	
5	《峰插云景》秘卷	13		20245	20245	
5	《江逐月天》秘卷	14		20265	20265	
21	【星玥】万象更新	1		4803	4803	
21	【星玥】如颖随行	2		4804	4804	
21	【星玥】如颖随行	3		4804	4804	
21	【星玥】万象更新	4		4803	4803	
21	【星玥】万象更新	5		4803	4803	
21	【星玥】如颖随行	6		4804	4804	
21	【星玥】万象更新	7		4803	4803	
21	【星玥】如颖随行	8		4804	4804	
21	【星玥】万象更新	9		4803	4803	
21	【星玥】如颖随行	10		4804	4804	
21	【星玥】万象更新	11		4803	4803	
21	【星玥】如颖随行	12		4804	4804	
21	【星玥】万象更新	13		4803	4803	
21	【星玥】如颖随行	14		4804	4804	
101	照夜玉狮子	1	1	1036	1036	
101	照夜玉狮子	2	1	1036	1036	
101	照夜玉狮子	3	1	1036	1036	
101	照夜玉狮子	4	1	1036	1036	
101	照夜玉狮子	5	1	1036	1036	
101	照夜玉狮子	6	1	1036	1036	
101	照夜玉狮子	7	1	1036	1036	
101	照夜玉狮子	8	1	1036	1036	
101	照夜玉狮子	9	1	1036	1036	
101	照夜玉狮子	10	1	1036	1036	
101	照夜玉狮子	11	1	1036	1036	
101	照夜玉狮子	12	1	1036	1036	
101	照夜玉狮子	13	1	1036	1036	
101	照夜玉狮子	14	1	1036	1036	
101	照夜玉狮子	15	1	1036	1036	
101	照夜玉狮子	16	1	1036	1036	
101	照夜玉狮子	17	1	1036	1036	
101	照夜玉狮子	18	1	1036	1036	
101	照夜玉狮子	19	1	1036	1036	
101	照夜玉狮子	20	1	1036	1036	
102	枣红马	1	2	1033	1033	
102	枣红马	2	2	1033	1033	
102	枣红马	3	2	1033	1033	
102	枣红马	4	2	1033	1033	
102	枣红马	5	2	1033	1033	
102	枣红马	6	2	1033	1033	
102	枣红马	7	2	1033	1033	
102	枣红马	8	2	1033	1033	
102	枣红马	9	2	1033	1033	
102	枣红马	10	2	1033	1033	
102	枣红马	11	2	1033	1033	
102	枣红马	12	2	1033	1033	
102	枣红马	13	2	1033	1033	
102	枣红马	14	2	1033	1033	
102	枣红马	15	2	1033	1033	
102	枣红马	16	2	1033	1033	
102	枣红马	17	2	1033	1033	
102	枣红马	18	2	1033	1033	
102	枣红马	19	2	1033	1033	
102	枣红马	20	2	1033	1033	
103	乌云踏雪	1	3	1034	1034	
103	乌云踏雪	2	3	1034	1034	
103	乌云踏雪	3	3	1034	1034	
103	乌云踏雪	4	3	1034	1034	
103	乌云踏雪	5	3	1034	1034	
103	乌云踏雪	6	3	1034	1034	
103	乌云踏雪	7	3	1034	1034	
103	乌云踏雪	8	3	1034	1034	
103	乌云踏雪	9	3	1034	1034	
103	乌云踏雪	10	3	1034	1034	
103	乌云踏雪	11	3	1034	1034	
103	乌云踏雪	12	3	1034	1034	
103	乌云踏雪	13	3	1034	1034	
103	乌云踏雪	14	3	1034	1034	
103	乌云踏雪	15	3	1034	1034	
103	乌云踏雪	16	3	1034	1034	
103	乌云踏雪	17	3	1034	1034	
103	乌云踏雪	18	3	1034	1034	
103	乌云踏雪	19	3	1034	1034	
103	乌云踏雪	20	3	1034	1034	
104	逐日	1	4	1035	1035	
104	逐日	2	4	1035	1035	
104	逐日	3	4	1035	1035	
104	逐日	4	4	1035	1035	
104	逐日	5	4	1035	1035	
104	逐日	6	4	1035	1035	
104	逐日	7	4	1035	1035	
104	逐日	8	4	1035	1035	
104	逐日	9	4	1035	1035	
104	逐日	10	4	1035	1035	
104	逐日	11	4	1035	1035	
104	逐日	12	4	1035	1035	
104	逐日	13	4	1035	1035	
104	逐日	14	4	1035	1035	
104	逐日	15	4	1035	1035	
104	逐日	16	4	1035	1035	
104	逐日	17	4	1035	1035	
104	逐日	18	4	1035	1035	
104	逐日	19	4	1035	1035	
104	逐日	20	4	1035	1035	
105	绝影	1	5	1037	1037	
105	绝影	2	5	1037	1037	
105	绝影	3	5	1037	1037	
105	绝影	4	5	1037	1037	
105	绝影	5	5	1037	1037	
105	绝影	6	5	1037	1037	
105	绝影	7	5	1037	1037	
105	绝影	8	5	1037	1037	
105	绝影	9	5	1037	1037	
105	绝影	10	5	1037	1037	
105	绝影	11	5	1037	1037	
105	绝影	12	5	1037	1037	
105	绝影	13	5	1037	1037	
105	绝影	14	5	1037	1037	
105	绝影	15	5	1037	1037	
105	绝影	16	5	1037	1037	
105	绝影	17	5	1037	1037	
105	绝影	18	5	1037	1037	
105	绝影	19	5	1037	1037	
105	绝影	20	5	1037	1037	
106	追星逐日	1	6	1038	1038	
106	追星逐日	2	6	1038	1038	
106	追星逐日	3	6	1038	1038	
106	追星逐日	4	6	1038	1038	
106	追星逐日	5	6	1038	1038	
106	追星逐日	6	6	1038	1038	
106	追星逐日	7	6	1038	1038	
106	追星逐日	8	6	1038	1038	
106	追星逐日	9	6	1038	1038	
106	追星逐日	10	6	1038	1038	
106	追星逐日	11	6	1038	1038	
106	追星逐日	12	6	1038	1038	
106	追星逐日	13	6	1038	1038	
106	追星逐日	14	6	1038	1038	
106	追星逐日	15	6	1038	1038	
106	追星逐日	16	6	1038	1038	
106	追星逐日	17	6	1038	1038	
106	追星逐日	18	6	1038	1038	
106	追星逐日	19	6	1038	1038	
106	追星逐日	20	6	1038	1038	
107	里飞沙	1	7	1039	1039	
107	里飞沙	2	7	1039	1039	
107	里飞沙	3	7	1039	1039	
107	里飞沙	4	7	1039	1039	
107	里飞沙	5	7	1039	1039	
107	里飞沙	6	7	1039	1039	
107	里飞沙	7	7	1039	1039	
107	里飞沙	8	7	1039	1039	
107	里飞沙	9	7	1039	1039	
107	里飞沙	10	7	1039	1039	
107	里飞沙	11	7	1039	1039	
107	里飞沙	12	7	1039	1039	
107	里飞沙	13	7	1039	1039	
107	里飞沙	14	7	1039	1039	
107	里飞沙	15	7	1039	1039	
107	里飞沙	16	7	1039	1039	
107	里飞沙	17	7	1039	1039	
107	里飞沙	18	7	1039	1039	
107	里飞沙	19	7	1039	1039	
107	里飞沙	20	7	1039	1039	
108	寒霜	1	8	3364	3364	
108	寒霜	2	8	3364	3364	
108	寒霜	3	8	3364	3364	
108	寒霜	4	8	3364	3364	
108	寒霜	5	8	3364	3364	
108	寒霜	6	8	3364	3364	
108	寒霜	7	8	3364	3364	
108	寒霜	8	8	3364	3364	
108	寒霜	9	8	3364	3364	
108	寒霜	10	8	3364	3364	
108	寒霜	11	8	3364	3364	
108	寒霜	12	8	3364	3364	
108	寒霜	13	8	3364	3364	
108	寒霜	14	8	3364	3364	
108	寒霜	15	8	3364	3364	
108	寒霜	16	8	3364	3364	
108	寒霜	17	8	3364	3364	
108	寒霜	18	8	3364	3364	
108	寒霜	19	8	3364	3364	
108	寒霜	20	8	3364	3364	
109	寒霜倩影	1	9	3365	3365	
109	寒霜倩影	2	9	3365	3365	
109	寒霜倩影	3	9	3365	3365	
109	寒霜倩影	4	9	3365	3365	
109	寒霜倩影	5	9	3365	3365	
109	寒霜倩影	6	9	3365	3365	
109	寒霜倩影	7	9	3365	3365	
109	寒霜倩影	8	9	3365	3365	
109	寒霜倩影	9	9	3365	3365	
109	寒霜倩影	10	9	3365	3365	
109	寒霜倩影	11	9	3365	3365	
109	寒霜倩影	12	9	3365	3365	
109	寒霜倩影	13	9	3365	3365	
109	寒霜倩影	14	9	3365	3365	
109	寒霜倩影	15	9	3365	3365	
109	寒霜倩影	16	9	3365	3365	
109	寒霜倩影	17	9	3365	3365	
109	寒霜倩影	18	9	3365	3365	
109	寒霜倩影	19	9	3365	3365	
109	寒霜倩影	20	9	3365	3365	
110	小黑	1	10	3366	3366	
110	小黑	2	10	3366	3366	
110	小黑	3	10	3366	3366	
110	小黑	4	10	3366	3366	
110	小黑	5	10	3366	3366	
110	小黑	6	10	3366	3366	
110	小黑	7	10	3366	3366	
110	小黑	8	10	3366	3366	
110	小黑	9	10	3366	3366	
110	小黑	10	10	3366	3366	
110	小黑	11	10	3366	3366	
110	小黑	12	10	3366	3366	
110	小黑	13	10	3366	3366	
110	小黑	14	10	3366	3366	
110	小黑	15	10	3366	3366	
110	小黑	16	10	3366	3366	
110	小黑	17	10	3366	3366	
110	小黑	18	10	3366	3366	
110	小黑	19	10	3366	3366	
110	小黑	20	10	3366	3366	
111	白羽	1	11	3367	3367	
111	白羽	2	11	3367	3367	
111	白羽	3	11	3367	3367	
111	白羽	4	11	3367	3367	
111	白羽	5	11	3367	3367	
111	白羽	6	11	3367	3367	
111	白羽	7	11	3367	3367	
111	白羽	8	11	3367	3367	
111	白羽	9	11	3367	3367	
111	白羽	10	11	3367	3367	
111	白羽	11	11	3367	3367	
111	白羽	12	11	3367	3367	
111	白羽	13	11	3367	3367	
111	白羽	14	11	3367	3367	
111	白羽	15	11	3367	3367	
111	白羽	16	11	3367	3367	
111	白羽	17	11	3367	3367	
111	白羽	18	11	3367	3367	
111	白羽	19	11	3367	3367	
111	白羽	20	11	3367	3367	
112	万里烟云照	1	12	3598	3598	
112	万里烟云照	2	12	3598	3598	
112	万里烟云照	3	12	3598	3598	
112	万里烟云照	4	12	3598	3598	
112	万里烟云照	5	12	3598	3598	
112	万里烟云照	6	12	3598	3598	
112	万里烟云照	7	12	3598	3598	
112	万里烟云照	8	12	3598	3598	
112	万里烟云照	9	12	3598	3598	
112	万里烟云照	10	12	3598	3598	
112	万里烟云照	11	12	3598	3598	
112	万里烟云照	12	12	3598	3598	
112	万里烟云照	13	12	3598	3598	
112	万里烟云照	14	12	3598	3598	
112	万里烟云照	15	12	3598	3598	
112	万里烟云照	16	12	3598	3598	
112	万里烟云照	17	12	3598	3598	
112	万里烟云照	18	12	3598	3598	
112	万里烟云照	19	12	3598	3598	
112	万里烟云照	20	12	3598	3598	
113	圣蹄	1	13	4045	4045	
