SrcItem	TarItem	CosumeItem1	ConsumeCount1	CosumeItem2	ConsumeCount2	TimeFrame	DESC
106	2764	2794	1	2804	120		T6黄金武器
166	2782	2795	1	2804	72		T6黄金衣服
156	2779	2796	1	2804	24		T6黄金帽子
186	2788	2797	1	2804	24		T6黄金腰带
176	2785	2798	1	2804	24		T6黄金护腕
196	2791	2799	1	2804	24		T6黄金鞋子
116	2767	2800	1	2804	48		T6黄金项链
126	2770	2801	1	2804	48		T6黄金戒指
136	2773	2802	1	2804	48		T6黄金玉佩
146	2776	2803	1	2804	48		T6黄金护身符
2400	3012	2527	120			OpenLevel79	坐骑
107	2765	2794	1	2804	200		T7黄金武器
167	2783	2795	1	2804	120		T7黄金衣服
157	2780	2796	1	2804	40		T7黄金帽子
187	2789	2797	1	2804	40		T7黄金腰带
177	2786	2798	1	2804	40		T7黄金护腕
197	2792	2799	1	2804	40		T7黄金鞋子
117	2768	2800	1	2804	80		T7黄金项链
127	2771	2801	1	2804	80		T7黄金戒指
137	2774	2802	1	2804	80		T7黄金玉佩
147	2777	2803	1	2804	80		T7黄金护身符
108	2766	2794	1	2804	300		T8黄金武器
168	2784	2795	1	2804	180		T8黄金衣服
158	2781	2796	1	2804	60		T8黄金帽子
188	2790	2797	1	2804	60		T8黄金腰带
178	2787	2798	1	2804	60		T8黄金护腕
198	2793	2799	1	2804	60		T8黄金鞋子
118	2769	2800	1	2804	120		T8黄金项链
128	2772	2801	1	2804	120		T8黄金戒指
138	2775	2802	1	2804	120		T8黄金玉佩
148	2778	2803	1	2804	120		T8黄金护身符
3012	3598	2527	180			OpenLevel99	坐骑
109	3619	2794	1	2804	400		T9黄金武器
169	3631	2795	1	2804	240		T9黄金衣服
159	3629	2796	1	2804	80		T9黄金帽子
189	3635	2797	1	2804	80		T9黄金腰带
179	3633	2798	1	2804	80		T9黄金护腕
199	3637	2799	1	2804	80		T9黄金鞋子
119	3621	2800	1	2804	160		T9黄金项链
129	3623	2801	1	2804	160		T9黄金戒指
139	3625	2802	1	2804	160		T9黄金玉佩
149	3627	2803	1	2804	160		T9黄金护身符
110	3620	2794	1	2804	500		T10黄金武器
170	3632	2795	1	2804	300		T10黄金衣服
160	3630	2796	1	2804	100		T10黄金帽子
190	3636	2797	1	2804	100		T10黄金腰带
180	3634	2798	1	2804	100		T10黄金护腕
200	3638	2799	1	2804	100		T10黄金鞋子
120	3622	2800	1	2804	200		T10黄金项链
130	3624	2801	1	2804	200		T10黄金戒指
140	3626	2802	1	2804	200		T10黄金玉佩
150	3628	2803	1	2804	200		T10黄金护身符
3598	4046	2527	240			OpenLevel119	110级坐骑
5001	5360	2794	1	2804	550		T11黄金武器
5061	5390	2795	1	2804	330		T11黄金衣服
5051	5385	2796	1	2804	110		T11黄金帽子
5081	5400	2797	1	2804	110		T11黄金腰带
5071	5395	2798	1	2804	110		T11黄金护腕
5091	5405	2799	1	2804	110		T11黄金鞋子
5011	5365	2800	1	2804	220		T11黄金项链
5021	5370	2801	1	2804	220		T11黄金戒指
5031	5375	2802	1	2804	220		T11黄金玉佩
5041	5380	2803	1	2804	220		T11黄金护身符
3445	3446	3462	20			OpenLevel109	4阶脚蹬
3450	3451	3469	20			OpenLevel109	4阶马鞍
3455	3456	3476	20			OpenLevel109	4阶缰绳
