SuitIndex	ItemId	
1	2764	T6黄金武器
1	2779	T6黄金帽子
1	2782	T6黄金衣服
1	2788	T6黄金腰带
1	2767	T6黄金项链
1	2773	T6黄金玉佩
1	2765	T7黄金武器
1	2780	T7黄金帽子
1	2783	T7黄金衣服
1	2789	T7黄金腰带
1	2768	T7黄金项链
1	2774	T7黄金玉佩
1	2766	T8黄金武器
1	2781	T8黄金帽子
1	2784	T8黄金衣服
1	2790	T8黄金腰带
1	2769	T8黄金项链
1	2775	T8黄金玉佩
1	3619	T9黄金武器
1	3629	T9黄金帽子
1	3631	T9黄金衣服
1	3635	T9黄金腰带
1	3621	T9黄金项链
1	3625	T9黄金玉佩
1	3620	T10黄金武器
1	3630	T10黄金帽子
1	3632	T10黄金衣服
1	3636	T10黄金腰带
1	3622	T10黄金项链
1	3626	T10黄金玉佩
1	5360	T11黄金武器
1	5390	T11黄金帽子
1	5385	T11黄金衣服
1	5400	T11黄金腰带
1	5365	T11黄金项链
1	5375	T11黄金玉佩
