ItemID	NpcResID	Desc
2399	902	枣红马
1423	901	照夜玉狮子
2400	903	乌云踏雪
3012	905	绝影
3021	906	里飞沙
3392	907	红骊
3393	908	绿踪
2507	904	逐日
2508	909	追星逐日
2870	931	奔宵
3516	932	乌骓
3364	912	寒霜
3365	913	寒霜倩影
3366	910	小黑
3367	911	白羽
3598	914	万里烟云照
3639	909	追星逐日
4045	915	圣蹄
4046	916	追风呼雷豹
4050	917	龙马
4051	918	梦魇
4583	919	抱月拥星驹
4047	912	寒霜（外装）
4048	913	寒霜倩影（外装）
4049	910	小黑（外装）
4861	920	紫幽灵鹿
4862	921	云魅灵鹿
4867	922	星芒·云魅灵鹿
4735	912	寒霜（外装30天）
4736	913	寒霜倩影（外装30天）
4737	910	小黑（外装30天）
4865	920	紫幽灵鹿（外装1年）
4866	921	云魅灵鹿（外装1年）
4868	922	星芒·云魅灵鹿（外装1年）
4859	923	龙鳞凤羽
5359	924	大天使之驹
