TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	ShowType
4058	松木床	Furniture_chuang_1	34	4058	4058		FurnitureItem	999	松木制成的床，纹理天然美观，经久耐用，物美而价廉\n\n[FFFE0D]摆放后，可以点击进行使用[-]	600000	1	1	1000	2	1	1	99999	1										
4059	桦木床	Furniture_chuang_2	34	4059	4059		FurnitureItem	999	桦木制成的床，床头系有红结，象征幸福平安\n\n[FFFE0D]摆放后，可以点击进行使用[-]	1500000	1	1	1000	3	1	1	99999	2										
4060	江枫渔火	Furniture_chuang_3	34	4060	4060		FurnitureItem	999	以枫叶之色装饰而成的大床，床头挂以长明灯，祈求夜夜团圆\n\n[FFFE0D]摆放后，可以点击进行使用[-]	3000000	1	1	1000	4	1	1	99999	3										
4061	红鸾栖枝	Furniture_chuang_4	34	4061	4061		FurnitureItem	999	朱红色的大床，床头配以绘有连理枝的画扇，寓意长相厮守\n\n[FFFE0D]摆放后，可以点击进行使用[-]	8000000	1	1	1000	5	1	1	99999	4										
4062	金龙戏珠	Furniture_chuang_5	34	4062	4062		FurnitureItem	999	散发出阵阵清香的厚重木床，以黄金铸成双龙作为装饰，极尽奢华。「红鲤戏明珠，金龙游天云」\n\n[FFFE0D]摆放后，可以点击进行使用[-]	16000000	1	1	1000	6	1	1	99999	5										
4063	松木橱柜	Furniture_guizi_1	34	4063	4063		FurnitureItem	999	松木制成的橱柜，纹理天然美观，经久耐用，物美而价廉\n\n[FFFE0D]摆放后，可以点击进行使用[-]	300000	1	1	1000	2	1	1	99999	501										
4064	桦木橱柜	Furniture_guizi_2	34	4064	4064		FurnitureItem	999	桦木制成的橱柜，色泽较深，看上去厚重沉稳，坚固牢靠\n\n[FFFE0D]摆放后，可以点击进行使用[-]	750000	1	1	1000	3	1	1	99999	502										
4065	墨香橱柜	Furniture_guizi_3	34	4065	4065		FurnitureItem	999	以墨蓝色清漆均匀上色的橱柜，隐隐渗出一股淡淡的墨香\n\n[FFFE0D]摆放后，可以点击进行使用[-]	1500000	1	1	1000	4	1	1	99999	503										
4066	幻彩流光橱柜	Furniture_guizi_4	34	4066	4066		FurnitureItem	999	色泽多变明亮的橱柜，光华流转，置身其中，恍如误入仙境\n\n[FFFE0D]摆放后，可以点击进行使用[-]	3000000	1	1	1000	5	1	1	99999	504										
4068	紫檀鎏金橱柜	Furniture_guizi_5	34	4068	4068		FurnitureItem	999	以上等紫檀木制成的橱柜，以黄金描边，高贵大气之余不显粗俗，多为大户人家所用\n\n[FFFE0D]摆放后，可以点击进行使用[-]	6000000	1	1	1000	6	1	1	99999	505										
4067	松木书架	Furniture_guizi_6	34	4067	4067		FurnitureItem	999	松木制成的书架，纹理天然美观，经久耐用，物美而价廉	300000	1	1	1000	2	1	1	99999	506										
4069	桦木书架	Furniture_guizi_7	34	4069	4069		FurnitureItem	999	桦木制成的书架，色泽较深，看上去厚重沉稳，坚固牢靠	750000	1	1	1000	3	1	1	99999	507										
4070	墨香书架	Furniture_guizi_8	34	4070	4070		FurnitureItem	999	以墨蓝色清漆均匀上色的书架，隐隐渗出一股淡淡的墨香	1500000	1	1	1000	4	1	1	99999	508										
4071	幻彩流光书架	Furniture_guizi_9	34	4071	4071		FurnitureItem	999	色泽多变明亮的书架，光华流转，置身其中，恍如误入仙境	3000000	1	1	1000	5	1	1	99999	509										
4072	紫檀鎏金书架	Furniture_guizi_10	34	4072	4072		FurnitureItem	999	以上等紫檀木制成的书架，以黄金描边，高贵大气之余不显粗俗，多为大户人家所用	6000000	1	1	1000	6	1	1	99999	510										
4073	松木博古架	Furniture_guizi_11	34	4073	4073		FurnitureItem	999	松木制成的博古架，纹理天然美观，经久耐用，物美而价廉	300000	1	1	1000	2	1	1	99999	511										
4074	桦木博古架	Furniture_guizi_12	34	4074	4074		FurnitureItem	999	桦木制成的博古架，色泽较深，看上去厚重沉稳，坚固牢靠	750000	1	1	1000	3	1	1	99999	512										
4075	墨香博古架	Furniture_guizi_13	34	4075	4075		FurnitureItem	999	以墨蓝色清漆均匀上色的博古架，隐隐渗出一股淡淡的墨香	1500000	1	1	1000	4	1	1	99999	513										
4076	幻彩流光博古架	Furniture_guizi_14	34	4076	4076		FurnitureItem	999	色泽多变明亮的博古架，光华流转，置身其中，恍如误入仙境	3000000	1	1	1000	5	1	1	99999	514										
4077	紫檀鎏金博古架	Furniture_guizi_15	34	4077	4077		FurnitureItem	999	以上等紫檀木制成的博古架，以黄金描边，高贵大气之余不显粗俗，多为大户人家所用	6000000	1	1	1000	6	1	1	99999	515										
4078	松木杂物架	Furniture_guizi_16	34	4078	4078		FurnitureItem	999	松木制成的杂物架，纹理天然美观，经久耐用，物美而价廉	300000	1	1	1000	2	1	1	99999	516										
4079	桦木杂物架	Furniture_guizi_17	34	4079	4079		FurnitureItem	999	桦木制成的杂物架，色泽较深，看上去厚重沉稳，坚固牢靠	750000	1	1	1000	3	1	1	99999	517										
4080	墨香杂物架	Furniture_guizi_18	34	4080	4080		FurnitureItem	999	以墨蓝色清漆均匀上色的杂物架，隐隐渗出一股淡淡的墨香	1500000	1	1	1000	4	1	1	99999	518										
4081	幻彩流光杂物架	Furniture_guizi_19	34	4081	4081		FurnitureItem	999	色泽多变明亮的杂物架，光华流转，置身其中，恍如误入仙境	3000000	1	1	1000	5	1	1	99999	519										
4082	紫檀鎏金杂物架	Furniture_guizi_20	34	4082	4082		FurnitureItem	999	以上等紫檀木制成的杂物架，以黄金描边，高贵大气之余不显粗俗，多为大户人家所用	6000000	1	1	1000	6	1	1	99999	520										
