TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	ShowType
579	红药瓶小	test29	34	129	3		test	999	测试道具，该ID尚未被用		1	1	1000		1	1	99999											
580	红药瓶中	test30	34	130	3		test	999	测试道具，该ID尚未被用		1	1	1000		1	1	99999											
581	蓝药瓶小	test31	34	131	3		test	999	测试道具，该ID尚未被用		1	1	1000		1	1	99999											
582	蓝药瓶中	test32	34	132	3		test	999	测试道具，该ID尚未被用		1	1	1000		1	1	99999											
213	未雕琢的神秘矿石	mystery_stone_1	34	213	213		MysteryStone	2	装备强化至+20后，进行突破所需的材料。\n4个相同矿石可合成1个高级矿石	20000	1	3	1000	1	1	1	99999											
214	普通的神秘矿石	mystery_stone_2	34	214	214		MysteryStone	2	装备强化至+40后，进行突破所需的材料。\n4个相同矿石可合成1个高级矿石	80000	1	3	1000	2	1	1	99999											
215	无暇的神秘矿石	mystery_stone_3	34	215	215		MysteryStone	2	装备强化至+60后，进行突破所需的材料。\n4个相同矿石可合成1个高级矿石	320000	1	3	1000	3	1	1	99999											
216	璀璨的神秘矿石	mystery_stone_4	34	216	216		MysteryStone	2	装备强化至+80后，进行突破所需的材料。\n4个相同矿石可合成1个高级矿石	810000	1	3	1000	4	1	1	99999											
217	完美的神秘矿石	mystery_stone_5	34	217	217		MysteryStone	2	装备强化至+100后，进行突破所需的材料。\n已达到最高级，不可再合成	1280000	1	3	1000	5	1	1	99999											
218	神秘矿石（占ID）	mystery_stone_6	34	218	218			2	强化+50后突破		1	3	1000	6	1	1	99999											
219	神秘矿石（占ID）	mystery_stone_7	34	219	219			2	强化+50后突破		1	3	1000	7	1	1	99999											
221	神秘矿石（占ID）	mystery_stone_8	34	221	221			2	强化+50后突破		1	3	1000	7	1	1	99999											
220	神秘矿石（占ID）	mystery_stone_9	34	220	220			2	强化+50后突破		1	3	1000	7	1	1	99999											
598	初级技能书（同伴）	Partner_SkillExp_1	35	598	598		PartnerSkillExpItem	6	给同伴技能增加经验	10000	1	1	1000	3	1	0	99999	10000										
599	中级技能书（同伴）	Partner_SkillExp_2	35	599	599		PartnerSkillExpItem	6	给同伴技能增加经验	50000	1	1	1000	4	1	0	99999	50000										
600	高级技能书（同伴）	Partner_SkillExp_3	35	600	600		PartnerSkillExpItem	6	给同伴技能增加经验	300000	1	1	1000	13	1	0	99999	300000										
601	同伴经验药水	Partner_Exp	35	601	601		PartnerExpItem	5	使用后可以给指定的同伴增加经验	500	1	1	1500		1	1	99999	1500										
1016	强效同伴经验药水	Partner_Exp_Plus	35	1016	1016		PartnerExpItem	5	使用后可以给指定的同伴增加经验	5000	1	1	15000	2	1	1	99999	15000										
1342	特效同伴经验药水	Partner_Exp_Plus2	35	1342	1342		PartnerExpItem	5	使用后可以给指定的同伴增加经验	50000	1	1	150000	3	1	1	99999	150000										
736	碧玉扳指	antique_1	34	736	736		TaskItem	10	古董级别：1级（普通）\n\n古董可用来完成商会任务（30级开启）	12000	1	1	1000		1	1	99999											
737	翡翠手镯	antique_2	34	737	737		TaskItem	10	古董级别：1级（普通）\n\n古董可用来完成商会任务（30级开启）	12000	1	1	1000		1	1	99999											
738	青花瓷瓶	antique_3	34	738	738		TaskItem	10	古董级别：1级（普通）\n\n古董可用来完成商会任务（30级开启）	12000	1	1	1000		1	1	99999											
739	鎏金银盘	antique_4	34	739	739		TaskItem	10	古董级别：1级（普通）\n\n古董可用来完成商会任务（30级开启）	12000	1	1	1000		1	1	99999											
740	铜编钟	antique_5	34	740	740		TaskItem	10	古董级别：1级（普通）\n\n古董可用来完成商会任务（30级开启）	12000	1	1	1000		1	1	99999											
741	白玉钗	antique_6	34	741	741		TaskItem	10	古董级别：1级（普通）\n\n古董可用来完成商会任务（30级开启）	12000	1	1	1000		1	1	99999											
742	墨玉砚	antique_7	34	742	742		TaskItem	10	古董级别：1级（普通）\n\n古董可用来完成商会任务（30级开启）	12000	1	1	1000		1	1	99999											
743	青竹简	antique_8	34	743	743		TaskItem	10	古董级别：1级（普通）\n\n古董可用来完成商会任务（30级开启）	12000	1	1	1000		1	1	99999											
744	七弦古琴	antique_9	34	744	744		TaskItem	10	古董级别：[6cdd00]2级（珍贵）[-]\n\n古董可用来完成商会任务（30级开启）	24000	1	1	1000	2	1	1	99999											
745	千手观音	antique_10	34	745	745		TaskItem	10	古董级别：[6cdd00]2级（珍贵）[-]\n\n古董可用来完成商会任务（30级开启）	24000	1	1	1000	2	1	1	99999											
746	长明宫灯	antique_11	34	746	746		TaskItem	10	古董级别：[6cdd00]2级（珍贵）[-]\n\n古董可用来完成商会任务（30级开启）	24000	1	1	1000	2	1	1	99999											
747	青铜大鼎	antique_12	34	747	747		TaskItem	10	古董级别：[11c6fd]3级（稀有）[-]\n\n古董可用来完成商会任务（30级开启）	60000	1	1	1000	3	1	1	99999											
749	武神黄金箱	BossBoxA1	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，前[FFFE0D]400[-]以上自动扣除[FFFE0D]1000[-]荣誉兑换\n\n可能获得：\n[FFFE0D]2阶稀有项链、2阶传承项链、魂石·杨铁心、贡献[-]		1	1	1000	4	1	0	99999	749										
750	武神黄金箱	BossBoxA2	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，前[FFFE0D]400[-]以上自动扣除[FFFE0D]1000[-]荣誉兑换\n\n可能获得：\n[FFFE0D]3阶稀有项链、3阶传承项链、魂石·杨铁心、贡献[-]		1	1	1000	4	1	0	99999	750										
751	武神黄金箱	BossBoxB1	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，前[FFFE0D]400[-]以上自动扣除[FFFE0D]1000[-]荣誉兑换\n\n可能获得：\n[FFFE0D]4阶稀有项链碎片、4阶传承项链、魂石·杨铁心、贡献[-]		1	1	1000	4	1	0	99999	751										
752	武神黄金箱	BossBoxB2	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，前[FFFE0D]400[-]以上自动扣除[FFFE0D]1000[-]荣誉兑换\n\n可能获得：\n[FFFE0D]5阶稀有项链碎片、5阶传承项链碎片、魂石·杨瑛、魂石·杨铁心、贡献[-]		1	1	1000	4	1	0	99999	752										
753	武神黄金箱	BossBoxC1	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，前[FFFE0D]400[-]以上自动扣除[FFFE0D]1000[-]荣誉兑换\n\n可能获得：\n[FFFE0D]5阶稀有项链碎片、5阶传承项链碎片、魂石·杨瑛、魂石·杨铁心、贡献[-]		1	1	1000	4	1	0	99999	753										
754	武神白银箱	BossBoxC2	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，自动扣除[FFFE0D]500[-]荣誉兑换\n\n可能获得：\n[FFFE0D]2阶传承项链、魂石·杨铁心、贡献[-]		1	1	1000	3	1	0	99999	754										
760	武神白银箱	BossBoxD1	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，自动扣除[FFFE0D]500[-]荣誉兑换\n\n可能获得：\n[FFFE0D]3阶传承项链、魂石·杨铁心、贡献[-]		1	1	1000	3	1	0	99999	760										
761	武神白银箱	BossBoxE1	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，自动扣除[FFFE0D]500[-]荣誉兑换\n\n可能获得：\n[FFFE0D]4阶传承项链碎片、魂石·杨铁心、贡献[-]		1	1	1000	3	1	0	99999	761										
762	武神白银箱	BossBoxD2	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，自动扣除[FFFE0D]500[-]荣誉兑换\n\n可能获得：\n[FFFE0D]5阶传承项链碎片、魂石·杨铁心、贡献[-]		1	1	1000	3	1	0	99999	762										
763	武神白银箱	BossBoxE2	34	100	100		RandomItem	1	武神殿[FFFE0D]22：00[-]结算排名时，自动扣除[FFFE0D]500[-]荣誉兑换\n\n可能获得：\n[FFFE0D]5阶传承项链碎片、魂石·杨铁心、贡献[-]		1	1	1000	3	1	0	99999	763										
755	战场黄金宝箱	Battle_award_1	34	100	100		RandomItemByLevel	1	完成战场后获得的宝箱		1	1	1000	4	1	0	99999	2										
756	战场宝箱	Battle_award_2	34	100	100		RandomItemByLevel	1	完成战场后获得的宝箱		1	1	1000	3	1	0	99999	2										
757	战场宝箱	Battle_award_3	34	100	100		RandomItemByLevel	1	完成战场后获得的宝箱		1	1	1000	3	1	0	99999	2										
758	战场宝箱	Battle_award_4	34	100	100		RandomItemByLevel	1	完成战场后获得的宝箱		1	1	1000	3	1	0	99999	2										
759	战场宝箱	Battle_award_5	34	100	100		RandomItemByLevel	1	完成战场后获得的宝箱		1	1	1000	3	1	0	99999	2										
2148	战场白银宝箱	Battle_silve_box1	34	100	100		RandomItemByLevel	1	完成战场后获得的宝箱		1	1	1000	3	1	0	99999	31										
764	初级修为书	SkillExp_200	34	598	598		SkillBookExp	1	研习后，增加200点修为，可用来升级门派秘籍	20000	1	1	1000		1	0	99999	200										
2395	中级修为书	SkillExp_Lv2	34	599	599		SkillBookExp	1	研习后，增加1000点修为，可用来升级门派秘籍	20000	1	1	1000	3	1	0	99999	1000										
2396	高级修为书	SkillExp_Lv3	34	600	600		SkillBookExp	1	研习后，增加10000点修为，可用来升级门派秘籍	1000000	1	1	1000	4	1	0	99999	10000										
765	名将挑战宝箱	Boss_AttendAward_1	34	100	100		RandomItemByLevel	1	参与历代名将挑战获得的宝箱	20000	1	1	1000	3	1	0	99999	3										
766	名将挑战宝箱	Boss_AttendAward_2	34	100	100		RandomItemByLevel	1	参与历代名将挑战获得的宝箱	20000	1	1	1000	3	1	0	99999	3										
767	名将挑战宝箱	Boss_AttendAward_3	34	100	100		RandomItemByLevel	1	参与历代名将挑战获得的宝箱	20000	1	1	1000	3	1	0	99999	3										
768	名将挑战宝箱	Boss_AttendAward_4	34	100	100		RandomItemByLevel	1	参与历代名将挑战获得的宝箱	20000	1	1	1000	3	1	0	99999	3										
769	名将挑战宝箱	Boss_AttendAward_5	34	100	100		RandomItemByLevel	1	参与历代名将挑战获得的宝箱	20000	1	1	1000	3	1	0	99999	3										
770	名将击杀宝箱	FieldBoss_Award_1	34	100	100		RandomItemByLevel	1	击杀历代名将获得的宝箱	20000	1	1	1000	2	1	0	99999	4										
771	名将击杀宝箱	FieldBoss_Award_2	34	100	100		RandomItemByLevel	1	击杀历代名将获得的宝箱	20000	1	1	1000	2	1	0	99999	4										
772	名将击杀宝箱	FieldBoss_Award_3	34	100	100		RandomItemByLevel	1	击杀历代名将获得的宝箱	20000	1	1	1000	2	1	0	99999	4										
773	名将击杀宝箱	FieldBoss_Award_4	34	100	100		RandomItemByLevel	1	击杀历代名将获得的宝箱	20000	1	1	1000	2	1	0	99999	4										
774	名将击杀宝箱	FieldBoss_Award_5	34	100	100		RandomItemByLevel	1	击杀历代名将获得的宝箱	20000	1	1	1000	2	1	0	99999	4										
775	首领挑战宝箱	Leader_AttendAward_1	34	100	100		RandomItemByLevel	1	参与首领挑战获得的宝箱	20000	1	1	1000	2	1	0	99999	5										
776	首领挑战宝箱	Leader_AttendAward_2	34	100	100		RandomItemByLevel	1	参与首领挑战获得的宝箱	20000	1	1	1000	2	1	0	99999	5										
777	首领挑战宝箱	Leader_AttendAward_3	34	100	100		RandomItemByLevel	1	参与首领挑战获得的宝箱	20000	1	1	1000	2	1	0	99999	5										
778	首领挑战宝箱	Leader_AttendAward_4	34	100	100		RandomItemByLevel	1	参与首领挑战获得的宝箱	20000	1	1	1000	2	1	0	99999	5										
779	首领挑战宝箱	Leader_AttendAward_5	34	100	100		RandomItemByLevel	1	参与首领挑战获得的宝箱	20000	1	1	1000	2	1	0	99999	5										
947	寒玉鹿王	FieldLeader_Award_1_1	34	100	100		RandomItem	1	击杀首领寒玉鹿王获得的宝箱	20000	1	1	1000		1	0	99999	947	1									
948	大地狼王	FieldLeader_Award_1_2	34	100	100		RandomItem	1	击杀首领大地狼王获得的宝箱	20000	1	1	1000		1	0	99999	948	1									
949	白眉猴王	FieldLeader_Award_1_3	34	100	100		RandomItem	1	击杀首领白眉猴王获得的宝箱	20000	1	1	1000		1	0	99999	949	1									
950	首领击杀宝箱（废弃）	FieldLeader_Award_1_4	34	100	100		RandomItemByLevel	1	击杀首领寒玉鹿王获得的宝箱	20000	1	1	1000		1	0	99999	6	1									
951	首领击杀宝箱（废弃）	FieldLeader_Award_1_5	34	100	100		RandomItemByLevel	1	击杀首领寒玉鹿王获得的宝箱	20000	1	1	1000		1	0	99999	6	1									
952	九尾狐王	FieldLeader_Award_2_1	34	100	100		RandomItem	1	击杀首领九尾狐王获得的宝箱	20000	1	1	1000		1	0	99999	952	1									
953	奔焰豹王	FieldLeader_Award_2_2	34	100	100		RandomItem	1	击杀首领奔焰豹王获得的宝箱	20000	1	1	1000		1	0	99999	953	1									
954	双首异兽	FieldLeader_Award_2_3	34	100	100		RandomItem	1	击杀首领双首异兽获得的宝箱	20000	1	1	1000		1	0	99999	954	1									
955	九尾狐王	FieldLeader_Award_2_4	34	100	100		RandomItem	1	击杀首领九尾狐王获得的宝箱	20000	1	1	1000		1	0	99999	955	1									
956	奔焰豹王	FieldLeader_Award_2_5	34	100	100		RandomItem	1	击杀首领奔焰豹王获得的宝箱	20000	1	1	1000		1	0	99999	956	1									
2224	双首异兽	FieldLeader_Award_2_6	34	100	100		RandomItem	1	击杀首领双首异兽获得的宝箱	20000	1	1	1000		1	0	99999	2234	1									
957	定海金刚	FieldLeader_Award_3_1	34	100	100		RandomItem	1	击杀首领定海金刚获得的宝箱	20000	1	1	1000		1	0	99999	957	1									
958	金翅鹏皇	FieldLeader_Award_3_2	34	100	100		RandomItem	1	击杀首领金翅鹏皇获得的宝箱	20000	1	1	1000		1	0	99999	958	1									
959	银角犀皇	FieldLeader_Award_3_3	34	100	100		RandomItem	1	击杀首领银角犀皇获得的宝箱	20000	1	1	1000		1	0	99999	959	1									
960	定海金刚	FieldLeader_Award_3_4	34	100	100		RandomItem	1	击杀首领定海金刚获得的宝箱	20000	1	1	1000		1	0	99999	960	1									
961	金翅鹏皇	FieldLeader_Award_3_5	34	100	100		RandomItem	1	击杀首领金翅鹏皇获得的宝箱	20000	1	1	1000		1	0	99999	961	1									
2522	银角犀皇	FieldLeader_Award_3_6	34	100	100		RandomItem	1	击杀首领银角犀皇获得的宝箱	20000	1	1	1000		1	0	99999	2522	1									
962	赤睛虎皇	FieldLeader_Award_4_1	34	100	100		RandomItem	1	击杀首领赤睛虎皇获得的宝箱	20000	1	1	1000		1	0	99999	962	1									
963	撼天熊皇	FieldLeader_Award_4_2	34	100	100		RandomItem	1	击杀首领撼天熊皇获得的宝箱	20000	1	1	1000		1	0	99999	963	1									
964	紫背鳄皇	FieldLeader_Award_4_3	34	100	100		RandomItem	1	击杀首领紫背鳄皇获得的宝箱	20000	1	1	1000		1	0	99999	964	1									
965	赤睛虎皇	FieldLeader_Award_4_4	34	100	100		RandomItem	1	击杀首领赤睛虎皇获得的宝箱	20000	1	1	1000		1	0	99999	965	1									
966	撼天熊皇	FieldLeader_Award_4_5	34	100	100		RandomItem	1	击杀首领撼天熊皇获得的宝箱	20000	1	1	1000		1	0	99999	966	1									
3421	紫背鳄皇	FieldLeader_Award_4_6	34	100	100		RandomItem	1	击杀首领紫背鳄皇获得的宝箱	20000	1	1	1000		1	0	99999	3421	1									
4598	冰鳞蜥皇	FieldLeader_Award_5_1	34	100	100		RandomItem	1	击杀首领冰鳞蜥皇获得的宝箱	20000	1	1	1000		1	0	99999	4598	1									
4599	银钩蝎皇	FieldLeader_Award_5_2	34	100	100		RandomItem	1	击杀首领银钩蝎皇获得的宝箱	20000	1	1	1000		1	0	99999	4599	1									
4600	狂鬃獒皇	FieldLeader_Award_5_3	34	100	100		RandomItem	1	击杀首领狂鬃獒皇获得的宝箱	20000	1	1	1000		1	0	99999	4600	1									
4601	冰鳞蜥皇	FieldLeader_Award_5_4	34	100	100		RandomItem	1	击杀首领冰鳞蜥皇获得的宝箱	20000	1	1	1000		1	0	99999	4601	1									
4602	银钩蝎皇	FieldLeader_Award_5_5	34	100	100		RandomItem	1	击杀首领银钩蝎皇获得的宝箱	20000	1	1	1000		1	0	99999	4602	1									
4603	狂鬃獒皇	FieldLeader_Award_5_6	34	100	100		RandomItem	1	击杀首领狂鬃獒皇获得的宝箱	20000	1	1	1000		1	0	99999	4603	1									
1414	通天塔1层宝箱	TongTian_floor1	34	100	100		RandomItem	1	完成通天塔后获得的宝箱	20000	1	1	1000	1	1	0	99999	1414	1									
1415	通天塔2层宝箱	TongTian_floor2	34	100	100		RandomItem	1	完成通天塔后获得的宝箱	20000	1	1	1000	2	1	0	99999	1415	1									
1416	通天塔3层宝箱	TongTian_floor3	34	100	100		RandomItem	1	完成通天塔后获得的宝箱	20000	1	1	1000	2	1	0	99999	1416	1									
1417	通天塔4层宝箱	TongTian_floor4	34	100	100		RandomItem	1	完成通天塔后获得的宝箱	20000	1	1	1000	3	1	0	99999	1417	1									
1418	通天塔5层宝箱	TongTian_floor5	34	100	100		RandomItem	1	完成通天塔后获得的宝箱	20000	1	1	1000	3	1	0	99999	1418	1									
1419	通天塔6层宝箱	TongTian_floor6	34	100	100		RandomItem	1	完成通天塔后获得的宝箱	20000	1	1	1000	4	1	0	99999	1419	1									
1420	通天塔7层宝箱	TongTian_floor7	34	100	100		RandomItem	1	完成通天塔后获得的宝箱	20000	1	1	1000	4	1	0	99999	1420	1									
785	黄金钥匙	TheKey_1	34	101	101			1	可以用来开启一个[FFFE0D]黄金宝箱[-]	20000	1	1	1000	2	1	0	99999											
786	黄金宝箱	TheBox_1	34	100	100		OpenCase	1	需要消耗[FFFE0D]1把黄金钥匙[-]来开启\n随机获得一个物品，有可能获得[FFFE0D]家具材料、资质丹、水晶、随机魂石、随机同伴技能书、随机装备、银两[-]等奖励	20000	1	1	1000	2	1	0	99999	15										
787	藏宝图	Cangbaotu_1	34	787	787		CangBaoTu	1	江湖中流传甚广的普通藏宝图纸，上面记录着藏宝信息	10000	1	1	1000		1	0	99999	7	1									
788	高级藏宝图	Cangbaotu_2	34	1009	1009		CangBaoTu	1	古旧的藏宝图纸，记录着藏宝信息\n[FFFE0D]可以通过藏宝图挖宝获得材料合成高级藏宝图，需2人以上组队前往[-]	200000	1	1	1000	3	1	0	99999	30	2									
791	英雄令	Herobrand	34	791	791			12	参与野外首领、历代名将、挑战武林盟主等活动后通过家族拍卖来获取，象征着个人对武林做出的奉献\n\n晋升高级[FFFE0D]「头衔」[-]的必备物品	300000	1	1	1000		1	0	99999											
1393	盟主令	HonorLevelItem_1	34	1393	1393			12	象征勇武，为武者当先强身健体，武功卓绝。\n\n晋升[FFFE0D]「凌云」、「御空」[-]头衔的必备物品	300000	1	1	1000	2	1	0	99999											
1394	名将令	HonorLevelItem_2	34	1394	1394			12	象征谋略，一人虽强，双拳难敌四手，需统御一方之雄，方可称霸一方。\n\n晋升[FFFE0D]「潜龙」、「傲世」[-]头衔的必备物品	500000	1	1	1000	3	1	0	99999											
1395	逐鹿令	HonorLevelItem_3	34	1395	1395			12	象征王气，与世间王侯逐鹿中原、争霸天下的枭雄之令。\n\n晋升[FFFE0D]「倚天」、「至尊」[-]头衔的必备物品	1000000	1	1	1000	4	1	0	99999											
1396	帝皇令	HonorLevelItem_4	34	1396	1396			12	象征帝心，天下已唾手可得，与天地间古之帝王一争长短的帝令。\n\n晋升[FFFE0D]「武圣」、「无双」[-]头衔的必备物品	3000000	1	1	1000	5	1	0	99999											
1397	传说令	HonorLevelItem_5	34	1397	1397			12	通过大型跨服活动获得，象征傲视寰宇的无上荣耀之令。\n\n晋升[FFFE0D]「传说」、「神话」[-]头衔的必备物品	5000000	1	1	1000	6	1	0	99999											
792	古旧的宝箱	Old_Box	34	792	792		RandomItemByLevel	1	散发着古朴气息的箱子，打开后随机获得一份奖励	20000	1	1	1000	2	1	0	99999	8										
915	初级符文箱	Rune_Box_1	34	100	100		RandomItem	1	符文宝箱	20000	1	1	1000		1	0	99999	915	1									
916	中级符文箱	Rune_Box_2	34	100	100		RandomItem	1	符文宝箱	20000	1	1	1000		1	0	99999	916	1									
918	高级符文箱	Rune_Box_3	34	100	100		RandomItem	1	符文宝箱	20000	1	1	1000		1	0	99999	918	1									
917	高级符文卷轴箱	Rune_Reel_Box_4	34	100	100		RandomItem	1	符文卷轴宝箱	20000	1	1	1000		1	0	99999	917	1									
919	强效符文卷轴箱	Rune_Reel_Box_5	34	100	100		RandomItem	1	符文卷轴宝箱	20000	1	1	1000		1	0	99999	919	1									
920	特效符文卷轴箱	Rune_Reel_Box_6	34	100	100		RandomItem	1	符文卷轴宝箱	20000	1	1	1000		1	0	99999	920	1									
921	完美符文卷轴箱	Rune_Reel_Box_7	34	100	100		RandomItem	1	符文卷轴宝箱	20000	1	1	1000		1	0	99999	921	1									
923	凌绝峰2级令牌	RandomFuBen_Item1	34	773	773		TaskItem	11	通关凌绝峰2层有概率获得，可用来完成商会任务（30级开启）	20000	1	1	1000	2	1	0	99999											
924	凌绝峰3级令牌	RandomFuBen_Item2	34	774	774		TaskItem	11	通关凌绝峰3层有概率获得，可用来完成商会任务（30级开启）	20000	1	1	1000	2	1	0	99999											
925	凌绝峰4级令牌	RandomFuBen_Item3	34	775	775		TaskItem	11	通关凌绝峰4层有概率获得，可用来完成商会任务（30级开启）	20000	1	1	1000	2	1	0	99999											
926	凌绝峰5级令牌	RandomFuBen_Item4	34	776	776		TaskItem	11	通关凌绝峰5层有概率获得，可用来完成商会任务（30级开启）	20000	1	1	1000	3	1	0	99999											
1236	凌绝峰1级令牌	RandomFuBen_Item5	34	772	772		TaskItem	11	通关凌绝峰1层有概率获得，可用来完成商会任务（30级开启）	20000	1	1	1000	2	1	0	99999											
