TemplateId	NextTemplateId	Name	Debris	InsetType	FightPower	Weapon	Helm	Cuff	Armor	Belt	Boots	Necklace	Ring	Pendant	Amulet	AttribType1	Value11	Value21	Value31	AttribType2	Value12	Value22	Value32
201	230	生命寶石碎片	1	0																			
230	231	生命寶石1級		0	20		1	1		1	1					lifemax_v	240						
231	232	生命宝石2级		0	60		1	1		1	1					lifemax_v	480						
232		生命宝石3级		0	180		1	1		1	1					lifemax_v	840						
233		生命宝石4级		0	540		1	1		1	1					lifemax_v	1200						
234		生命宝石5级		0	1650		1	1		1	1					lifemax_v	1680						
235		生命宝石6级		0	5000		1	1		1	1					lifemax_v	2160						
236		生命宝石7级		0	15000		1	1		1	1					lifemax_v	3080						
237		生命宝石8级		0	45000		1	1		1	1					lifemax_v	4000						
238		生命宝石9级		0	45000		1	1		1	1					lifemax_v	4000						
202	240	攻擊寶石碎片	1	0																			
240	241	攻擊寶石1級		0	20							1	1	1	1	physical_damage_v	12		12				
241	242	攻击宝石2级		0	60							1	1	1	1	physical_damage_v	24		24				
242		攻击宝石3级		0	180							1	1	1	1	physical_damage_v	42		42				
243		攻击宝石4级		0	540							1	1	1	1	physical_damage_v	60		60				
244		攻击宝石5级		0	1650							1	1	1	1	physical_damage_v	84		84				
245		攻击宝石6级		0	5000							1	1	1	1	physical_damage_v	108		108				
246		攻击宝石7级		0	15000							1	1	1	1	physical_damage_v	154		154				
247		攻击宝石8级		0	45000							1	1	1	1	physical_damage_v	200		200				
248		攻击宝石9级		0	45000							1	1	1	1	physical_damage_v	200		200				
203	250	抗性寶石碎片	1	0																			
250	251	抗性寶石1級		0	20		1	1	1	1						all_series_resist_v	6						
251	252	抗性宝石2级		0	60		1	1	1	1						all_series_resist_v	12						
252		抗性宝石3级		0	180		1	1	1	1						all_series_resist_v	21						
253		抗性宝石4级		0	540		1	1	1	1						all_series_resist_v	30						
254		抗性宝石5级		0	1650		1	1	1	1						all_series_resist_v	42						
255		抗性宝石6级		0	5000		1	1	1	1						all_series_resist_v	54						
256		抗性宝石7级		0	15000		1	1	1	1						all_series_resist_v	77						
257		抗性宝石8级		0	45000		1	1	1	1						all_series_resist_v	100						
258		抗性宝石9级		0	45000		1	1	1	1						all_series_resist_v	100						
204	260	忽抗寶石碎片	1	0																			
260	261	忽抗寶石1級		0	20	1						1	1	1		ignore_all_resist_v	100	6					
261	262	忽抗宝石2级		0	60	1						1	1	1		ignore_all_resist_v	100	12					
262		忽抗宝石3级		0	180	1						1	1	1		ignore_all_resist_v	100	21					
263		忽抗宝石4级		0	540	1						1	1	1		ignore_all_resist_v	100	30					
264		忽抗宝石5级		0	1650	1						1	1	1		ignore_all_resist_v	100	42					
265		忽抗宝石6级		0	5000	1						1	1	1		ignore_all_resist_v	100	54					
266		忽抗宝石7级		0	15000	1						1	1	1		ignore_all_resist_v	100	77					
267		忽抗宝石8级		0	45000	1						1	1	1		ignore_all_resist_v	100	100					
268		忽抗宝石9级		0	45000	1						1	1	1		ignore_all_resist_v	100	100					
205	270	閃避寶石碎片	1	0																			
270	271	閃避寶石1級		0	20		1	1	1		1					defense_v	24						
271	272	闪避宝石2级		0	60		1	1	1		1					defense_v	48						
272	273	闪避宝石3级		0	180		1	1	1		1					defense_v	84						
273	274	闪避宝石4级		0	540		1	1	1		1					defense_v	120						
274	275	闪避宝石5级		0	1650		1	1	1		1					defense_v	168						
275	276	闪避宝石6级		0	5000		1	1	1		1					defense_v	216						
276	277	闪避宝石7级		0	15000		1	1	1		1					defense_v	308						
277		闪避宝石8级		0	45000		1	1	1		1					defense_v	400						
278		闪避宝石9级		0	45000		1	1	1		1					defense_v	400						
206	280	忽閃寶石碎片	1	0																			
280	281	忽閃寶石1級		0	20	1						1	1		1	ignore_defense_v	24						
281	282	忽闪宝石2级		0	60	1						1	1		1	ignore_defense_v	48						
