TemplateId	Name	Kind		ItemType	BigIcon	CDType	ClassName	DetailType	Icon	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
3577	铭刻石【战场】	RecordStone_N1		34	27001		RecordStone	3	27001	一种铭刻于武器之上的神奇宝石。铭刻后，可用来记录[FFFE0D]在宋金战场中，累计破敌数[-]\n\n只能铭刻于6阶稀有及黄金武器上	1000000	1	2	1000	4	20	1	99999										
3578	铭刻石【攻城战】	RecordStone_N2		34	27002		RecordStone	3	27002	一种铭刻于武器之上的神奇宝石。铭刻后，可用来记录[FFFE0D]在攻城战中，累计破敌数[-]\n\n只能铭刻于6阶稀有及黄金武器上	1000000	1	2	1000	4	20	1	99999										
3579	铭刻石【白虎堂】	RecordStone_N3		34	27003		RecordStone	3	27003	一种铭刻于武器之上的神奇宝石。铭刻后，可用来记录[FFFE0D]在白虎堂中，累计杀人数[-]\n\n只能铭刻于6阶稀有及黄金武器上	1000000	1	2	1000	4	20	1	99999										
3580	铭刻石【门派竞技】	RecordStone_N4		34	27004		RecordStone	3	27004	一种铭刻于武器之上的神奇宝石。铭刻后，可用来记录[FFFE0D]在门派竞技中，累计获得新人王的次数[-]\n\n只能铭刻于6阶稀有及黄金武器上	1000000	1	2	1000	4	20	1	99999										
3581	铭刻石【武林盟主】	RecordStone_N5		34	27005		RecordStone	3	27005	一种铭刻于武器之上的神奇宝石。铭刻后，可用来记录[FFFE0D]在武林盟主中，累计抢分成功的次数[-]\n\n只能铭刻于6阶稀有及黄金武器上	1000000	1	2	1000	4	20	1	99999										
3582	铭刻石【历代名将】	RecordStone_N6		34	27006		RecordStone	3	27006	一种铭刻于武器之上的神奇宝石。铭刻后，可用来记录[FFFE0D]在历代名将中，累计破敌数[-]\n\n只能铭刻于6阶稀有及黄金武器上	1000000	1	2	1000	4	20	1	99999										
3583	铭刻石【华山论剑】	RecordStone_N7		34	27007		RecordStone	3	27007	一种铭刻于武器之上的神奇宝石。铭刻后，可用来记录[FFFE0D]在华山论剑中，累计获胜的次数[-]\n\n只能铭刻于6阶稀有及黄金武器上	1000000	1	2	1000	4	20	1	99999										
3584	铭刻石【通天塔】	RecordStone_N8		34	27008		RecordStone	3	27008	一种铭刻于武器之上的神奇宝石。铭刻后，可用来记录[FFFE0D]在通天塔中，累计获胜的次数[-]\n\n只能铭刻于6阶稀有及黄金武器上	1000000	1	2	1000	4	20	1	99999										
230	1级生命宝石	life_stone_1		34	230		Stone	3	230	4个同级宝石可合成1个高级宝石	20000	1	2	1000	1	27	1	99999										
231	2级生命宝石	life_stone_2		34	231		Stone	3	231	4个同级宝石可合成1个高级宝石	60000	2	2	1000	2	27	1	99999										
232	3级生命宝石	life_stone_3		34	232		Stone	3	232	4个同级宝石可合成1个高级宝石	180000	3	2	1000	3	27	1	99999										
233	4级生命宝石	life_stone_4		34	233		Stone	3	233	4个同级宝石可合成1个高级宝石	540000	4	2	1000	4	40	1	99999										
234	5级生命宝石	life_stone_5		34	234		Stone	3	234	4个同级宝石可合成1个高级宝石	1650000	5	2	1000	5	50	1	99999										
235	6级生命宝石	life_stone_6		34	235		Stone	3	235	4个同级宝石可合成1个高级宝石	5000000	6	2	1000	6	60	1	99999										
236	7级生命宝石	life_stone_7		34	236		Stone	3	236	4个同级宝石可合成1个高级宝石	15000000	7	2	1000	7	70	1	99999										
237	8级生命宝石	life_stone_8		34	237		Stone	3	237	4个同级宝石可合成1个高级宝石	45000000	7	2	1000	7	80	1	99999										
238	9级生命宝石	life_stone_9		34	238		Stone	3	238	4个同级宝石可合成1个高级宝石	45000000	7	2	1000	7	90	1	99999										
239	10级生命宝石	life_stone_10		34	239		Stone	3	239	生命宝石10级	45000000	7	2	1000	7	100	1	99999										
240	1级攻击宝石	physcical_damage_stone_1		34	240		Stone	3	240	4个同级宝石可合成1个高级宝石	20000	1	2	1000	1	27	1	99999										
241	2级攻击宝石	physcical_damage_stone_2		34	241		Stone	3	241	4个同级宝石可合成1个高级宝石	60000	2	2	1000	2	27	1	99999										
242	3级攻击宝石	physcical_damage_stone_3		34	242		Stone	3	242	4个同级宝石可合成1个高级宝石	180000	3	2	1000	3	27	1	99999										
243	4级攻击宝石	physcical_damage_stone_4		34	243		Stone	3	243	4个同级宝石可合成1个高级宝石	540000	4	2	1000	4	40	1	99999										
244	5级攻击宝石	physcical_damage_stone_5		34	244		Stone	3	244	4个同级宝石可合成1个高级宝石	1650000	5	2	1000	5	50	1	99999										
245	6级攻击宝石	physcical_damage_stone_6		34	245		Stone	3	245	4个同级宝石可合成1个高级宝石	5000000	6	2	1000	6	60	1	99999										
246	7级攻击宝石	physcical_damage_stone_7		34	246		Stone	3	246	4个同级宝石可合成1个高级宝石	15000000	7	2	1000	7	70	1	99999										
247	8级攻击宝石	physcical_damage_stone_8		34	247		Stone	3	247	4个同级宝石可合成1个高级宝石	45000000	7	2	1000	7	80	1	99999										
248	9级攻击宝石	physcical_damage_stone_9		34	248		Stone	3	248	4个同级宝石可合成1个高级宝石	45000000	7	2	1000	7	90	1	99999										
249	10级攻击宝石	physcical_damage_stone_10		34	249		Stone	3	249	攻击宝石10级	45000000	7	2	1000	7	100	1	99999										
250	1级抗性宝石	all_resist_stone_1		34	250		Stone	3	250	4个同级宝石可合成1个高级宝石	20000	1	2	1000	1	27	1	99999										
251	2级抗性宝石	all_resist_stone_2		34	251		Stone	3	251	4个同级宝石可合成1个高级宝石	60000	2	2	1000	2	27	1	99999										
252	3级抗性宝石	all_resist_stone_3		34	252		Stone	3	252	4个同级宝石可合成1个高级宝石	180000	3	2	1000	3	27	1	99999										
253	4级抗性宝石	all_resist_stone_4		34	253		Stone	3	253	4个同级宝石可合成1个高级宝石	540000	4	2	1000	4	40	1	99999										
254	5级抗性宝石	all_resist_stone_5		34	254		Stone	3	254	4个同级宝石可合成1个高级宝石	1650000	5	2	1000	5	50	1	99999										
255	6级抗性宝石	all_resist_stone_6		34	255		Stone	3	255	4个同级宝石可合成1个高级宝石	5000000	6	2	1000	6	60	1	99999										
