TemplateId	Name	Kind	ShowType	ItemType	BigIcon	CDType	ClassName	DetailType	Icon	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
1022	1阶武器	Un_T1_Weapon_Q1	1101	36	10111		Unidentify	1	10111	鉴定等级：1级\n鉴定后获得[FFFE0D]1阶[-]武器	25000	1	7	25000	1	1	1	999	1									
1023	2阶武器	Un_T2_Weapon_Q1	1102	36	10112		Unidentify	1	10112	鉴定等级：20级\n鉴定后获得[FFFE0D]2阶[-]武器	50000	2	7	50000	1	20	1	999	2									
1024	3阶武器	Un_T3_Weapon_Q1	1103	36	10113		Unidentify	1	10113	鉴定等级：40级\n鉴定后获得[FFFE0D]3阶[-]武器	100000	3	7	100000	1	40	1	999	3									
1025	4阶武器	Un_T4_Weapon_Q1	1104	36	10114		Unidentify	1	10114	鉴定等级：50级\n鉴定后获得[FFFE0D]4阶[-]武器	200000	4	7	200000	1	50	1	999	4									
1026	5阶武器	Un_T5_Weapon_Q1	1105	36	10115		Unidentify	1	10115	鉴定等级：60级\n鉴定后获得[FFFE0D]5阶[-]武器	400000	5	7	400000	1	60	1	999	5									
1027	6阶武器	Un_T6_Weapon_Q1	1106	36	10116		Unidentify	1	10116	鉴定等级：70级\n鉴定后获得[FFFE0D]6阶[-]武器	800000	6	7	800000	1	70	1	999	6									
1028	7阶武器	Un_T7_Weapon_Q1	1107	36	10117		Unidentify	1	10117	鉴定等级：80级\n鉴定后获得[FFFE0D]7阶[-]武器	1600000	7	7	1600000	1	80	1	999	7									
1029	8阶武器	Un_T8_Weapon_Q1	1108	36	10118		Unidentify	1	10118	鉴定等级：90级\n鉴定后获得[FFFE0D]8阶[-]武器	2250000	8	7	2250000	1	90	1	999	8									
1030	9阶武器	Un_T9_Weapon_Q1	1109	36	10119		Unidentify	1	10119	鉴定等级：100级\n鉴定后获得[FFFE0D]9阶[-]武器	3000000	9	7	3000000	1	100	1	999	9									
1031	10阶武器	Un_T10_Weapon_Q1	1110	36	10120		Unidentify	1	10120	鉴定等级：110级\n鉴定后获得[FFFE0D]10阶[-]武器	4000000	10	7	4000000	1	110	1	999	10									
5441	11阶武器	Un_T11_Weapon_Q1	1311	36			Unidentify	1		鉴定等级：120级\n鉴定后获得[FFFE0D]11阶[-]武器	5500000	11	7	5500000	1	120	1	999	4901									
5442	12阶武器	Un_T12_Weapon_Q1	1312	36			Unidentify	1		鉴定等级：130级\n鉴定后获得[FFFE0D]12阶[-]武器	50000	12	7	50000	1	130	1	999	4902									
5443	13阶武器	Un_T13_Weapon_Q1	1313	36			Unidentify	1		鉴定等级：140级\n鉴定后获得[FFFE0D]13阶[-]武器	100000	13	7	100000	1	140	1	999	4903									
5444	14阶武器	Un_T14_Weapon_Q1	1314	36			Unidentify	1		鉴定等级：150级\n鉴定后获得[FFFE0D]14阶[-]武器	200000	14	7	200000	1	150	1	999	4904									
5445	15阶武器	Un_T15_Weapon_Q1	1315	36			Unidentify	1		鉴定等级：160级\n鉴定后获得[FFFE0D]15阶[-]武器	400000	15	7	400000	1	160	1	999	4905									
5446	16阶武器	Un_T16_Weapon_Q1	1316	36			Unidentify	1		鉴定等级：170级\n鉴定后获得[FFFE0D]16阶[-]武器	800000	16	7	800000	1	170	1	999	4906									
5447	17阶武器	Un_T17_Weapon_Q1	1317	36			Unidentify	1		鉴定等级：180级\n鉴定后获得[FFFE0D]17阶[-]武器	1600000	17	7	1600000	1	180	1	999	4907									
5448	18阶武器	Un_T18_Weapon_Q1	1318	36			Unidentify	1		鉴定等级：190级\n鉴定后获得[FFFE0D]18阶[-]武器	2250000	18	7	2250000	1	190	1	999	4908									
5449	19阶武器	Un_T19_Weapon_Q1	1319	36			Unidentify	1		鉴定等级：200级\n鉴定后获得[FFFE0D]19阶[-]武器	3000000	19	7	3000000	1	200	1	999	4909									
5450	20阶武器	Un_T20_Weapon_Q1	1320	36			Unidentify	1		鉴定等级：210级\n鉴定后获得[FFFE0D]20阶[-]武器	4000000	20	7	4000000	1	210	1	999	4910									
1032	虎睛项链	Un_T1_Necklace_Q1		36	11		Unidentify	1	11	鉴定等级：1级\n鉴定后获得[FFFE0D]1阶[-]项链	10000	1	7	10000	1	1	1	999	11									
1033	冰晶项链	Un_T2_Necklace_Q1		36	12		Unidentify	1	12	鉴定等级：24级\n鉴定后获得[FFFE0D]2阶[-]项链	20000	2	7	20000	1	24	1	999	12									
1034	珊瑚项链	Un_T3_Necklace_Q1		36	13		Unidentify	1	13	鉴定等级：42级\n鉴定后获得[FFFE0D]3阶[-]项链	40000	3	7	40000	1	42	1	999	13									
1035	五色项链	Un_T4_Necklace_Q1		36	14		Unidentify	1	14	鉴定等级：52级\n鉴定后获得[FFFE0D]4阶[-]项链	80000	4	7	80000	1	52	1	999	14									
1036	温润之链	Un_T5_Necklace_Q1		36	15		Unidentify	1	15	鉴定等级：62级\n鉴定后获得[FFFE0D]5阶[-]项链	160000	5	7	160000	1	62	1	999	15									
1037	秘隐之链	Un_T6_Necklace_Q1		36	16		Unidentify	1	16	鉴定等级：72级\n鉴定后获得[FFFE0D]6阶[-]项链	320000	6	7	320000	1	72	1	999	16									
1038	北辰之链	Un_T7_Necklace_Q1		36	17		Unidentify	1	17	鉴定等级：82级\n鉴定后获得[FFFE0D]7阶[-]项链	640000	7	7	640000	1	82	1	999	17									
1039	群鸟之链	Un_T8_Necklace_Q1		36	18		Unidentify	1	18	鉴定等级：92级\n鉴定后获得[FFFE0D]8阶[-]项链	900000	8	7	900000	1	92	1	999	18									
1040	朝露之链	Un_T9_Necklace_Q1		36	19		Unidentify	1	19	鉴定等级：102级\n鉴定后获得[FFFE0D]9阶[-]项链	1200000	9	7	1200000	1	102	1	999	19									
1041	鸿雁之链	Un_T10_Necklace_Q1		36	20		Unidentify	1	20	鉴定等级：112级\n鉴定后获得[FFFE0D]10阶[-]项链	1600000	10	7	1600000	1	112	1	999	20									
5471	乾坤之链	Un_T11_Necklace_Q1		36	4911		Unidentify	1	4911	鉴定等级：122级\n鉴定后获得[FFFE0D]11阶[-]项链	2200000	11	7	2200000	1	122	1	999	4911									
5472	项链T12	Un_T12_Necklace_Q1		36	4912		Unidentify	1	4912	鉴定等级：132级\n鉴定后获得[FFFE0D]12阶[-]项链	20000	12	7	20000	1	132	1	999	4912									
5473	项链T13	Un_T13_Necklace_Q1		36	4913		Unidentify	1	4913	鉴定等级：142级\n鉴定后获得[FFFE0D]13阶[-]项链	40000	13	7	40000	1	142	1	999	4913									
5474	项链T14	Un_T14_Necklace_Q1		36	4914		Unidentify	1	4914	鉴定等级：152级\n鉴定后获得[FFFE0D]14阶[-]项链	80000	14	7	80000	1	152	1	999	4914									
5475	项链T15	Un_T15_Necklace_Q1		36	4915		Unidentify	1	4915	鉴定等级：162级\n鉴定后获得[FFFE0D]15阶[-]项链	160000	15	7	160000	1	162	1	999	4915									
5476	项链T16	Un_T16_Necklace_Q1		36	4916		Unidentify	1	4916	鉴定等级：172级\n鉴定后获得[FFFE0D]16阶[-]项链	320000	16	7	320000	1	172	1	999	4916									
5477	项链T17	Un_T17_Necklace_Q1		36	4917		Unidentify	1	4917	鉴定等级：182级\n鉴定后获得[FFFE0D]17阶[-]项链	640000	17	7	640000	1	182	1	999	4917									
5478	项链T18	Un_T18_Necklace_Q1		36	4918		Unidentify	1	4918	鉴定等级：192级\n鉴定后获得[FFFE0D]18阶[-]项链	900000	18	7	900000	1	192	1	999	4918									
5479	项链T19	Un_T19_Necklace_Q1		36	4919		Unidentify	1	4919	鉴定等级：202级\n鉴定后获得[FFFE0D]19阶[-]项链	1200000	19	7	1200000	1	202	1	999	4919									
5480	项链T20	Un_T20_Necklace_Q1		36	4920		Unidentify	1	4920	鉴定等级：212级\n鉴定后获得[FFFE0D]20阶[-]项链	1600000	20	7	1600000	1	212	1	999	4920									
