RealLevel	AttribLevel	Probility	Desc
1	3	1800	T1普通
1	2	4089	T1普通
1	1	4111	T1普通
2	4	500	T1传承
2	3	1459	T1传承
2	2	3000	T1传承
2	1	5041	T1传承
3	5	1800	T2普通
3	4	4089	T2普通
3	3	4111	T2普通
4	5	1600	T1稀有
4	4	3467	T1稀有
4	3	4933	T1稀有
5	6	500	T2传承
5	5	1459	T2传承
5	4	3000	T2传承
5	3	5041	T2传承
6	7	1800	T3普通
6	6	4089	T3普通
6	5	4111	T3普通
7	7	1600	T2稀有
7	6	3467	T2稀有
7	5	4933	T2稀有
8	8	500	T3传承
8	7	1459	T3传承
8	6	3000	T3传承
8	5	5041	T3传承
9	9	1500	T4普通
9	8	3889	T4普通
9	7	4611	T4普通
10	9	1800	T3稀有
10	8	4600	T3稀有
10	7	3600	T3稀有
11	10	400	T4传承
11	9	1200	T4传承
11	8	2756	T4传承
11	7	5644	T4传承
12	11	1100	T5普通
12	10	3367	T5普通
12	9	5533	T5普通
13	11	2100	T4稀有
13	10	5100	T4稀有
13	9	2800	T4稀有
14	12	350	T5传承
14	11	1100	T5传承
14	10	2625	T5传承
14	9	5925	T5传承
15	13	1000	T6普通
15	12	3149	T6普通
15	11	5851	T6普通
16	13	1850	T5稀有
16	12	4571	T5稀有
16	11	3579	T5稀有
17	14	300	T6传承
17	13	1175	T6传承
17	12	2700	T6传承
17	11	5825	T6传承
18	15	900	T7普通
18	14	3083	T7普通
18	13	6017	T7普通
19	15	1200	T6稀有
19	14	3515	T6稀有
19	13	5285	T6稀有
20	16	300	T7传承
20	15	1280	T7传承
20	14	2700	T7传承
20	13	5720	T7传承
21	17	800	T8普通
21	16	3000	T8普通
21	15	6200	T8普通
22	17	900	T7稀有
22	16	3000	T7稀有
22	15	6100	T7稀有
23	18	300	T8传承
23	17	1058	T8传承
23	16	2750	T8传承
23	15	5892	T8传承
24	19	700	T9普通
24	18	2578	T9普通
24	17	6722	T9普通
25	19	600	T8稀有
25	18	2073	T8稀有
25	17	7327	T8稀有
26	20	260	T9传承
26	19	1017	T9传承
26	18	3000	T9传承
26	17	5723	T9传承
27	21	700	T10普通
27	20	2765	T10普通
27	19	6535	T10普通
28	21	500	T9稀有
28	20	1556	T9稀有
28	19	7944	T9稀有
29	22	200	T10传承
29	21	1015	T10传承
29	20	3000	T10传承
29	19	5785	T10传承
30	23	700	T11普通
30	22	2210	T11普通
30	21	7090	T11普通
31	23	500	T10稀有
31	22	1597	T10稀有
31	21	7903	T10稀有
32	24	150	T11传承
32	23	497	T11传承
32	22	3536	T11传承
32	21	5817	T11传承
33	25	700	T12普通
33	24	2210	T12普通
33	23	7090	T12普通
34	25	500	T11稀有
34	24	1400	T11稀有
34	23	8100	T11稀有
