RealLevel	Count1	Count2	Count3	Count4	Count5	ExtAttribLevel	Desc
1	623	266	100	10	1		T1普通
2	623	266	100	10	1	4	T1传承
3	623	266	100	10	1		T2普通
4	623	266	100	10	1	6	T1稀有
5	623	266	100	10	1	6	T2传承
6	623	266	100	10	1		T3普通
7	623	266	100	10	1	8	T2稀有
8	623	266	100	10	1	8	T3传承
9	623	266	100	10	1		T4普通
10	623	266	100	10	1	10	T3稀有
11	623	266	100	10	1	10	T4传承
12	623	266	100	10	1		T5普通
13	623	266	100	10	1	12	T4稀有
14	623	266	100	10	1	12	T5传承
15	623	266	100	10	1		T6普通
16	623	266	100	10	1	14	T5稀有
17	623	266	100	10	1	14	T6传承
18	623	266	100	10	1		T7普通
19	623	266	100	10	1	16	T6稀有
20	623	266	100	10	1	16	T7传承
21	623	266	100	10	1		T8普通
22	623	266	100	10	1	18	T7稀有
23	623	266	100	10	1	18	T8传承
24	623	266	100	10	1		T9普通
25	623	266	100	10	1	20	T8稀有
26	623	266	100	10	1	20	T9传承
27	623	266	100	10	1		T10普通
28	623	266	100	10	1	22	T9稀有
29	623	266	100	10	1	22	T10传承
30	623	266	100	10	1		T11普通
31	623	266	100	10	1	24	T10稀有
32	623	266	100	10	1	24	T11传承
33	623	266	100	10	1		T12普通
34	623	266	100	10	1	26	T11稀有
