ClassParamID	Desc	Probability	Name	Item	DebtReplaceItem	OtherType	SubType	Amount	Add2Auction	TimeLimit	WorldMsg	FriendMsg	KinMsg	TeamMsg
1		0	100银两			Coin		100						
1		0	一个同伴魂石			PartnerStone	9	10						
1		5	1个红药瓶小	579				1			5		3	
1		5	2个红药瓶小	579				2						
2		0	200银两			Coin		200						
2		0	20元宝			Gold		20						
2		5	1个红药瓶小	579				1					3	
2		5	2个红药瓶小	579				2						
3		0	300银两			Coin		300						
3		0	30元宝			Gold		30						
3		5	1个红药瓶小	579				1			5		3	
3		5	2个红药瓶小	579				2						
749	武神黄金箱（1-39级）	95200	T2稀有项链	1133				1					13	
749	武神黄金箱（1-39级）	476200	T2传承项链	1621				1						
749	武神黄金箱（1-39级）	15900	魂石·杨铁心	1731				1			13		13	
749	武神黄金箱（1-39级）	14300	3000贡献			Contrib		3000					13	
749	武神黄金箱（1-39级）	28500	2000贡献			Contrib		2000					13	
749	武神黄金箱（1-39级）	74250	1000贡献			Contrib		1000						
749	武神黄金箱（1-39级）	117050	800贡献			Contrib		800						
749	武神黄金箱（1-39级）	178600	500贡献			Contrib		500						
750	武神黄金箱（40-49级）	34300	T3稀有项链	1134				1			13		13	
750	武神黄金箱（40-49级）	250000	T3传承项链	1622				1					13	
750	武神黄金箱（40-49级）	15900	魂石·杨铁心	1731				1			13		13	
750	武神黄金箱（40-49级）	2400	3000贡献			Contrib		3000					13	
750	武神黄金箱（40-49级）	10700	2000贡献			Contrib		2000					13	
750	武神黄金箱（40-49级）	42700	1000贡献			Contrib		1000						
750	武神黄金箱（40-49级）	140250	600贡献			Contrib		600						
750	武神黄金箱（40-49级）	503750	400贡献			Contrib		400						
751	武神黄金箱（50-59级）	211500	T4稀有项链碎片	2094				1					13	
751	武神黄金箱（50-59级）	90000	T4传承项链	1623				1			13		13	
751	武神黄金箱（50-59级）	16000	魂石·杨铁心	1731				1			13		13	
751	武神黄金箱（50-59级）	4000	3000贡献			Contrib		3000					13	
751	武神黄金箱（50-59级）	12000	2000贡献			Contrib		2000					13	
751	武神黄金箱（50-59级）	40000	1000贡献			Contrib		1000						
751	武神黄金箱（50-59级）	149500	600贡献			Contrib		600						
751	武神黄金箱（50-59级）	477000	400贡献			Contrib		400						
752	武神黄金箱（60-69级）	96000	T5稀有项链碎片	2095				1					13	
752	武神黄金箱（60-69级）	200000	T5传承项链碎片	2098				1					13	
752	武神黄金箱（60-69级）	2000	魂石·杨瑛	2528				1			13		13	
752	武神黄金箱（60-69级）	5000	魂石·杨铁心	1731				1			13		13	
752	武神黄金箱（60-69级）	300000	2级石头	4322				1					13	
752	武神黄金箱（60-69级）	5000	3000贡献			Contrib		3000					13	
752	武神黄金箱（60-69级）	15000	2000贡献			Contrib		2000						
752	武神黄金箱（60-69级）	45000	1000贡献			Contrib		1000						
752	武神黄金箱（60-69级）	138500	600贡献			Contrib		600						
752	武神黄金箱（60-69级）	193500	400贡献			Contrib		400						
753	武神黄金箱（70-79级）	80000	T6稀有项链碎片	2096				1					13	
753	武神黄金箱（70-79级）	150000	T6传承项链碎片	2099				1					13	
753	武神黄金箱（70-79级）	2000	魂石·杨瑛	2528				1			13		13	
753	武神黄金箱（70-79级）	5000	魂石·杨铁心	1731				1			13		13	
753	武神黄金箱（70-79级）	100000	3级石头	4323				1					13	
753	武神黄金箱（70-79级）	150000	2级石头	4322				1						
753	武神黄金箱（70-79级）	5000	3000贡献			Contrib		3000					13	
753	武神黄金箱（70-79级）	15000	2000贡献			Contrib		2000						
753	武神黄金箱（70-79级）	50000	1000贡献			Contrib		1000						
753	武神黄金箱（70-79级）	141500	600贡献			Contrib		600						
753	武神黄金箱（70-79级）	301500	400贡献			Contrib		400						
21780	武神黄金箱（80-89级）	65000	T7稀有项链碎片	2949				1					13	
21780	武神黄金箱（80-89级）	120000	T7传承项链碎片	2952				1					13	
21780	武神黄金箱（80-89级）	2500	魂石·杨瑛	2528				1			13		13	
21780	武神黄金箱（80-89级）	5000	魂石·杨铁心	1731				1			13		13	
21780	武神黄金箱（80-89级）	125000	3级石头	4323				1					13	
21780	武神黄金箱（80-89级）	165000	2级石头	4322				1						
21780	武神黄金箱（80-89级）	5000	3000贡献			Contrib		3000					13	
21780	武神黄金箱（80-89级）	15000	2000贡献			Contrib		2000						
21780	武神黄金箱（80-89级）	45000	1000贡献			Contrib		1000						
21780	武神黄金箱（80-89级）	105400	600贡献			Contrib		600						
21780	武神黄金箱（80-89级）	347100	400贡献			Contrib		400						
21781	武神黄金箱（90-99级）	40000	T8稀有项链碎片	2950				1					13	
21781	武神黄金箱（90-99级）	80000	T8传承项链碎片	2953				1					13	
21781	武神黄金箱（90-99级）	2500	魂石·杨瑛	2528				1			13		13	
21781	武神黄金箱（90-99级）	5000	魂石·杨铁心	1731				1			13		13	
21781	武神黄金箱（90-99级）	50000	4级石头	4324				1			13		13	
21781	武神黄金箱（90-99级）	90000	3级石头	4323				1					13	
21781	武神黄金箱（90-99级）	100000	2级石头	4322				1						
21781	武神黄金箱（90-99级）	5000	3000贡献			Contrib		3000					13	
21781	武神黄金箱（90-99级）	15000	2000贡献			Contrib		2000						
21781	武神黄金箱（90-99级）	46000	1000贡献			Contrib		1000						
21781	武神黄金箱（90-99级）	130800	600贡献			Contrib		600						
21781	武神黄金箱（90-99级）	435700	400贡献			Contrib		400						
21782	武神黄金箱（99-109级）	30000	T9稀有项链碎片	2951				1					13	
21782	武神黄金箱（99-109级）	54000	T9传承项链碎片	2954				1					13	
21782	武神黄金箱（99-109级）	3000	魂石·杨瑛	2528				1			13		13	
21782	武神黄金箱（99-109级）	5000	魂石·杨铁心	1731				1			13		13	
21782	武神黄金箱（99-109级）	65000	4级石头	4324				1			13		13	
21782	武神黄金箱（99-109级）	100000	3级石头	4323				1					13	
21782	武神黄金箱（99-109级）	80000	2级石头	4322				1						
21782	武神黄金箱（99-109级）	6000	3000贡献			Contrib		3000					13	
21782	武神黄金箱（99-109级）	18000	2000贡献			Contrib		2000						
21782	武神黄金箱（99-109级）	50000	1000贡献			Contrib		1000						
21782	武神黄金箱（99-109级）	167000	600贡献			Contrib		600						
21782	武神黄金箱（99-109级）	422000	400贡献			Contrib		400						
21783	武神黄金箱（109-119级）	25000	T10稀有项链碎片	3669				1					13	
21783	武神黄金箱（109-119级）	40000	T10传承项链碎片	3670				1					13	
21783	武神黄金箱（109-119级）	3000	魂石·杨瑛	2528				1			13		13	
21783	武神黄金箱（109-119级）	3000	魂石·杨铁心	1731				1			13		13	
21783	武神黄金箱（109-119级）	25000	5级石头	4325				1			13		13	
21783	武神黄金箱（109-119级）	37500	4级石头	4324				1			13		13	
21783	武神黄金箱（109-119级）	50000	3级石头	4323				1					13	
21783	武神黄金箱（109-119级）	80000	2级石头	4322				1						
21783	武神黄金箱（109-119级）	5000	3000贡献			Contrib		3000					13	
21783	武神黄金箱（109-119级）	15000	2000贡献			Contrib		2000						
21783	武神黄金箱（109-119级）	50000	1000贡献			Contrib		1000						
21783	武神黄金箱（109-119级）	130400	600贡献			Contrib		600						
21783	武神黄金箱（109-119级）	536100	400贡献			Contrib		400						
21784	武神黄金箱（120-129级）	25000	T11稀有项链碎片	5771				1					13	
21784	武神黄金箱（120-129级）	40000	T11传承项链碎片	5776				1					13	
21784	武神黄金箱（120-129级）	3000	魂石·杨瑛	2528				1			13		13	
21784	武神黄金箱（120-129级）	3000	魂石·杨铁心	1731				1			13		13	
21784	武神黄金箱（120-129级）	25000	5级石头	4325				1			13		13	
21784	武神黄金箱（120-129级）	37500	4级石头	4324				1			13		13	
21784	武神黄金箱（120-129级）	50000	3级石头	4323				1					13	
21784	武神黄金箱（120-129级）	80000	2级石头	4322				1						
21784	武神黄金箱（120-129级）	5000	3000贡献			Contrib		3000					13	
21784	武神黄金箱（120-129级）	15000	2000贡献			Contrib		2000						
21784	武神黄金箱（120-129级）	50000	1000贡献			Contrib		1000						
21784	武神黄金箱（120-129级）	130400	600贡献			Contrib		600						
21784	武神黄金箱（120-129级）	536100	400贡献			Contrib		400						
44650	武神黄金箱（70-79级）	100000	T6稀有项链碎片	2096				1					13	
44650	武神黄金箱（70-79级）	150000	T6传承项链碎片	2099				1					13	
44650	武神黄金箱（70-79级）	2000	魂石·杨瑛	2528				1			13		13	
44650	武神黄金箱（70-79级）	5000	魂石·杨铁心	1731				1			13		13	
44650	武神黄金箱（70-79级）	0	3级石头	4323				1					13	
44650	武神黄金箱（70-79级）	300000	2级石头	4322				1						
44650	武神黄金箱（70-79级）	6000	3000贡献			Contrib		3000					13	
44650	武神黄金箱（70-79级）	20000	2000贡献			Contrib		2000						
44650	武神黄金箱（70-79级）	60000	1000贡献			Contrib		1000						
44650	武神黄金箱（70-79级）	198500	600贡献			Contrib		600						
44650	武神黄金箱（70-79级）	158500	400贡献			Contrib		400						
44651	武神黄金箱（90-99级）	45000	T8稀有项链碎片	2950				1					13	
44651	武神黄金箱（90-99级）	80000	T8传承项链碎片	2953				1					13	
44651	武神黄金箱（90-99级）	2500	魂石·杨瑛	2528				1			13		13	
44651	武神黄金箱（90-99级）	5000	魂石·杨铁心	1731				1			13		13	
44651	武神黄金箱（90-99级）	0	4级石头	4324				1			13		13	
44651	武神黄金箱（90-99级）	150000	3级石头	4323				1					13	
44651	武神黄金箱（90-99级）	150000	2级石头	4322				1						
44651	武神黄金箱（90-99级）	6000	3000贡献			Contrib		3000					13	
44651	武神黄金箱（90-99级）	20000	2000贡献			Contrib		2000						
44651	武神黄金箱（90-99级）	60000	1000贡献			Contrib		1000						
44651	武神黄金箱（90-99级）	190800	600贡献			Contrib		600						
44651	武神黄金箱（90-99级）	290700	400贡献			Contrib		400						
44652	武神黄金箱（109-119级）	25000	T10稀有项链碎片	3669				1					13	
44652	武神黄金箱（109-119级）	40000	T10传承项链碎片	3670				1					13	
44652	武神黄金箱（109-119级）	3000	魂石·杨瑛	2528				1			13		13	
44652	武神黄金箱（109-119级）	3000	魂石·杨铁心	1731				1			13		13	
44652	武神黄金箱（109-119级）	0	5级石头	4325				1			13		13	
44652	武神黄金箱（109-119级）	70000	4级石头	4324				1			13		13	
44652	武神黄金箱（109-119级）	80000	3级石头	4323				1					13	
44652	武神黄金箱（109-119级）	80000	2级石头	4322				1						
44652	武神黄金箱（109-119级）	6000	3000贡献			Contrib		3000					13	
44652	武神黄金箱（109-119级）	20000	2000贡献			Contrib		2000						
44652	武神黄金箱（109-119级）	60000	1000贡献			Contrib		1000						
44652	武神黄金箱（109-119级）	172400	600贡献			Contrib		600						
44652	武神黄金箱（109-119级）	440600	400贡献			Contrib		400						
754	武神白银箱（1-39级）	357100	T2传承项链	1621				1						
754	武神白银箱（1-39级）	7900	魂石·杨铁心	1731				1			14		14	
754	武神白银箱（1-39级）	7200	1000贡献			Contrib		1000					14	
754	武神白银箱（1-39级）	18000	800贡献			Contrib		800						
754	武神白银箱（1-39级）	60000	500贡献			Contrib		500						
754	武神白银箱（1-39级）	172100	300贡献			Contrib		300						
754	武神白银箱（1-39级）	377700	200贡献			Contrib		200						
760	武神白银箱（40-49级）	178600	T3传承项链	1622				1					14	
760	武神白银箱（40-49级）	7900	魂石·杨铁心	1731				1			14		14	
760	武神白银箱（40-49级）	2100	1000贡献			Contrib		1000					14	
760	武神白银箱（40-49级）	5400	800贡献			Contrib		800						
760	武神白银箱（40-49级）	17400	500贡献			Contrib		500						
760	武神白银箱（40-49级）	58500	300贡献			Contrib		300						
760	武神白银箱（40-49级）	730100	200贡献			Contrib		200						
761	武神白银箱（50-59级）	428700	T4传承项链碎片	2097				1						
761	武神白银箱（50-59级）	8000	魂石·杨铁心	1731				1			14		14	
761	武神白银箱（50-59级）	9000	1000贡献			Contrib		1000					14	
761	武神白银箱（50-59级）	27000	800贡献			Contrib		800						
761	武神白银箱（50-59级）	100000	500贡献			Contrib		500						
761	武神白银箱（50-59级）	121400	300贡献			Contrib		300						
761	武神白银箱（50-59级）	305900	200贡献			Contrib		200						
762	武神白银箱（60-69级）	165000	T5传承项链碎片	2098				1					14	
762	武神白银箱（60-69级）	5000	魂石·杨铁心	1731				1			14		14	
762	武神白银箱（60-69级）	100000	2级石头	4322				1					14	
762	武神白银箱（60-69级）	3000	1000贡献			Contrib		1000					14	
762	武神白银箱（60-69级）	10000	800贡献			Contrib		800						
762	武神白银箱（60-69级）	30000	500贡献			Contrib		500						
762	武神白银箱（60-69级）	166000	300贡献			Contrib		300						
762	武神白银箱（60-69级）	521000	200贡献			Contrib		200						
763	武神白银箱（70-79级）	135000	T6传承项链碎片	2099				1					14	
763	武神白银箱（70-79级）	6000	魂石·杨铁心	1731				1			14		14	
763	武神白银箱（70-79级）	25000	3级石头	4323				1					14	
763	武神白银箱（70-79级）	50000	2级石头	4322				1						
763	武神白银箱（70-79级）	5000	1000贡献			Contrib		1000					14	
763	武神白银箱（70-79级）	15000	800贡献			Contrib		800						
763	武神白银箱（70-79级）	50000	500贡献			Contrib		500						
763	武神白银箱（70-79级）	182000	300贡献			Contrib		300						
763	武神白银箱（70-79级）	532000	200贡献			Contrib		200						
21790	武神白银箱（80-89级）	105000	T7传承项链碎片	2952				1					14	
21790	武神白银箱（80-89级）	6000	魂石·杨铁心	1731				1			14		14	
21790	武神白银箱（80-89级）	30000	3级石头	4323				1					14	
21790	武神白银箱（80-89级）	60000	2级石头	4322				1						
21790	武神白银箱（80-89级）	6000	1000贡献			Contrib		1000					14	
