UpgradeID	DESC	PlayerLevel	TimeFrame	BookLevel	BookSkillLevel	CostItem1	CostItemCount1	CostItem2	CostItemCount2
2398	秘籍·野蛮冲撞	65	OpenLevel69	100	10	2398	2	2424	200
2401	秘籍·血战八方	70	OpenLevel69	100	10	2401	2	2424	200
2719	秘籍·金钟罩	75	OpenLevel69	100	10	2719	2	2424	200
2402	秘籍·霸王怒吼	80	OpenLevel69	100	10	2402	2	2424	200
2720	秘籍·江海凝波	65	OpenLevel69	100	10	2720	2	2424	200
2403	秘籍·天舞宝轮	70	OpenLevel69	100	10	2403	2	2424	200
2404	秘籍·慈航普渡	75	OpenLevel69	100	10	2404	2	2424	200
2405	秘籍·白露凝霜	80	OpenLevel69	100	10	2405	2	2424	200
2409	秘籍·飞火流星	65	OpenLevel69	100	10	2409	2	2424	200
2722	秘籍·九耀连珠	70	OpenLevel69	100	10	2722	2	2424	200
2410	秘籍·火凤燎原	75	OpenLevel69	100	10	2410	2	2424	200
2411	秘籍·穿云破月	80	OpenLevel69	100	10	2411	2	2424	200
2721	秘籍·白虹贯日	65	OpenLevel69	100	10	2721	2	2424	200
2406	秘籍·七探蛇盘	70	OpenLevel69	100	10	2406	2	2424	200
2407	秘籍·斗转星移	75	OpenLevel69	100	10	2407	2	2424	200
2408	秘籍·风卷残云	80	OpenLevel69	100	10	2408	2	2424	200
2412	秘籍·剑飞惊天	65	OpenLevel69	100	10	2412	2	2424	200
2413	秘籍·坐忘无我	70	OpenLevel69	100	10	2413	2	2424	200
2414	秘籍·天地无极	75	OpenLevel69	100	10	2414	2	2424	200
2723	秘籍·人剑合一	80	OpenLevel69	100	10	2723	2	2424	200
2724	秘籍·死亡回旋	65	OpenLevel69	100	10	2724	2	2424	200
2415	秘籍·魔焰在天	70	OpenLevel69	100	10	2415	2	2424	200
2416	秘籍·血月之影	75	OpenLevel69	100	10	2416	2	2424	200
2417	秘籍·摄魂乱心	80	OpenLevel69	100	10	2417	2	2424	200
2713	秘籍·降龙棍	65	OpenLevel69	100	10	2713	2	2424	200
2714	秘籍·大力金刚指	70	OpenLevel69	100	10	2714	2	2424	200
2715	秘籍·金刚伏魔	75	OpenLevel69	100	10	2715	2	2424	200
2749	秘籍·十二擒龙手	80	OpenLevel69	100	10	2749	2	2424	200
2716	秘籍·璇玑罗舞	65	OpenLevel69	100	10	2716	2	2424	200
2717	秘籍·雨打梨花	70	OpenLevel69	100	10	2717	2	2424	200
2718	秘籍·召唤啵啵	75	OpenLevel69	100	10	2718	2	2424	200
2750	秘籍·冰踪无影	80	OpenLevel69	100	10	2750	2	2424	200
3267	秘籍·缠身刺	65	OpenLevel69	100	10	3267	2	2424	200
