Type	Faction	SkillBookID	DESC
1	1	2398	秘籍·野蛮冲撞
2	1	2401	秘籍·血战八方
3	1	2719	秘籍·金钟罩
4	1	2402	秘籍·霸王怒吼
1	2	2720	秘籍·江海凝波
2	2	2403	秘籍·天舞宝轮
3	2	2404	秘籍·慈航普渡
4	2	2405	秘籍·白露凝霜
1	3	2409	秘籍·飞火流星
2	3	2722	秘籍·九耀连珠
3	3	2410	秘籍·火凤燎原
4	3	2411	秘籍·穿云破月
1	4	2721	秘籍·白虹贯日
2	4	2406	秘籍·七探蛇盘
3	4	2407	秘籍·斗转星移
4	4	2408	秘籍·风卷残云
1	5	2412	秘籍·剑飞惊天
2	5	2413	秘籍·坐忘无我
3	5	2414	秘籍·天地无极
4	5	2723	秘籍·人剑合一
1	6	2724	秘籍·死亡回旋
2	6	2415	秘籍·魔焰在天
3	6	2416	秘籍·血月之影
4	6	2417	秘籍·摄魂乱心
1	7	2713	秘籍·降龙棍
2	7	2714	秘籍·大力金刚指
3	7	2715	秘籍·金刚伏魔
4	7	2749	秘籍·十二擒龙手
1	8	2716	秘籍·璇玑罗舞
2	8	2717	秘籍·雨打梨花
3	8	2718	秘籍·召唤啵啵
4	8	2750	秘籍·冰踪无影
1	9	3267	秘籍·缠身刺
2	9	3268	秘籍·暴雨梨花
3	9	3269	秘籍·迷影纵
4	9	3270	秘籍·九宫飞星
1	10	3271	秘籍·仙人指路
2	10	3272	秘籍·啸风三连击
3	10	3273	秘籍·混沌剑阵
4	10	3274	秘籍·雷动九天
1	11	4021	秘籍·亢龙有悔
2	11	4022	秘籍·困龙功
3	11	4023	秘籍·醉蝶狂舞
4	11	4024	秘籍·龙战于野
1	12	4025	秘籍·阴风蚀骨
2	12	4026	秘籍·召唤毒虫
3	12	4027	秘籍·迷心蛊
4	12	4028	秘籍·万蛊蚀心
1	13	5201	秘籍·九溪弥烟
2	13	5202	秘籍·心剑
3	13	5203	秘籍·平湖断月
4	13	5204	秘籍·峰插云景
1	14	5205	秘籍·平沙雁落
2	14	5206	秘籍·云生结海
3	14	5207	秘籍·清音长啸
4	14	5208	秘籍·江逐月天
5	1	2725	中级秘籍·野蛮冲撞
6	1	2726	中级秘籍·血战八方
7	1	2728	中级秘籍·金钟罩
8	1	2727	中级秘籍·霸王怒吼
5	2	2732	中级秘籍·江海凝波
6	2	2729	中级秘籍·天舞宝轮
7	2	2730	中级秘籍·慈航普渡
8	2	2731	中级秘籍·白露凝霜
5	3	2737	中级秘籍·飞火流星
6	3	2740	中级秘籍·九耀连珠
7	3	2738	中级秘籍·火凤燎原
8	3	2739	中级秘籍·穿云破月
5	4	2736	中级秘籍·白虹贯日
6	4	2733	中级秘籍·七探蛇盘
7	4	2734	中级秘籍·斗转星移
8	4	2735	中级秘籍·风卷残云
5	5	2741	中级秘籍·剑飞惊天
6	5	2742	中级秘籍·坐忘无我
7	5	2743	中级秘籍·天地无极
8	5	2744	中级秘籍·人剑合一
5	6	2748	中级秘籍·死亡回旋
6	6	2745	中级秘籍·魔焰在天
7	6	2746	中级秘籍·血月之影
8	6	2747	中级秘籍·摄魂乱心
5	7	2751	中级秘籍·降龙棍
6	7	2752	中级秘籍·大力金刚指
7	7	2753	中级秘籍·金刚伏魔
8	7	2754	中级秘籍·十二擒龙手
5	8	2755	中级秘籍·璇玑罗舞
6	8	2756	中级秘籍·雨打梨花
7	8	2757	中级秘籍·召唤啵啵
8	8	2758	中级秘籍·冰踪无影
5	9	3275	中级秘籍·缠身刺
6	9	3276	中级秘籍·暴雨梨花
7	9	3277	中级秘籍·迷影纵
8	9	3278	中级秘籍·九宫飞星
5	10	3279	中级秘籍·仙人指路
6	10	3280	中级秘籍·啸风三连击
7	10	3281	中级秘籍·混沌剑阵
8	10	3282	中级秘籍·雷动九天
5	11	4029	中级秘籍·亢龙有悔
6	11	4030	中级秘籍·困龙功
7	11	4031	中级秘籍·醉蝶狂舞
8	11	4032	中级秘籍·龙战于野
5	12	4033	中级秘籍·阴风蚀骨
6	12	4034	中级秘籍·召唤毒虫
7	12	4035	中级秘籍·迷心蛊
8	12	4036	中级秘籍·万蛊蚀心
5	13	5209	中级秘籍·九溪弥烟
6	13	5210	中级秘籍·心剑
7	13	5211	中级秘籍·平湖断月
8	13	5212	中级秘籍·峰插云景
5	14	5213	中级秘籍·平沙雁落
6	14	5214	中级秘籍·云生结海
7	14	5215	中级秘籍·清音长啸
8	14	5216	中级秘籍·江逐月天
9	1	3317	高级秘籍·野蛮冲撞
10	1	3318	高级秘籍·血战八方
11	1	3320	高级秘籍·金钟罩
12	1	3319	高级秘籍·霸王怒吼
9	2	3324	高级秘籍·江海凝波
10	2	3321	高级秘籍·天舞宝轮
11	2	3322	高级秘籍·慈航普渡
12	2	3323	高级秘籍·白露凝霜
9	3	3329	高级秘籍·飞火流星
10	3	3332	高级秘籍·九耀连珠
11	3	3330	高级秘籍·火凤燎原
12	3	3331	高级秘籍·穿云破月
9	4	3328	高级秘籍·白虹贯日
10	4	3325	高级秘籍·七探蛇盘
11	4	3326	高级秘籍·斗转星移
12	4	3327	高级秘籍·风卷残云
9	5	3333	高级秘籍·剑飞惊天
10	5	3334	高级秘籍·坐忘无我
11	5	3335	高级秘籍·天地无极
12	5	3336	高级秘籍·人剑合一
9	6	3340	高级秘籍·死亡回旋
10	6	3337	高级秘籍·魔焰在天
11	6	3338	高级秘籍·血月之影
12	6	3339	高级秘籍·摄魂乱心
9	7	3341	高级秘籍·降龙棍
10	7	3342	高级秘籍·大力金刚指
11	7	3343	高级秘籍·金刚伏魔
12	7	3344	高级秘籍·十二擒龙手
9	8	3345	高级秘籍·璇玑罗舞
10	8	3346	高级秘籍·雨打梨花
11	8	3347	高级秘籍·召唤啵啵
12	8	3348	高级秘籍·冰踪无影
9	9	3349	高级秘籍·缠身刺
10	9	3350	高级秘籍·暴雨梨花
11	9	3351	高级秘籍·迷影纵
12	9	3352	高级秘籍·九宫飞星
9	10	3353	高级秘籍·仙人指路
10	10	3354	高级秘籍·啸风三连击
11	10	3355	高级秘籍·混沌剑阵
12	10	3356	高级秘籍·雷动九天
9	11	4037	高级秘籍·亢龙有悔
10	11	4038	高级秘籍·困龙功
11	11	4039	高级秘籍·醉蝶狂舞
12	11	4040	高级秘籍·龙战于野
9	12	4041	高级秘籍·阴风蚀骨
10	12	4042	高级秘籍·召唤毒虫
11	12	4043	高级秘籍·迷心蛊
12	12	4044	高级秘籍·万蛊蚀心
9	13	5217	高级秘籍·九溪弥烟
10	13	5218	高级秘籍·心剑
11	13	5219	高级秘籍·平湖断月
12	13	5220	高级秘籍·峰插云景
9	14	5221	高级秘籍·平沙雁落
10	14	5222	高级秘籍·云生结海
11	14	5223	高级秘籍·清音长啸
12	14	5224	高级秘籍·江逐月天
