ChangeId	Desc	Part	ConsumeCount	ColorItem1	ColorItem2	ColorItem3	ColorItem4	ColorItem5	ColorItem6	ColorItem7	ColorItem8	NameFacion1	NameFacion2	NameFacion3	NameFacion4	NameFacion5	NameFacion6	NameFacion7	NameFacion8	NameFacion9	NameFacion10	NameFacion11	NameFacion12	NameFacion13	NameFacion14
1	外装T1（限时）	0		2516								外装：傲雪丹青	外装：青灯曳影	外装：青玉云歌	外装：千叶森罗	外装：醉月青霄	外装：青丝绾	外装：青竹菩提	外装：翠玉明珠	外装：青鳞镇海	外装：御海听涛	外装：傲雪丹青	外装：青灯曳影	外装：千叶森罗	外装：青玉云歌
2	外装T1	0	2	2512	2513	2514	2515					外装：<傲雪丹青>系列	外装：<青灯曳影>系列	外装：<青玉云歌>系列	外装：<千叶森罗>系列	外装：<醉月青霄>系列	外装：<青丝绾>系列	外装：<青竹菩提>系列	外装：<翠玉明珠>系列	外装：<青鳞镇海>系列	外装：<御海听涛>系列	外装：<傲雪丹青>系列	外装：<青灯曳影>系列	外装：<千叶森罗>系列	外装：<青玉云歌>系列
3	外装T2	0	5	2702	2703	2704	2705	3025	3026	3027	3028	外装：<铁血龙胆>系列	外装：<青莲濯雨>系列	外装：<樱落长空>系列	外装：<晚香如玉>系列	外装：<君子如风>系列	外装：<曼珠沙华>系列	外装：<彼岸无涯>系列	外装：<牡丹望月>系列	外装：<寒星碎影>系列	外装：<涤雨浣花>系列	外装：<铁血龙胆>系列	外装：<青莲濯雨>系列	外装：<晚香如玉>系列	外装：<樱落长空>系列
4	外装T3	0	5	3259	3260	3261	3262					外装：<八方云动>系列	外装：<傲寒诉雪>系列	外装：<墨芷幽兰>系列	外装：<真武之渊>系列	外装：<白玉琅环>系列	外装：<墨染金枝>系列	外装：<苍月之痕>系列	外装：<白露为霜>系列	外装：<夜幕之纱>系列	外装：<墨竹踏雪>系列	外装：<八方云动>系列	外装：<傲寒诉雪>系列	外装：<真武之渊>系列	外装：<墨芷幽兰>系列
5	外装T4	0	10	3263	3264	3265	3266					外装：<玄甲铁骑>系列	外装：<雨落尘殇>系列	外装：<伽蓝听雨>系列	外装：<水龙吟>系列	外装：<银鹰掠地>系列	外装：<流风回雪>系列	外装：<诳语朱降>系列	外装：<朱颜改>系列	外装：<墨语无尘>系列	外装：<花开蓝亭>系列	外装：<玄甲铁骑>系列	外装：<雨落尘殇>系列	外装：<水龙吟>系列	外装：<伽蓝听雨>系列
6	艺趣·盛典华服（限时）	0		3568								外装：艺趣·盛典华服	外装：艺趣·盛典华服	外装：艺趣·盛典华服	外装：艺趣·盛典华服	外装：艺趣·盛典华服	外装：艺趣·盛典华服	外装：艺趣·盛典华服	外装：艺趣·盛典华服	外装：艺趣·盛典华服	外装：艺趣·盛典华服	外装：艺趣·盛典华服	外装：艺趣·盛典华服	外装：艺趣·盛典华服	外装：艺趣·盛典华服
7	外装T5	0	10	3870	3871	3872	3873					外装：<漆黑之影>系列	外装：<夜幕之花>系列	外装：<夜幕之花>系列	外装：<漆黑之影>系列	外装：<漆黑之影>系列	外装：<夜幕之花>系列	外装：<漆黑之影>系列	外装：<夜幕之花>系列	外装：<漆黑之影>系列	外装：<夜幕之花>系列	外装：<漆黑之影>系列	外装：<夜幕之花>系列	外装：<漆黑之影>系列	外装：<夜幕之花>系列
8	周年庆典华服·3天	0		4743								外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服
9	周年庆典华服	0		4892								外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服	外装：周年庆典华服
102	外装T1（限时3天）	0		4478								外装：<傲雪丹青>	外装：<青灯曳影>	外装：<青玉云歌>	外装：<千叶森罗>	外装：<醉月青霄>	外装：<青丝绾>	外装：<青竹菩提>	外装：<翠玉明珠>	外装：<青鳞镇海>	外装：<御海听涛>	外装：<傲雪丹青>	外装：<青灯曳影>	外装：<千叶森罗>	外装：<青玉云歌>
