Id	Name	TypeId	JingMaiId	LevelupType	ExtSkillId	ExtPartnerSkillId	ExtAttribId	ExtAttribMaxLevel	ExtPartnerAttribId	ExtPartnerAttribMaxLevel	Require_XueWei1	Require_XueWei2	Require_XueWei3	Require_Level	Cost1	Cost2	Cost3
1	承浆	1	1	1			1001	20	1012	20				0|70;1|70;20|70	ZhenQi|500	Coin|10000	
2	天突	1	1	2			1002	20	1013	20	1|10			0|71;1|71;20|71	ZhenQi|500	Coin|20000	
3	璇玑	1	1	2			1003	20	1014	20	2|10			0|72;1|72;20|72	ZhenQi|500	Coin|20000	
4	华盖	1	1	2			1004	20	1015	20	3|10			0|73;1|73;20|73	ZhenQi|500	Coin|20000	
5	玉堂	1	1	2			1005	20	1016	20	4|10			0|74;1|74;20|74	ZhenQi|500	Coin|20000	
6	膻中	1	1	2			1006	20	1017	20	5|10			0|75;1|75;20|75	ZhenQi|500	Coin|20000	
7	巨厥	1	1	2			1007	20	1018	20	6|10			0|75;1|75;20|75	ZhenQi|500	Coin|20000	
8	建里	1	1	2			1008	20	1019	20	7|10			0|75;1|75;20|75	ZhenQi|500	Coin|20000	
9	水分	1	1	3			1009	20	1020	20	8|10			0|76;1|76;20|76	ZhenQi|1000	Coin|20000	
10	石门	1	1	3			1010	20	1021	20	9|10			0|77;1|77;20|77	ZhenQi|1000	Coin|20000	
11	关元	1	1	3			1011	20	1022	20	10|10			0|78;1|78;20|78	ZhenQi|1000	Coin|20000	
12	曲骨	2	1	4	4801				1023	20	11|10			0|79;1|79;20|79	item|6149|1	ZhenQi|1000	Coin|20000
13	神庭	1	2	5			1024	20	1035	20				0|80;1|80;20|80	ZhenQi|2000	Coin|40000	
14	百会	1	2	5			1025	20	1036	20	13|10			0|81;1|81;20|81	ZhenQi|2000	Coin|40000	
15	风府	1	2	5			1026	20	1037	20	14|10			0|82;1|82;20|82	ZhenQi|2000	Coin|40000	
16	大椎	1	2	5			1027	20	1038	20	15|10			0|83;1|83;20|83	ZhenQi|2000	Coin|40000	
17	神道	1	2	5			1028	20	1039	20	16|10			0|84;1|84;20|84	ZhenQi|2000	Coin|40000	
18	灵台	1	2	6			1029	20	1040	20	17|10			0|85;1|85;20|85	ZhenQi|3000	Coin|40000	
19	至阳	1	2	6			1030	20	1041	20	18|10			0|85;1|85;20|85	ZhenQi|3000	Coin|40000	
20	中枢	1	2	6			1031	20	1042	20	19|10			0|85;1|85;20|85	ZhenQi|3000	Coin|40000	
21	悬枢	1	2	6			1032	20	1043	20	20|10			0|86;1|86;20|86	ZhenQi|3000	Coin|40000	
22	命门	1	2	7			1033	20	1044	20	21|10			0|88;1|88;20|88	ZhenQi|4000	Coin|40000	
23	腰俞	1	2	7			1034	20	1045	20	22|10			0|88;1|88;20|88	ZhenQi|4000	Coin|40000	
24	长强	2	2	8	4804				1046	20	23|10			0|89;1|89;20|89	item|6150|1	ZhenQi|5000	Coin|40000
