nEventId	nTypeId	szTyepName	nTarget	nBaseGold	szAddGoldList	nCount	nAverageMin
1	1	充值次数	1	100	500_200_100	15	5
2	2	【剑侠V】等级	6	500	2500_1000_500	30	5
3	2	【剑侠V】等级	9	1500	7500_3000_1500	50	15
4	2	【剑侠V】等级	12	5000	25000_10000_5000	100	50
5	2	【剑侠V】等级	15	15000	75000_30000_15000	100	150
61	2	【剑侠V】等级	18	30000	150000_60000_30000	100	300
6	3	武神殿排名	100	100	500_200_100	10	5
7	3	武神殿排名	10	300	1500_600_300	30	5
8	3	武神殿排名	1	1000	5000_2000_1000	50	10
9	4	全身强化	20	100	500_200_100	15	5
10	4	全身强化	40	200	1000_400_200	20	5
11	4	全身强化	50	400	2000_800_400	30	5
12	4	全身强化	60	600	3000_1200_600	40	6
13	4	全身强化	70	1500	7500_3000_1500	50	15
14	4	全身强化	80	2000	10000_4000_2000	50	20
15	4	全身强化	90	5000	25000_10000_5000	100	50
16	4	全身强化	100	15000	75000_30000_15000	100	150
17	5	全身镶满	1	100	500_200_100	15	5
18	5	全身镶满	2	200	1000_400_200	20	5
19	5	全身镶满	3	400	2000_800_400	30	5
20	5	全身镶满	4	600	3000_1200_600	40	6
21	5	全身镶满	5	1500	7500_3000_1500	50	15
22	5	全身镶满	6	5000	25000_10000_5000	100	50
23	5	全身镶满	7	15000	75000_30000_15000	100	150
24	6	头衔	4	100	500_200_100	15	5
25	6	头衔	5	200	1000_400_200	20	5
26	6	头衔	6	400	2000_800_400	30	5
27	6	头衔	7	600	3000_1200_600	40	6
28	6	头衔	8	1200	6000_2400_1200	50	12
29	6	头衔	9	2000	10000_4000_2000	60	20
30	6	头衔	10	4000	20000_8000_4000	80	40
31	6	头衔	11	6000	30000_12000_6000	100	60
32	6	头衔	12	15000	75000_30000_15000	100	150
33	6	头衔	13	30000	150000_60000_30000	100	300
34	7	门派新人王		500	2500_1000_500	50	5
35	8	门派大师兄		2000	10000_4000_2000	100	20
36	9	白虎堂x层首领	4	200	1000_400_200	20	5
62	9	白虎堂x层首领	5	300	1500_600_300	20	5
37	10	战场排名	1	200	1000_400_200	20	5
63	34	跨服战场排名	1	300	1500_600_300	20	5
38	11	盟主排名	1	300	1500_600_300	20	5
39	12	通天塔层数	7	300	1500_600_300	20	5
64	12	通天塔层数	8	500	2500_1000_500	30	5
40	13	第一家族族长		10000	50000_30000_15000	100	100
41	14	十大家族族长		5000	25000_10000_5000	100	50
42	15	卓越家族族长		3000	15000_6000_3000	100	30
43	16	第一家族领袖		10000	50000_30000_15000	100	100
44	17	十大家族领袖		5000	25000_10000_5000	100	50
45	18	卓越家族领袖		3000	15000_6000_3000	100	30
46	19	金牌族长		2000	10000_4000_2000	50	20
47	20	卓越族长		1000	5000_2000_1000	40	10
48	21	优秀族长		500	2500_1000_500	30	5
49	22	合格族长		200	1000_400_200	20	5
50	23	金牌副族长		1000	5000_2000_1000	50	10
51	24	卓越副族长		500	2500_1000_500	40	5
52	25	优秀副族长		200	1000_400_200	20	5
53	26	合格副族长		100	500_200_100	15	5
54	27	金牌长老		500	2500_1000_500	50	5
55	28	卓越长老		200	1000_400_200	40	5
56	29	优秀长老		100	500_200_100	20	5
57	30	购买7日礼包		100	500_200_100	15	5
58	31	购买30日礼包		200	1000_400_200	30	5
59	32	购买一本万利		400	2000_800_400	30	5
60	33	购买一本万利·贰		400	2000_800_400	30	5
65	35	购买一本万利·叁		400	2000_800_400	30	5
66	36	心魔幻境优胜		600	3000_1200_600	40	6
67	37	百人战场排名	1	600	3000_1200_600	30	6
68	38	购买一本万利（周年庆）		400	2000_800_400	30	5
69	39	购买半年庆狂欢礼包		1000	5000_2000_1000	50	10
70	40	购买半年庆欢乐礼包		600	3000_1200_600	40	6
71	41	购买半年庆喜悦礼包		400	2000_800_400	30	5
72	42	购买半年庆感恩礼包		150	750_300_150	20	5
73	43	购买一本万利·肆		400	2000_800_400	30	5
74	44	购买一本万利·伍		400	2000_800_400	30	5
75	45	月度战场第一	1	2000	10000_4000_2000	100	20
76	46	群英会全胜	6	600	3000_1200_600	40	6
77	47	剑侠情缘周年庆		500	2500_1000_500	30	5
78	47	剑侠情缘周年庆		1000	5000_2000_1000	50	10
79	48	购买周年庆缘起礼包		1000	5000_2000_1000	50	10
80	49	购买周年庆情韵礼包		600	3000_1200_600	40	6
81	50	购买周年庆侠踪礼包		400	2000_800_400	30	5
82	51	购买周年庆剑影礼包		150	750_300_150	20	5
83	52	美女评选中获得海选赛第一		15000	75000_30000_15000	100	150
84	53	美女评选中获得海选赛前十		4000	20000_8000_4000	80	40
85	54	美女评选中海选赛获投199票	199	400	2000_800_400	30	5
86	55	美女评选中获得决赛第一		100000	500000_200000_100000	100	1000
87	56	美女评选海选赛第一（全服红包）		15000	75000_30000_15000	500	30
88	57	美女评选决赛前十（全服红包）		100000	500000_200000_100000	1000	100
89	58	美女评选决赛第一（全服红包）		200000	1000000_400000_200000	1000	200
90	59	美女评选中获得决赛前十		50000	250000_100000_50000	100	500
91	60	登上月度通天塔八层	8	2000	10000_4000_2000	100	20
92	61	购买每日礼包7日套包		300	1500_600_300	30	5
93	62	美女评选决赛获投8000	8000	15000	75000_30000_15000	100	150
94	63	美女评选决赛获投8000（全服红包）	8000	20000	100000_40000_20000	500	40
96	65	武林大会冠军		10000	50000_20000_10000	100	100
97	66	武林大会四强		5000	25000_10000_5000	100	50
