nId	szMark	szRecordFormat	szRelation	szRepeat	nGlobal
1	首次充值	首次充值	=		
2	vip等级	剑侠V%s	>=		
3	武神殿排名	武神殿%s	<=		
4	全身强化	全身强化+%s	>=		
5	全身镶满	镶嵌20个%s级魂石	>=		
6	头衔	「%s」头衔	=		
7	门派新人王	%s新人王			
8	门派大师兄	%s大师兄			
9	白虎堂x层首领	本周首次击杀白虎堂%s层首领	>=	weekly	
10	战场排名	本周首次获得宋金战场第一	<=	weekly	
34	跨服战场排名	本周首次获得跨服战场第一	<=	weekly	
11	盟主排名	本周首次获得武林盟主第一	<=	weekly	
12	通天塔层数	本周首次登上通天塔%s层	>=	weekly	
13	第一家族族长	第一家族族长			
14	十大家族族长	十大家族族长			
15	卓越家族族长	卓越家族族长			
16	第一家族领袖	第一家族领袖			
17	十大家族领袖	十大家族领袖			
18	卓越家族领袖	卓越家族领袖			
19	金牌族长	金牌族长	>=	weekly	
20	卓越族长	卓越族长	>=	weekly	
21	优秀族长	优秀族长	>=	weekly	
22	合格族长	合格族长	>=	weekly	
23	金牌副族长	金牌副族长	>=	weekly	
24	卓越副族长	卓越副族长	>=	weekly	
25	优秀副族长	优秀副族长	>=	weekly	
26	合格副族长	合格副族长	>=	weekly	
27	金牌长老	金牌长老	>=	weekly	
28	卓越长老	卓越长老	>=	weekly	
29	优秀长老	优秀长老	>=	weekly	
30	购买7日礼包	购买7日礼包		nolimit	
31	购买30日礼包	购买30日礼包		nolimit	
32	购买一本万利	购买一本万利		nolimit	
33	购买一本万利·贰	购买一本万利·贰		nolimit	
35	购买一本万利·叁	购买一本万利·叁		nolimit	
36	心魔幻境优胜	获得心魔幻境的优胜		nolimit	
37	百人战场排名	本周首次获得百人战场第一	<=	weekly	
38	购买一本万利（周年庆）	购买一本万利（周年庆）		nolimit	
39	半年庆礼包（648）	购买半年庆狂欢礼包		nolimit	
40	半年庆礼包（298）	购买半年庆欢乐礼包		nolimit	
41	半年庆礼包（98）	购买半年庆喜悦礼包		nolimit	
42	半年庆礼包（30）	购买半年庆感恩礼包		nolimit	
43	购买一本万利·肆	购买一本万利·肆		nolimit	
44	购买一本万利·伍	购买一本万利·伍		nolimit	
45	月度战场第一	获得月度战场第一	<=	nolimit	
46	群英会全胜	在群英会中取得六场全胜	=	weekly	
47	剑侠情缘周年庆	剑侠情缘周年庆		nolimit	
48	周年庆缘起礼包（648）	购买周年庆缘起礼包		nolimit	
49	周年庆情韵礼包（298）	购买周年庆情韵礼包		nolimit	
50	周年庆侠踪礼包（98）	购买周年庆侠踪礼包		nolimit	
51	周年庆剑影礼包（30）	购买周年庆剑影礼包		nolimit	
52	美女评选海选赛第一	美女评选中获得海选赛第一		nolimit	
53	美女评选海选赛前十	美女评选中获得海选赛前十		nolimit	
54	美女评选海选赛获投199	美女评选中海选赛获投199票	>=	nolimit	
55	美女评选决赛第一	美女评选中获得决赛第一		nolimit	
56	美女评选海选赛第一（全服红包）	美女评选中获得海选赛第一		nolimit	1
57	美女评选决赛前十（全服红包）	美女评选中获得决赛前十		nolimit	1
58	美女评选决赛第一（全服红包）	美女评选中获得决赛第一		nolimit	1
59	美女评选决赛前十	美女评选中获得决赛前十		nolimit	
60	月度通天塔八层	登上月度通天塔八层	=	nolimit	
61	购买每日礼包7日套包	购买每日礼包7日套包		nolimit	
62	美女评选决赛获投8000	美女评选决赛获投8000票	>=	nolimit	
63	美女评选决赛获投8000（全服红包）	美女评选决赛获投8000票	>=	nolimit	1
65	武林大会冠军	在武林大会中获得冠军		nolimit	
66	武林大会四强	在武林大会中进入四强		nolimit	
67	武林大会十六强	在武林大会进入十六强		nolimit	
68	武林大会精英	在武林大会表现优异		nolimit	
69	武林大会冠军（全服红包）	在武林大会中获得冠军		nolimit	1
70	武林大会四强（全服红包）	在武林大会中进入四强		nolimit	1
71	感激涕零礼包（648）	购买感激涕零礼包		nolimit	
72	投桃报李礼包（298）	购买投桃报李礼包		nolimit	
73	知恩图报礼包（98）	购买知恩图报礼包		nolimit	
74	饮水思源礼包（30）	购买饮水思源礼包		nolimit	
75	行脚商人（全服红包）	行脚商拍卖竞价超1千元宝		nolimit	1
76	行脚商人（全服红包）	行脚商拍卖竞价超2千元宝		nolimit	1
77	行脚商人（全服红包）	行脚商拍卖竞价超5千元宝		nolimit	1
78	行脚商人（全服红包）	行脚商拍卖竞价超1万元宝		nolimit	1
79	行脚商人（全服红包）	行脚商拍卖竞价超2万元宝		nolimit	1
80	行脚商人（全服红包）	行脚商拍卖竞价超5万元宝		nolimit	1
81	行脚商人（全服红包）	行脚商拍卖竞价超10万元宝		nolimit	1
82	行脚商人（全服红包）	行脚商拍卖竞价超12万元宝		nolimit	1
83	行脚商人（全服红包）	行脚商拍卖竞价超15万元宝		nolimit	1
84	行脚商人（全服红包）	行脚商拍卖竞价超18万元宝		nolimit	1
85	行脚商人（全服红包）	行脚商拍卖竞价超20万元宝		nolimit	1
90	举办庄园·晚樱连理婚礼	举办庄园·晚樱连理婚礼	=	nolimit	
91	举办海岛·红鸾揽月婚礼	举办海岛·红鸾揽月婚礼	=	nolimit	
92	举办舫舟·乘龙配凤婚礼	举办舫舟·乘龙配凤婚礼	=	nolimit	
