WayName	Value	Desc	Comment	Reason2	Round	kin	kinMem
LogWay_DegreeCtrl	1		活动次数购买	活动key			
LogWay_Refinement	2		洗练				
LogWay_IdentifyEquip	3		装备鉴定				
LogWay_ConsumePartnerStone	4		消耗同伴魂石				
LogWay_QuickBuy	5		快速购买				
LogWay_ClearRevengeCD	6		清除复仇CD				
LogWay_WantedLongCost	7		长时间通缉				
LogWay_ResetFubenTimes	8		重置副本次数				
LogWay_ReviveInFuben	9		副本里重生				
LogWay_AuctionBid	10		拍卖行竞价	拍卖单号id			
LogWay_AuctionBidOver	11		拍卖行一口价	拍卖单号id			
LogWay_JoinKin	12		加入家族			1	
LogWay_KinGatherDrink	13	烤火喝酒	家族聚集饮酒				1
LogWay_MapExploreReset	14		重置地图探索				
LogWay_MissionAwardAdd	15		增加副本事后抽奖次数	抽奖次数			
LogWay_PartnerSkillLevelUp	17		同伴技能升级				
LogWay_ChangeName	18		玩家改名				
LogWay_Offline	19		异步消耗银两（被抢夺）				
LogWay_BuyRankBattleTimes	20		购买武神殿次数				
LogWay_BuyVipAward	21		购买【剑侠V】特权礼包				
LogWay_SkillLevelUp	22		技能升级				
LogWay_Strengthen	23		强化				
LogWay_StoneCombine	24		宝石合成				
LogWay_CommerceTaskHelp	25	协助商会任务	商会任务协助				
LogWay_UseHelper	27		助战				
LogWay_AddPartnerStone	28		获取同伴魂石				
LogWay_QuickBuyRecu	29		快速购买失败				
LogWay_ChuangGongSend	30	传功	传功授予				
LogWay_RobCoinAddHate	31		抢夺银两				
LogWay_DungeonMgrKill	32		神秘洞窟击杀				
LogWay_BidFail	33		拍卖竞价失败	拍卖单号id			
LogWay_BidOverFail	34		拍卖一口价失败				
LogWay_CreateKin	35		创建家族			1	
LogWay_KinDonate	36	家族捐献	家族捐献				1
LogWay_KinGatherAward	37	家族烤火	家族聚集奖励				
LogWay_KinRobberFirstKill	38		家族盗贼首杀				
LogWay_KinRobber	39		家族盗贼击杀				
LogWay_MoneyTreeShake	40	摇钱树	摇动摇钱树				
LogWay_RankBattle_BASE_AWARD	42	武神殿	武神殿基础奖励				
LogWay_RankBattle_WIN_AWARD	43	武神殿	武神殿胜利奖励				
LogWay_Recharge	44		充值				
LogWay_BuyMonthCard	45		月卡				
LogWay_BuyWeekCard	46		周卡				
LogWay_GrowInvestAward	47		一本万利	nGroupIndex*1000+nIndex			
LogWay_ShopSell	48		商店出售				
LogWay_FinishCommerceTask	49	商会任务	完成商会任务				
LogWay_CommerceTaskDoHelp	50	协助商会任务	商会任务协助				
LogWay_JuBaoPenTakeMoney	51		聚宝盆获取				
LogWay_OpenLightStone	52		武器附魔				
LogWay_DebrisCreateStone	53		宝石碎片合成				
LogWay_PartnerStoneUse	54		同伴魂石使用				
LogWay_RandomItem	55		随机道具（宝箱）使用	道具奖励配置id			
LogWay_AchievementAward	56	成就	成就奖励				
LogWay_Battle	57	战场	战场		1		
LogWay_FieldBoss	58	历代名将	历代名将		1		
LogWay_FieldLeader	59	野外首领	野外首领		1		
LogWay_EverydayTargetAward	60	每日目标	每日目标奖励				
LogWay_CoinPick	61		银两抽卡	道具id			
LogWay_CoinTenPick	62		银两十连抽	道具id,道具id,...(十个)			
LogWay_GoldPick	63		元宝抽卡	道具id			
LogWay_GoldTenPick	64		元宝十连抽	道具id,道具id,...(十个)			
LogWay_GoldFreePick	65		元宝免费抽卡				
LogWay_Debris	66		碎片抢夺				
LogWay_FactionBattleBox	67	门派竞技	门派竞技领奖				
LogWay_PersonalFuben	68		单人副本	单人副本id	1		
LogWay_RandomFuben	69	凌绝峰	凌绝峰		1		
LogWay_TeamFubenOutAward	71	组队秘境	组队秘境出来奖励				
LogWay_TeamFuben	72	组队秘境	组队秘境		1		
LogWay_FindDungeonAward	73	神秘洞窟	发现神秘洞窟奖励				
