nNpcTemplateId	Name
274	
273	
650	
651	
638	
674	
675	
676	
957	弩车—组队秘境
1643	玄天武机—组队秘境
1258	
727	
1201	
933	
934	
935	
936	
937	
938	
939	
940	
435	
187	
1421	
148	血牡丹
149	叶上珠
150	银线草
151	紫蔷薇
152	地灵根
153	天香果
154	血风藤
155	虞美人
156	曼珠沙华
157	曼陀罗
158	金桑叶
159	百年朱果
1831	洗髓岛NPC
1829	擂台接引人
1830	擂台报名人
1840	家族庆典宝箱
1879	秦始皇陵宝箱
1966	纳兰潜凛
1967	纳兰真
1968	独孤剑
1969	张琳心
1970	南宫飞云
1971	燕若雪
1972	孟知秋
1973	月眉儿
1974	杨影枫
1975	蔷薇
1976	张如梦
1977	南宫彩虹
1978	卓非凡
1979	紫轩
1980	柴嵩
1981	杨瑛
1982	胡神医
1983	秋依水
1984	万金财
1985	虞姬
2101	心魔幻境_心魔幻象
1994	心魔幻境_宝箱
1987	心魔幻境_商人
2130	神奇雪人
2131	神奇雪人
2132	神奇雪人
2133	神奇雪人
2134	神奇雪人
2135	神奇雪人
2136	冰原陷阱
2137	冰原陷阱
2138	冰原陷阱
2139	冰原陷阱
2140	冰原陷阱
2141	雪原神符
2142	雪原神符
2143	雪原神符
2144	雪原神符
2121	柔弱的雪人
2151	顽强的雪人
2152	普通的雪人
2153	精致的雪人
2154	巨大的雪人
2155	壮观的雪人
2156	超级大雪人
631	燕若雪
95	情人节
2198	赤心花
2206	植树节许愿树
2207	植树节许愿树
2208	植树节许愿树
2209	植树节许愿树
2210	植树节许愿树
2211	植树节许愿树
2212	植树节许愿树
2257	清明节石碑
2199	毒蜂
2200	毒蜂
2201	伴生草
2202	精致的小箱子
2311	代言人活动树
2317	绝情龙柱
622	紫轩
2423	邪火
2477	机关
2494	雷电机关
2397	喜糖盒
2398	同心果
2537	姻缘美满
2538	喜庆满堂
2539	花好月圆
2540	永结连理
2541	百年好合
2542	姻缘美满
2543	喜庆满堂
2544	花好月圆
2545	永结连理
2546	百年好合
2547	姻缘美满
2548	喜庆满堂
2549	花好月圆
2550	永结连理
2551	百年好合
2371	月老
2535	月老
2372	红娘
2373	凤囍
