Index	Name	AttribID	AttackSpeed	MaxLife	FightPower	Miss	HitRate	MinBaseAttack	MaxBaseAttack	WoodDamage	WaterDamage	FireDamage	EarthDamage	WoodResist	WaterResist	FireResist	EarthResist	DeadlyStrike	MetalDamage	MetalResist	SeriesDamageValue
1s		1	15	{1,188},{10,255},{20,439},{30,580}	0	0	{10,1000},{100,2800},{150,7000}	30	30	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
3s		2	15	{1,563},{10,902},{20,1317},{30,1500}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{30,70}	{10,5},{30,70}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
5s		3	15	{1,250},{2,360},{3,410},{4,460},{5,410},{6,860},{7,910},{8,960},{9,1010},{10,1060},{20,2196},{30,3800},{100,100000}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{30,70}	{10,5},{30,70}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
10s		4	15	{1,1878},{10,3006},{20,4391},{30,10000}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{30,70}	{10,5},{30,70}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
15s		5	15	{1,2871},{10,4509},{20,6587},{30,15000}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{30,70}	{10,5},{30,70}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
20s		6	15	{1,3756},{10,6011},{20,8782},{30,60000}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{30,100}	{10,5},{30,100}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
fuben_boss_60s	fuben_boss_60	11	15	{1,3756},{10,6011},{20,8782},{30,80000}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{30,100}	{10,5},{30,100}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
3000s	boss	21	15	{1,75300},{10,120220},{20,175640},{30,1500000}	0	0	{10,1000},{100,2800},{150,7000}	{1,200},{30,300}	{1,200},{30,300}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Cuiyan_baby	翠烟宝宝	31	15	1	0	0	{10,1000},{100,2800},{150,7000}	1	1	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Team_dadao_10s	大盗	51	15	{10,20000},{20,60000},{30,150000},{40,200000}	0	0	{10,1000},{100,2800},{150,7000}	{10,30},{20,120*1.5},{30,250*1.5},{40,400*1.5}	{10,30},{20,120*1.5},{30,250*1.5},{40,400*1.5}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
