Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	NormalSkill4	NormalSkillLevel4	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	DefaultDialog	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	SyncFirst	IsNotBYStealLife
QSHL_Soldier1	1832	秦之钜机	0	1	ImperialTombMinion		190		300	675	651	54	1	91	1					1500	1500	Setting/Npc/Ai/CommonPassive.ini	1	Setting/Npc/DropFile/ImperialTomb/FloorSolder.tab	1	18	1							1			1	500		1871	5000				
QSHL_EliteSoldier1	1871	秦之钜机·百将	0	1	ImperialTombLeader		190		300	675	652	54	1	91	1	197	1			1500	1500	Setting/Npc/Ai/CommonPassive.ini	1	Setting/Npc/DropFile/ImperialTomb/FloorEliteSolder.tab	1	18	1							1			3	1000							
QSHL_Soldier2	1833	大秦锐士	0	1	ImperialTombMinion		535		300	675	651	56	1	91	1					1500	1500	Setting/Npc/Ai/CommonPassive.ini	1	Setting/Npc/DropFile/ImperialTomb/FloorSolder.tab	1	18	1							1			1	500		1872	5000				
QSHL_EliteSoldier2	1872	大秦锐士·百将	0	1	ImperialTombLeader		535		300	675	652	56	1	91	1	197	1			1500	1500	Setting/Npc/Ai/CommonPassive.ini	1	Setting/Npc/DropFile/ImperialTomb/FloorEliteSolder.tab	1	18	1							1			3	1000							
QSHL_Soldier3	1834	执法铁卫	0	1	ImperialTombMinion		11		300	675	651	55	1	91	1					1500	1500	Setting/Npc/Ai/CommonPassive.ini	1	Setting/Npc/DropFile/ImperialTomb/FloorSolder.tab	1	18	1							1			1	500		1873	5000				
QSHL_EliteSoldier3	1873	执法铁卫·百将	0	1	ImperialTombLeader		11		300	675	652	55	1	91	1	197	1			1500	1500	Setting/Npc/Ai/CommonPassive.ini	1	Setting/Npc/DropFile/ImperialTomb/FloorEliteSolder.tab	1	18	1							1			3	1000							
QSHL_Soldier4	1878	盗墓贼	0	1			174		300	675	651	21	1	91	1					1500	1500	Setting/Npc/Ai/CommonPassive.ini	1	Setting/Npc/DropFile/ImperialTomb/RoomSolder.tab	1	18	1							1			1								
QSHL_EliteSoldier4	1874	盗墓贼头目	0	1			143		300	675	652	166	1	91	1	197	1			1500	1500	Setting/Npc/Ai/CommonPassive.ini	1	Setting/Npc/DropFile/ImperialTomb/RoomEliteSolder.tab	1	18	1							1			3								
QSHL_Box	1879	古金宝箱	2	0	ImperialTombBox		352	995	300		1	21	1									Setting/Npc/Ai/CommonActive.ini			0	15	1						NoTurn												
QSHL_Leader1	1835	玄天武机	0	1	ImperialTombNormalBoss		20	8001	300		653	3051	1	91	1					1500	1500	Setting/Npc/Ai/Tomb/xuantianwuji.ini			1	18	2										4								
