NpcResId	Desc	bq01_frame	bq02_frame	bq03_frame	bq04_frame	bq05_frame	bq06_frame	bq07_frame	bq08_frame	bq01_cross	bq02_cross	bq03_cross	bq04_cross	bq05_cross	bq06_cross	bq07_cross	bq01_hideweapon	bq02_hideweapon	bq03_hideweapon	bq04_hideweapon	bq05_hideweapon	bq06_hideweapon	bq07_hideweapon	bq08_hideweapon
1	天王主角m2	35	42	47	15	32	55	75	20	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	1	1	1	1	1	1
2	峨眉主角f2	49	52	49	15	51	49	71	20	0.1	0.1	0.1	0.1	0.1	0.1	0.1		1	1		1			
3	桃花主角f1	27	45	65	15	50	60	59	20	0.1	0.1	0.1	0.1	0.1	0.1	0.1			1			1		
4	逍遥主角m1	50	45	48	15	35	57	83	20	0.1	0.1	0.1	0.1	0.1	0.1	0.1							1	
5	武当主角m3	52	64	41	15	43	52	97	20	0.1	0.1	0.1	0.1	0.1	0.1	0.1		1					1	
6	天忍主角f3	47	57	43	15	60	60	105	20	0.1	0.1	0.1	0.1	0.1	0.1	0.1		1				1		
9	少林主角m4	51	44	40	15	37	42	85	20	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	1	1	1	1	1	1
10	翠烟主角f4	39	57	49	15	52	42	95	20	0.1	0.1	0.1	0.1	0.1	0.1	0.1		1		1				1
1001	唐门主角m5	29	53	36	15	38	44	65	20	0.1	0.1	0.1	0.1	0.1	0.1	0.1						1	1	
1002	昆仑主角f5	45	57	47	15	36	42	82	20	0.1	0.1	0.1	0.1	0.1	0.1	0.1		1						
1003	丐帮主角m6	35	42	62	14	35	70	81	20	0.1	0.1	0.1	0.1	0.1	0.1	0.1								
1004	五毒主角f6	30	62	46	15	43	77	100	20	0.1	0.1	0.1	0.1	0.1	0.1	0.1								
1005	藏剑主角m7	32	47	21	15	45	40	90	20	0.1	0.1	0.1	0.1	0.1	0.1	0.1								
1006	长歌主角f7	39	54	42	15	54	49	94	20	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	1	1	1	1	1	1
590	新郎183	39	42	15	20	34	91	45		0.1	0.1	0.1	0.1	0.1	0.1	0.1								
591	新郎183	39	42	15	20	34	91	45		0.1	0.1	0.1	0.1	0.1	0.1	0.1								
601	新郎183	39	42	15	20	34	91	45		0.1	0.1	0.1	0.1	0.1	0.1	0.1								
602	新娘184	48	55	17	20	52	96	41		0.1	0.1	0.1	0.1	0.1	0.1	0.1								
603	新娘184	48	55	17	20	52	96	41		0.1	0.1	0.1	0.1	0.1	0.1	0.1								
604	新娘184	48	55	17	20	52	96	41		0.1	0.1	0.1	0.1	0.1	0.1	0.1								
605	新娘萝莉185	30	52	15	20	52	100	55		0.1	0.1	0.1	0.1	0.1	0.1	0.1								
606	新娘萝莉185	30	52	15	20	52	100	55		0.1	0.1	0.1	0.1	0.1	0.1	0.1								
607	新娘萝莉185	30	52	15	20	52	100	55		0.1	0.1	0.1	0.1	0.1	0.1	0.1								
