ResId	ResFile	ResFile2	ResAttribID	ResAttribID2	Desc
1	Player/Doodads/weapons/Prefabs/m2_h006.prefab	Player/Doodads/weapons/Prefabs/m2_h006.prefab			天王锤1
2	Player/Doodads/weapons/Prefabs/m2_h002.prefab	Player/Doodads/weapons/Prefabs/m2_h002.prefab			天王锤2
3	Player/Doodads/weapons/Prefabs/m2_h001.prefab	Player/Doodads/weapons/Prefabs/m2_h001.prefab			天王锤3
4	Player/Doodads/weapons/Prefabs/m2_h003.prefab	Player/Doodads/weapons/Prefabs/m2_h003.prefab			天王锤4
5	Player/Doodads/weapons/Prefabs/m2_h005.prefab	Player/Doodads/weapons/Prefabs/m2_h005.prefab			天王锤5
6	Player/Doodads/weapons/Prefabs/m2_h004.prefab	Player/Doodads/weapons/Prefabs/m2_h004.prefab			天王锤6
7	Player/Doodads/weapons/Prefabs/m2_h008.prefab	Player/Doodads/weapons/Prefabs/m2_h008.prefab			天王锤7
8	Player/Doodads/weapons/Prefabs/m2_h009.prefab	Player/Doodads/weapons/Prefabs/m2_h009.prefab	10001	10001	天王锤8
9	Player/Doodads/weapons/Prefabs/m2_h010.prefab	Player/Doodads/weapons/Prefabs/m2_h010.prefab	10301	10302	天王锤9
10	Player/Doodads/weapons/Prefabs/m2_h011.prefab	Player/Doodads/weapons/Prefabs/m2_h011.prefab	10311	10311	天王锤10
11		Player/Doodads/weapons/Prefabs/f2_s002.prefab			峨眉剑1
12		Player/Doodads/weapons/Prefabs/f2_s003.prefab			峨眉剑2
13		Player/Doodads/weapons/Prefabs/f2_s006.prefab			峨眉剑3
14		Player/Doodads/weapons/Prefabs/f2_s004.prefab			峨眉剑4
15		Player/Doodads/weapons/Prefabs/f2_s005.prefab			峨眉剑5
16		Player/Doodads/weapons/Prefabs/f2_s007.prefab			峨眉剑6
17		Player/Doodads/weapons/Prefabs/f2_s008.prefab			峨眉剑7
18		Player/Doodads/weapons/Prefabs/f2_s009.prefab		10002	峨眉剑8
19		Player/Doodads/weapons/Prefabs/f2_s010.prefab		10302	峨眉剑9
20		Player/Doodads/weapons/Prefabs/f2_s011.prefab		10312	峨眉剑10
21	Player/Doodads/weapons/Prefabs/f1_a004.prefab				桃花弓1
22	Player/Doodads/weapons/Prefabs/f1_a002.prefab				桃花弓2
23	Player/Doodads/weapons/Prefabs/f1_a003.prefab				桃花弓3
24	Player/Doodads/weapons/Prefabs/f1_a005.prefab				桃花弓4
25	Player/Doodads/weapons/Prefabs/f1_a006.prefab				桃花弓5
26	Player/Doodads/weapons/Prefabs/f1_a007.prefab				桃花弓6
27	Player/Doodads/weapons/Prefabs/f1_a008.prefab				桃花弓7
28	Player/Doodads/weapons/Prefabs/f1_a009.prefab			10003	桃花弓8
29	Player/Doodads/weapons/Prefabs/f1_a010.prefab			10303	桃花弓9
30	Player/Doodads/weapons/Prefabs/f1_a011.prefab			10313	桃花弓10
31		Player/Doodads/weapons/Prefabs/m1_l002.prefab			逍遥枪1
32		Player/Doodads/weapons/Prefabs/m1_l003.prefab			逍遥枪2
33		Player/Doodads/weapons/Prefabs/m1_l005.prefab			逍遥枪3
34		Player/Doodads/weapons/Prefabs/m1_l007.prefab			逍遥枪4
35		Player/Doodads/weapons/Prefabs/m1_l006.prefab			逍遥枪5
36		Player/Doodads/weapons/Prefabs/m1_l004.prefab			逍遥枪6
37		Player/Doodads/weapons/Prefabs/m1_l008.prefab			逍遥枪7
38		Player/Doodads/weapons/Prefabs/m1_l009.prefab		10004	逍遥枪8
39		Player/Doodads/weapons/Prefabs/m1_l010.prefab		10304	逍遥枪9
