ResId	ResFile	ResFile2	Desc
101	Effect/Prefabs/JueSe/FM/TW_WQ_01.prefab	Effect/Prefabs/JueSe/FM/TW_WQ_01.prefab	天王武器发光1级
102	Effect/Prefabs/JueSe/FM/TW_WQ_02.prefab	Effect/Prefabs/JueSe/FM/TW_WQ_02.prefab	天王武器发光2级
103	Effect/Prefabs/JueSe/FM/TW_WQ_03.prefab	Effect/Prefabs/JueSe/FM/TW_WQ_03.prefab	天王武器发光3级
104	Effect/Prefabs/JueSe/FM/TW_WQ_04.prefab	Effect/Prefabs/JueSe/FM/TW_WQ_04.prefab	天王武器发光4级
105	Effect/Prefabs/JueSe/FM/TW_WQ_05.prefab	Effect/Prefabs/JueSe/FM/TW_WQ_05.prefab	天王武器发光5级
201		Effect/Prefabs/JueSe/FM/EM_WQ_01.prefab	峨眉武器发光1级
202		Effect/Prefabs/JueSe/FM/EM_WQ_02.prefab	峨眉武器发光2级
203		Effect/Prefabs/JueSe/FM/EM_WQ_03.prefab	峨眉武器发光3级
204		Effect/Prefabs/JueSe/FM/EM_WQ_04.prefab	峨眉武器发光4级
205		Effect/Prefabs/JueSe/FM/EM_WQ_05.prefab	峨眉武器发光5级
301	Effect/Prefabs/JueSe/FM/TH_WQ_01.prefab		桃花武器发光1级
302	Effect/Prefabs/JueSe/FM/TH_WQ_02.prefab		桃花武器发光2级
303	Effect/Prefabs/JueSe/FM/TH_WQ_03.prefab		桃花武器发光3级
304	Effect/Prefabs/JueSe/FM/TH_WQ_04.prefab		桃花武器发光4级
305	Effect/Prefabs/JueSe/FM/TH_WQ_05.prefab		桃花武器发光5级
401		Effect/Prefabs/JueSe/FM/XY_WQ_01.prefab	逍遥武器发光1级
402		Effect/Prefabs/JueSe/FM/XY_WQ_02.prefab	逍遥武器发光2级
403		Effect/Prefabs/JueSe/FM/XY_WQ_03.prefab	逍遥武器发光3级
404		Effect/Prefabs/JueSe/FM/XY_WQ_04.prefab	逍遥武器发光4级
405		Effect/Prefabs/JueSe/FM/XY_WQ_05.prefab	逍遥武器发光5级
501	Effect/Prefabs/JueSe/FM/WD_WQ_01.prefab		武当武器发光1级
502	Effect/Prefabs/JueSe/FM/WD_WQ_02.prefab		武当武器发光2级
503	Effect/Prefabs/JueSe/FM/WD_WQ_03.prefab		武当武器发光3级
504	Effect/Prefabs/JueSe/FM/WD_WQ_04.prefab		武当武器发光4级
505	Effect/Prefabs/JueSe/FM/WD_WQ_04.prefab	Effect/Prefabs/JueSe/FM/WD_WQ_05_R.prefab	武当武器发光5级
601	Effect/Prefabs/JueSe/FM/TR_WQ_01.prefab	Effect/Prefabs/JueSe/FM/TR_WQ_01.prefab	天忍武器发光1级
602	Effect/Prefabs/JueSe/FM/TR_WQ_02.prefab	Effect/Prefabs/JueSe/FM/TR_WQ_02.prefab	天忍武器发光2级
603	Effect/Prefabs/JueSe/FM/TR_WQ_03.prefab	Effect/Prefabs/JueSe/FM/TR_WQ_03.prefab	天忍武器发光3级
604	Effect/Prefabs/JueSe/FM/TR_WQ_04.prefab	Effect/Prefabs/JueSe/FM/TR_WQ_04.prefab	天忍武器发光4级
605	Effect/Prefabs/JueSe/FM/TR_WQ_05.prefab	Effect/Prefabs/JueSe/FM/TR_WQ_05.prefab	天忍武器发光5级
701		Effect/Prefabs/JueSe/FM/SL_WQ_01.prefab	少林武器发光1级
702		Effect/Prefabs/JueSe/FM/SL_WQ_02.prefab	少林武器发光2级
703		Effect/Prefabs/JueSe/FM/SL_WQ_03.prefab	少林武器发光3级
704		Effect/Prefabs/JueSe/FM/SL_WQ_04.prefab	少林武器发光4级
705		Effect/Prefabs/JueSe/FM/SL_WQ_05.prefab	少林武器发光5级
801		Effect/Prefabs/JueSe/FM/CY_WQ_01.prefab	翠烟武器发光1级
802		Effect/Prefabs/JueSe/FM/CY_WQ_02.prefab	翠烟武器发光2级
803		Effect/Prefabs/JueSe/FM/CY_WQ_03.prefab	翠烟武器发光3级
804		Effect/Prefabs/JueSe/FM/CY_WQ_04.prefab	翠烟武器发光4级
805		Effect/Prefabs/JueSe/FM/CY_WQ_05.prefab	翠烟武器发光5级
901		Effect/Prefabs/JueSe/FM/TM_WQ_01.prefab	唐门武器发光1级
902		Effect/Prefabs/JueSe/FM/TM_WQ_02.prefab	唐门武器发光2级
903		Effect/Prefabs/JueSe/FM/TM_WQ_03.prefab	唐门武器发光3级
904		Effect/Prefabs/JueSe/FM/TM_WQ_04.prefab	唐门武器发光4级
905		Effect/Prefabs/JueSe/FM/TM_WQ_05.prefab	唐门武器发光5级
1001		Effect/Prefabs/JueSe/FM/KL_WQ_01.prefab	昆仑武器发光1级
1002		Effect/Prefabs/JueSe/FM/KL_WQ_02.prefab	昆仑武器发光2级
1003		Effect/Prefabs/JueSe/FM/KL_WQ_03.prefab	昆仑武器发光3级
1004		Effect/Prefabs/JueSe/FM/KL_WQ_04.prefab	昆仑武器发光4级
1005		Effect/Prefabs/JueSe/FM/KL_WQ_05.prefab	昆仑武器发光5级
1101		Effect/Prefabs/JueSe/FM/GB_WQ_01.prefab	丐帮武器发光1级
1102		Effect/Prefabs/JueSe/FM/GB_WQ_02.prefab	丐帮武器发光2级
1103		Effect/Prefabs/JueSe/FM/GB_WQ_03.prefab	丐帮武器发光3级
1104		Effect/Prefabs/JueSe/FM/GB_WQ_04.prefab	丐帮武器发光4级
1105		Effect/Prefabs/JueSe/FM/GB_WQ_05.prefab	丐帮武器发光5级
1201		Effect/Prefabs/JueSe/FM/WuDU_WQ_01.prefab	五毒武器发光1级
1202		Effect/Prefabs/JueSe/FM/WuDU_WQ_02.prefab	五毒武器发光2级
1203		Effect/Prefabs/JueSe/FM/WuDU_WQ_03.prefab	五毒武器发光3级
1204		Effect/Prefabs/JueSe/FM/WuDU_WQ_04.prefab	五毒武器发光4级
1205		Effect/Prefabs/JueSe/FM/WuDU_WQ_05.prefab	五毒武器发光5级
