Level	SSS	SSS_Base	SS	SS_Base	S	S_Base	A	A_Base	B	B_Base	C	C_Base
1	10400	250	9600	250	8800	250	8000	250	6400	250	4800	250
2	10400	250	9600	250	8800	250	8000	250	6400	250	4800	250
3	11700	250	10800	250	9900	250	9000	250	7200	250	5400	250
4	13000	250	12000	250	11000	250	10000	250	8000	250	6000	250
5	14300	250	13200	250	12100	250	11000	250	8800	250	6600	250
6	15600	250	14400	250	13200	250	12000	250	9600	250	7200	250
7	16900	250	15600	250	14300	250	13000	250	10400	250	7800	250
8	18200	250	16800	250	15400	250	14000	250	11200	250	8400	250
9	19500	250	18000	250	16500	250	15000	250	12000	250	9000	250
10	39000	500	36000	500	33000	500	30000	500	24000	500	18000	500
11	45500	500	42000	500	38500	500	35000	500	28000	500	21000	500
12	52000	500	48000	500	44000	500	40000	500	32000	500	24000	500
13	58500	500	54000	500	49500	500	45000	500	36000	500	27000	500
14	65000	500	60000	500	55000	500	50000	500	40000	500	30000	500
15	71500	500	66000	500	60500	500	55000	500	44000	500	33000	500
16	78000	500	72000	500	66000	500	60000	500	48000	500	36000	500
17	84500	500	78000	500	71500	500	65000	500	52000	500	39000	500
18	91000	500	84000	500	77000	500	70000	500	56000	500	42000	500
19	97500	500	90000	500	82500	500	75000	500	60000	500	45000	500
20	175500	750	162000	750	148500	750	135000	750	108000	750	81000	750
21	195000	750	180000	750	165000	750	150000	750	120000	750	90000	750
22	214500	750	198000	750	181500	750	165000	750	132000	750	99000	750
23	234000	750	216000	750	198000	750	180000	750	144000	750	108000	750
24	253500	750	234000	750	214500	750	195000	750	156000	750	117000	750
25	292500	750	270000	750	247500	750	225000	750	180000	750	135000	750
26	331500	750	306000	750	280500	750	255000	750	204000	750	153000	750
27	370500	750	342000	750	313500	750	285000	750	228000	750	171000	750
28	409500	750	378000	750	346500	750	315000	750	252000	750	189000	750
29	448500	750	414000	750	379500	750	345000	750	276000	750	207000	750
30	975000	1000	900000	1000	825000	1000	750000	1000	600000	1000	450000	1000
