Level	ExpUpGrade	BaseAwardExp	RunSpeed	AttackSpeed	FightPower	AttackSeriesResist
1	28000	1000	0	0	10	12
2	32000	1000	0	0	20	14
3	36000	1000	0	0	30	16
4	40000	1000	0	0	40	18
5	44000	1000	0	0	50	20
6	48000	1000	0	0	60	22
7	52000	1000	0	0	70	24
8	56000	1000	0	0	80	26
9	60000	1000	0	0	90	28
10	120000	2000	0	0	100	30
11	130000	2000	0	0	120	32
12	130000	2000	0	0	140	34
13	140000	2000	0	0	160	36
14	150000	2000	0	0	180	38
15	170000	2000	0	0	200	40
16	180000	2000	0	0	220	42
17	190000	2000	0	0	240	44
18	200000	2000	0	0	260	46
19	210000	2000	0	0	280	48
20	540000	3000	0	0	300	50
21	600000	3000	0	0	370	55
22	660000	3000	0	0	440	60
23	720000	3000	0	0	510	65
24	780000	3000	0	0	580	70
25	900000	3000	0	0	650	75
26	102000	3000	0	0	720	80
27	114000	3000	0	0	790	85
28	126000	3000	0	0	860	90
29	138000	3000	0	0	930	95
30	1300000	4000	0	0	1000	150
31	1340000	4000	0	0	1200	155
32	1380000	4000	0	0	1400	160
33	1420000	4000	0	0	1600	165
34	1460000	4000	0	0	1800	170
35	1500000	4000	0	0	2000	175
36	1540000	4000	0	0	2200	180
37	1580000	4000	0	0	2400	185
38	1620000	4000	0	0	2600	190
39	1660000	4000	0	0	2800	195
40	1000000	5000	0	0	3000	300
41	1105000	5000	0	0	3400	320
42	1120000	5000	0	0	3800	340
43	1135000	5000	0	0	4200	360
44	1150000	5000	0	0	4600	380
45	1165000	5000	0	0	5000	400
46	1180000	5000	0	0	5400	420
47	1195000	5000	0	0	5800	440
48	1210000	5000	0	0	6200	460
49	1225000	5000	0	0	6600	480
50	1280800	6000	0	0	7000	500
51	1304800	6000	0	0	7800	510
52	1328800	6000	0	0	8600	520
53	1352800	6000	0	0	9400	530
54	1376800	6000	0	0	10200	540
55	1400800	6000	0	0	11000	550
56	1448000	6000	0	0	11800	560
57	1488000	6000	0	0	12600	570
58	1728000	6000	0	0	13400	580
59	1968000	6000	0	0	14200	590
60	7000000	7000	0	0	15000	600
61	7420000	7000	0	0	17000	610
62	7980000	7000	0	0	19000	620
63	8610000	7000	0	0	21000	630
64	9310000	7000	0	0	23000	640
65	10080000	7000	0	0	25000	650
66	10920000	7000	0	0	27000	660
67	11830000	7000	0	0	29000	670
68	12810000	7000	0	0	31000	680
69	13860000	7000	0	0	33000	690
70	12960000	8000	0	0	35000	700
71	13280000	8000	0	0	38500	705
72	13600000	8000	0	0	42000	710
73	13920000	8000	0	0	45500	715
74	14240000	8000	0	0	49000	720
75	14560000	8000	0	0	52500	725
76	14880000	8000	0	0	56000	730
77	15200000	8000	0	0	59500	735
78	15520000	8000	0	0	63000	740
79	15840000	8000	0	0	66500	745
80	18900000	9000	0	0	70000	750
81	19980000	9000	0	0	76500	755
82	21060000	9000	0	0	83000	760
83	22140000	9000	0	0	89500	765
84	23220000	9000	0	0	96000	770
85	24300000	9000	0	0	102500	775
86	25380000	9000	0	0	109000	780
87	26460000	9000	0	0	115500	785
88	27540000	9000	0	0	122000	790
89	28620000	9000	0	0	128500	795
90	26700000	10000	0	0	135000	850
91	28100000	10000	0	0	150000	870
92	29500000	10000	0	0	165000	890
93	30900000	10000	0	0	180000	910
94	32300000	10000	0	0	195000	930
95	33700000	10000	0	0	210000	950
96	35100000	10000	0	0	225000	970
97	36500000	10000	0	0	240000	990
98	37900000	10000	0	0	255000	1010
99	39300000	10000	0	0	270000	1030
100	40000000	10000	0	0	285000	1100
101	41000000	10000	0	0	300000	1120
102	42000000	10000	0	0	315000	1140
103	43000000	10000	0	0	330000	1160
104	44000000	10000	0	0	345000	1180
105	45000000	10000	0	0	360000	1200
106	46000000	10000	0	0	375000	1220
107	47000000	10000	0	0	390000	1240
108	48000000	10000	0	0	405000	1260
109	49000000	10000	0	0	420000	1280
110	50000000	10000	0	0	435000	1400
111	51000000	10000	0	0	450000	1420
112	52000000	10000	0	0	465000	1440
113	53000000	10000	0	0	480000	1460
114	54000000	10000	0	0	495000	1480
115	55000000	10000	0	0	510000	1500
116	56000000	10000	0	0	525000	1520
117	57000000	10000	0	0	540000	1540
118	58000000	10000	0	0	555000	1560
119	59000000	10000	0	0	570000	1580
120	60000000	10000	0	0	585000	1600
121	61000000	10000	0	0	600000	1700
122	62000000	10000	0	0	615000	1720
123	63000000	10000	0	0	630000	1740
124	64000000	10000	0	0	645000	1760
125	65000000	10000	0	0	660000	1780
126	66000000	10000	0	0	675000	1800
127	67000000	10000	0	0	690000	1820
128	68000000	10000	0	0	705000	1840
129	69000000	10000	0	0	720000	1860
