Id	FaceID	BigFaceID	Faction	Desc	Name	Level	OpenUi	Icon	IconAtlas	Basic	SaveIdx
1	1001	1121	1	天王乃「霸王」项羽后人所创建的门派，武学源于战场；其疾如风，其徐如林；侵掠如火，不动如山；难知如阴，动如雷震。	天王	默认		TianWangHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
2	1002	1122	2	峨嵋派自创立之初，便只招收六根清净的女子，欲学峨嵋武学，需内心纯净善良，峨嵋武学绵里藏针，可攻可守，妙用无方。	峨嵋	默认		EmeiHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
3	1003	1123	3	桃花落尽千帆过，火凤燎原几度闻。万里追魂叹弦惊。罗裙渐隐不留痕。\n——《记桃花一现》	桃花	默认		TaoHuaHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
4	1004	1124	4	逍遥门下尽皆容貌俊美，才智聪慧，除武学外，多有一技旁身，故而逍遥武学，精妙绝伦，静若处子 动若脱兔；如同舞蹈，煞是好看，举手投足，杀人无形。	逍遥	默认		XiaoYaoHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
5	1005	1125	5	武当剑法，讲求刚柔并济，进可剑破云霄，以凌厉刚猛的剑势制敌；退可化剑为圈，将对方的攻势化解于无形之中。	武当	默认		WuDangHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
6	1006	1126	6	天忍门训，以血记之。隐若蛇蛛，不出则以，出则雷火，一击毙敌。\n千里杀一人，十步不留行。	天忍	默认		TianRenHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
7	1007	1127	7	少林乃武林中历史最为悠久的门派之一，七十二绝技名闻天下，得其一者已是武林高手，门下弟子严守清规。	少林	默认		ShaoLinHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
8	1008	1128	8	翠烟一门，历来只收女子，且大多年纪较轻，以防受尘世烦扰太多，破坏门规，若要迎娶翠烟门女子，需以一门绝学或一柄神兵为聘礼。	翠烟	默认		CuiYanHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
9	1009	1129	9	唐门久居巴蜀，规章森严，门下弟子大多深居简出，以暗器、毒药，机关术闻名于世，只有直系子弟方可一窥其中精要，乃武林中屹立数百年的大家族。	唐门	默认		TangMenHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
10	1010	1130	10	昆仑亦是武林中的大门派，以剑法多变闻名于世，立于雪山之巅，故行走中原者甚寡，多在昆仑山附近行动。	昆仑	默认		KunLunHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
11	1011	1131	11	自各门各派创立以来，丐帮便是天下第一大帮，数百年来未曾更改，独门绝学「打狗棒法」及「降龙十八掌」亦为冠绝天下的武功，丐帮弟子生性洒脱，以行乞为生，游戏风尘，故而消息极为灵通。	丐帮	默认		GaiBangHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
12	1012	1132	12	五毒极为神秘，相传五毒教弟子善于御蛊及种毒，若得罪其门下弟子，往往受尽折磨，死无全尸，故五毒之名广为流传，五毒门人内部却自称「五仙教」，尊五毒为「五圣」，近日在江湖中行走的五毒弟子渐多，这个诡秘的门派也渐渐揭开了神秘的面纱	五毒	默认		WuDuHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
13	1013	1133	13	藏剑始于唐朝，就在若干年前，掌门乃卓非凡，此人剑术极高，野心也大，只可惜行事过于狠辣，一世声明毁于一旦，后藏剑直系子弟叶无心重新执掌藏剑，如今藏剑再度崛起，在江湖上颇有势不可挡之势。	藏剑	默认		CangJianHead	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1	
14	1014	1134	14	长歌始于唐朝，传至今日掌门为柴嵩，以风雅名动江湖，非但门下弟子均乃琴棋书画样样擅长的风雅之人，武功招式亦是优美异常。欲入长歌之门，必有一技之长。	长歌	默认		ChangGeHead	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1	
50	814	101	2|3|6|8|10|12|14	来历神秘的女子，无人知晓她的来历……	-	紫衣妹子		FemaleHead01	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
51	813	102	2|3|6|8|10|12|14	来历神秘的女子，无人知晓她的来历……	-	丝巾妹子		FemaleHead02	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
52	821	103	2|3|6|8|10|12|14	来历神秘的女子，无人知晓她的来历……	-	B		FemaleHead03	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
53	707	104	2|3|6|8|10|12|14	赵氏千金，风雪山庄庄主赵升权之女。	赵无双	A		FemaleHead04	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
54	705	105	2|3|6|8|10|12|14	纳兰真、月眉儿的母亲，样貌妩媚，与上官飞龙相互喜欢，却迫于家父之命嫁给纳兰潜凛。	月明瑶	A		FemaleHead05	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
55	720	106	2|3|6|8|10|12|14	峨嵋派杰出弟子，出身贫苦家庭，性格温婉贤淑，希望能够为世间疾苦自己的一份力量。衣着较为朴素干净。	无想	A		FemaleHead06	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
56	819	107	2|3|6|8|10|12|14	来历神秘的女子，无人知晓她的来历……	-	白发杨瑛		FemaleHead07	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
57	719	108	2|3|6|8|10|12|14	来历神秘的女子，无人知晓她的来历……	李恬儿	?		FemaleHead08	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
58	815	109	2|3|6|8|10|12|14	来历神秘的女子，无人知晓她的来历……	-	蓝色桃花		FemaleHead09	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
59	702	110	2|3|6|8|10|12|14	来历神秘的女子，无人知晓她的来历……	秦沐白	A		FemaleHead10	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
60	820	111	2|3|6|8|10|12|14	来历神秘的女子，无人知晓她的来历……	-	家园管理员		FemaleHead11	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
61	817	112	2|3|6|8|10|12|14	来历神秘的女子，无人知晓她的来历……	曲霞	蓝衣马尾		FemaleHead12	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
62	712	113	2|3|6|8|10|12|14	无忧教教主纳兰潜凛之女，月眉儿的孪生妹妹，从小居于忘忧岛。本是天真烂漫的少女，无忧无虑，却因杨影枫的出现而卷入了风波。	纳兰真	A		FemaleHead13	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
63	816	114	2|3|6|8|10|12|14	来历神秘的女子，无人知晓她的来历……	-	秦良玉		FemaleHead14	UI/Atlas/Head/HomeScreenHeadAtlas.prefab		1
64	851	115	2|3|6|8|10|12|14	来历神秘的女子，无人知晓她的来历……	何暮雪	旧月眉儿		FemaleHead15	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1	
65	718	116	2|3|6|8|10|12|14	桃花岛主，其父取桃花岛两套武学各一字而成的名字，希望桃花岛能够在黄暮云的带领下发扬光大，黄暮云也并未让人失望，江湖盛传，黄暮云已是天下间武功最高的几名女子之一，更是天下第一才女，博学多才，奇门八卦、天文地理均有所涉猎。	黄暮云	S		FemaleHead16	UI/Atlas/Head/HomeScreenHeadAtlas.prefab		2
