KEY_GROUP	KEY_ID_BEGIN	KEY_ID_END	TYPE	PLAYER_SAVE_TABLE	SYNC	DESC
1~255	1~255	1~255	0:int,1buf		同步到客户端	
1	1	3	0		1	玩家体力值
2	1	50	0		1	货币
3	1	50	0		1	货币偿还记录
3	51	60	0		1	货币偿还额外信息
5	1	15	0		1	复仇,抓捕,送体力
6	1	10	0		1	各装备部位强化等级
6	11	20	0		1	各装备部位突破次数
6	21	30	0		1	各装备部位强化失败次数
6	31	41	0		1	31-40各部位每天强化次数，41最后强化天数
7	1	30	0		1	排行榜
8	1	2	0			BOOS首领奖励
9	1	2	0		1	随机副本次数
10	1	6	0		1	抢碎片免战时间，次数
11	1	7	0		1	战场次数,竞技资格
12	1	6	0		1	地宫次数,探索次数
12	7	11	0		0	上次探索出地宫天数，对应今天探索次数
13	1	8	0		1	组队副本次数
14	1	6	0		1	摇钱树免费次数与额外次数
14	7	8	0		1	周卡月卡活动
14	9	10	0		1	祈福，现在是少2个给周卡活动了
15	1	255	0		1	快速购买
16	1	2			1	惩恶次数
17	1	4				惩恶杀死的次数
18	1	20			1	教育引导
19	1	4	0		1	登录奖励数据
20	1	72	0		1	充值
21	1	44	0		1	彩聊次数1，及聊天相关，头框，背景分别为2,3, 跨服主播权限为4， 5~44为关注主播
22	1	4	0		1	签到奖励
23	1	10	0		1	传功
24	1	10			1	群英会
25	1	4	0		1	免费体力领取
26	1	2	0		1	改名
27	1	1			1	头衔任务
28	1	21	0		1	答题活动数据
29	1	255	0		1	成就信息
30	1	255	0		1	成就计数
31	1	2	0		1	奇遇秘境次数
32	1	2	0		1	家族捐献次数
32	3	3	0		1	加入家族CD冷却时间戳
33	1	2	0		1	商会任务次数
34	1	255	0		0	特权码礼包领取标识
35	1	2			0	家族巢穴奖励
36	1	2	0		0	家族盗贼奖励
37	1	1	0		1	恶名值
38	1	2	0		1	1江湖试炼接受任务标志
39	1	255	0		1	玩家头像
40	1	2	0		1	家族任务
41	1	100	0		1	各装备部位镶嵌信息
42	1	255	0		1	用于开服第一天gateway不稳定的补偿标志
43	1	9	0		1	英雄挑战
44	1	12			1	英雄挑战显示头像
45	1	14	0		1	通天塔
46	1	2	0		1	白虎堂
47	1	2	0		1	武器开光
48	1	3	0		1	家族运镖个人标示
49	1	4	0		1	修炼
49	10	15	0		1	秦始皇陵挂机时间
50	1	6	0		1	公聊次数，主播频道聊天次数
51	1	2	0		1	同伴组合激活属性
52	1	255	0		1	成就计数扩展
53	1	1	0		1	消耗的技能点
54	1	10	0		1	技能点书
55	1	1	0		1	同伴副本
56	1	50	0		1	补领奖励
57	1	12	0		1	卡片收集活动收集册数据
58	1	10	0		1	夏日好礼迎新服
59	1	10	0		1	半周年
60	1	2	0		1	开放等级上限庆典活动
61	1	100	0		1	回归特权
61	101	255	0		1	玩家召回
62	1	10	0		1	中秋节活动
63	1	10	0		1	增加玩家潜能道具
64	1	10	0		1	buff道具使用数量
65	1	25	0		1	国庆锦绣山河活动卡片收集相关
65	50	52	0		1	国庆锦绣山河活动鉴定相关
66	1	50	0		1	周末答题活动
66	51	51	0		1	每日活跃附加活跃
66	56	60	0		1	直升数据
67	1	20	0		1	许愿活动
68	1	10	0		1	登录领奖活动
68	11	20	0		1	情人节活动
68	21	40	0		1	妇女节活动
68	41	80	0		1	武林第一美女
69	1	50	0		1	植树节 节流
70	1	255	0		1	成就计数6到10级
71	1	255	0		1	成就计数扩展6到10级
72	1	255	0		1	荣誉成就
73	1	10	0		1	代言人任务副本
74	1	50	0		1	植树节 节流 单植物模式
78	1	2	0		1	抽卡打折活动
79	1	10	0		1	提示引导
80	1	255	0		1	每天登录邮件奖励，扫荡，月卡
81	1	2	0		1	盗宝贼发奖励的最大数量
82	1	255	0		0	问卷调查完成状态
83	1	2	0		1	增加传功次数道具的使用个数
84	1	5	0		1	离线挂机相关
85	1	4	0		1	玩家礼包数据
86	1	25	0		1	所有sdK接入相关, 目前用到24
87	1	26	0		0	抽卡缓存
88	1	3	0		1	抽卡同步到客户端的信息
89	1	255	0		0	家族红包发放时间
90	1	2	0		0	随机Boss触摸奖励
91	1	2	0		0	武神殿历史最高纪录
92	1	3	0		1	修炼丹的次数
93	1	80	0		0	兵甲方打造潜规则，稀有
94	1	80	0		0	兵甲方打造潜规则，传承
95	1	1	0	0	1	秘籍
96	1	2	0		1	大师兄投票次数和投票当届的开始时间
97	1	2	0		1	个人抢红包次数每日上限
98	1	2	0		1	托管重置挂机时间相关的时间
99	1	2	0		1	在线托管开始时间
100	1	2	0		0	武林盟主服务端分数记录
101	1	255	0		1	记录同伴拥有数据
102	1	2	0		0	Vip礼包兑换补偿
103	1	3	0		0	华山论剑
104	1	4	0		0	转门派
105	1	3	0		1	华山论剑竞猜
106	1	255	0		0	师徒目标进度
107	1	10	0		0	师徒称号
108	1	1	1		0	Efun绑定的facebookId
109	1	255	0		1	名望商店
110	1	1	0		0	华山论剑荣誉
111	1	1	0		1	同伴战斗ID
112	1	10	0		1	玩家的属性
113	1	1	0		1	心得书
114	1	2	0		1	心得书使用次数
115	1	4	0		1	抽奖相关
116	1	4	0		1	送祝福活动
117	1	1	0		1	组队的自动同意数据
118	1	9	0		1	心魔幻境
119	1	2			1	成语接龙次数
120	1	2	0		1	守卫名侠次数
121	1	1	0		0	每日礼包加吗活动
122	1	6	0		1	打雪仗
123	1	5	0		1	堆雪人
124	1	50	0		1	铭刻石
125	1	2	0		1	比武招亲
126	1	255	0		1	聊天频道前缀，及其过期时间
127	1	10	0		1	同伴觉醒
128	1	2	0		1	年兽宝箱
129	1	1	0		1	活动限制次数箱子
130	1	2	0		1	入住家园房主，入住时间
131	1	8	0		1	冥想
132	1	30	0		0	真元打造
133	1	2	0		1	养护次数
133	3	4	0		1	协助养护次数
134	1	10	0		1	技能等级上限次数
135	1	10	0		1	扩展背包道具
136	1	2	0		1	武林大会
137	1	4	0		0	家园守卫
138	1	1	0		1	上次登录时间
139	1	10	0		1	结婚
140	1	255	0		1	经脉
141	1	255	0		1	经脉
142	1	5	0		1	经脉丹田
143	1	2	0		1	奖券数量
