TeamID	Name	HeroName	Faction	Level	ExtAttribId	HonorLevel	PartnerId1	PartnerId2	PartnerId3	PartnerId4	PartnerLevel	Strength	Vitality	Dexterity	Energy	SkillLevel	SkillID1	SkillID2	SkillID3	SkillID4	SkillID5
1	武神殿守护者	官书琴	1	10	1	0	96				5	0	0	0	0	1					
2	武神殿守护者	龚志诚	2	10	1	0		96			5	0	0	0	0	1					
3	武神殿守护者	左丘翰林	3	10	1	0			96		5	0	0	0	0	1					
4	武神殿守护者	仲孙宏远	4	10	1	0				96	5	0	0	0	0	1					
5	武神殿守护者	章忆达	5	10	1	0	96				5	0	0	0	0	1					
6	武神殿守护者	独孤俊誉	6	10	1	0		96			5	0	0	0	0	1					
7	武神殿守护者	严锐精	1	10	1	0			96		5	0	0	0	0	1					
8	武神殿守护者	栾觅云	2	10	1	0				96	5	0	0	0	0	1					
9	武神殿守护者	司马亦旋	3	10	1	0	96				5	0	0	0	0	1					
10	武神殿守护者	段忆雪	4	10	1	0		96			5	0	0	0	0	1					
11	武神殿守护者	穆墨容	5	10	1	0			96		5	0	0	0	0	1					
12	武神殿守护者	沈星火	6	10	1	0				96	5	0	0	0	0	1					
13	武神殿守护者	令狐思枫	1	10	1	0	96				5	0	0	0	0	1					
14	武神殿守护者	慕寒松	2	10	1	0		96			5	0	0	0	0	1					
15	武神殿守护者	贺和光	3	10	1	0			96		5	0	0	0	0	1					
16	武神殿守护者	穆鸿熙	4	11	1	0				96	6	0	0	0	0	1					
17	武神殿守护者	苏弘文	5	11	1	0	96				6	0	0	0	0	1					
18	武神殿守护者	雍嘉赐	6	11	1	0		96			6	0	0	0	0	1					
19	武神殿守护者	伍兴业	1	11	1	0			96		6	0	0	0	0	1					
20	武神殿守护者	邢宜人	2	11	1	0				96	6	0	0	0	0	1					
21	武神殿守护者	姜嘉树	3	11	1	0	96				6	0	0	0	0	1					
22	武神殿守护者	东门思宣	4	11	1	0		96			6	0	0	0	0	1					
23	武神殿守护者	秦雁戮	5	11	1	0			96		6	0	0	0	0	1					
24	武神殿守护者	车映真	6	11	1	0				96	6	0	0	0	0	1					
25	武神殿守护者	罗才良	1	11	1	0	96				6	0	0	0	0	1					
26	武神殿守护者	熊墨云	2	11	1	0		96			6	0	0	0	0	1					
27	武神殿守护者	阎雪容	3	11	1	0			96		6	0	0	0	0	1					
28	武神殿守护者	项奇胜	4	11	1	0				96	6	0	0	0	0	1					
29	武神殿守护者	司鸿秋扇	5	11	1	0	96				6	0	0	0	0	1					
30	武神殿守护者	严以筠	6	11	1	0		96			6	0	0	0	0	1					
31	武神殿守护者	蔡诗丹	1	12	1	0	96	78			7	0	0	0	0	1					
32	武神殿守护者	龙博瀚	2	12	1	0		96	78		7	0	0	0	0	1					
33	武神殿守护者	衣访琴	3	12	1	1			96	78	7	0	0	0	0	1					
34	武神殿守护者	萧和颂	4	12	1	1	78	96			7	0	0	0	0	1					
35	武神殿守护者	郭和昱	5	12	1	1		78	96		7	0	0	0	0	1					
36	武神殿守护者	简晓博	6	12	2	1			78	96	7	0	0	0	0	1					
37	武神殿守护者	宋阳羽	1	12	2	1	96	78			7	0	0	0	0	1					
38	武神殿守护者	马灵扇	2	12	2	1		96	78		7	0	0	0	0	1					
39	武神殿守护者	岳敏叡	3	12	2	1			96	78	7	0	0	0	0	1					
40	武神殿守护者	徐灵松	4	12	2	1	78	96			7	0	0	0	0	1					
41	武神殿守护者	寇醉柳	5	12	2	1		78	96		7	0	0	0	0	1					
42	武神殿守护者	司马明轩	6	12	2	1			78	96	7	0	0	0	0	1					
43	武神殿守护者	叶翰藻	1	12	2	1	96	78			7	0	0	0	0	1					
44	武神殿守护者	邢俊哲	2	12	2	1		96	78		7	0	0	0	0	1					
45	武神殿守护者	闾丘坚白	3	12	2	1			96	78	7	0	0	0	0	1					
46	武神殿守护者	卜祺瑞	4	13	2	1	78	96			8	0	0	0	0	1					
47	武神殿守护者	林雅健	5	13	2	1		78	96		8	0	0	0	0	1					
48	武神殿守护者	帅文石	6	13	2	1			78	96	8	0	0	0	0	1					
49	武神殿守护者	邬笑槐	1	13	2	1	96	78			8	0	0	0	0	1					
50	武神殿守护者	禹伟祺	2	13	2	1		96	78		8	0	0	0	0	1					
51	武神殿守护者	贾兴腾	3	13	2	1			96	78	8	0	0	0	0	1					
52	武神殿守护者	柯烨烁	4	13	2	1	78	96			8	0	0	0	0	1					
53	武神殿守护者	鲍雅达	5	13	2	1		78	96		8	0	0	0	0	1					
54	武神殿守护者	梅觅双	6	13	2	1			78	96	8	0	0	0	0	1					
55	武神殿守护者	瞿睿识	1	13	2	1	96	76			8	0	0	0	0	1					
56	武神殿守护者	鲁承基	2	13	2	1	96	77	102		8	0	0	0	0	1					
57	武神殿守护者	金白安	3	13	2	1	96	78	103		8	0	0	0	0	1					
58	武神殿守护者	项怀寒	4	13	2	1	96	79	104		8	0	0	0	0	1					
59	武神殿守护者	木志学	5	13	2	1	96	80	105		8	0	0	0	0	1					
60	武神殿守护者	慕听风	6	13	2	1	96	81	106		8	0	0	0	0	1					
61	武神殿守护者	东门斌蔚	1	14	2	1	96	82	107		9	0	0	0	0	1					
62	武神殿守护者	彭雁菡	2	14	2	1	96	83	108		9	0	0	0	0	1					
63	武神殿守护者	胡星汉	3	14	2	1	96	84	109		9	0	0	0	0	1					
64	武神殿守护者	池盼易	4	14	2	1	96	85	102		9	0	0	0	0	1					
65	武神殿守护者	桑白竹	5	14	2	1	96	86	103		9	0	0	0	0	1					
66	武神殿守护者	全语儿	6	14	2	1	96	87	104		9	0	0	0	0	1					
67	武神殿守护者	党宏博	1	14	2	1	96	88	105		9	0	0	0	0	1					
68	武神殿守护者	韦元瑶	2	14	2	1	96	89	106		9	0	0	0	0	1					
69	武神殿守护者	华幻枫	3	14	2	1	96	90	107		9	0	0	0	0	1					
70	武神殿守护者	成傲易	4	14	2	1	96	91	108		9	0	0	0	0	1					
71	武神殿守护者	石英睿	5	14	2	1	96	92	109		9	0	0	0	0	1					
72	武神殿守护者	司鸿绍钧	6	14	2	1	96	93	102		9	0	0	0	0	1					
73	武神殿守护者	周思淼	1	14	2	1	96	94	103		9	0	0	0	0	1					
74	武神殿守护者	宇文忆南	2	14	2	1	96	95	104		9	0	0	0	0	1					
75	武神殿守护者	司凝连	3	14	2	1	96	76	105		9	0	0	0	0	1					
76	武神殿守护者	孟以腾	4	15	2	1	96	77	106		10	0	0	0	0	1					
77	武神殿守护者	雍易槐	5	15	2	1	96	78	107		10	0	0	0	0	1					
78	武神殿守护者	戚坚诚	6	15	2	1	96	79	108		10	0	0	0	0	1					
79	武神殿守护者	牟慕雁	1	15	2	1	96	80	109		10	0	0	0	0	1					
80	武神殿守护者	耿勇男	2	15	2	1	96	81	102		10	0	0	0	0	1					
81	武神殿守护者	游修筠	3	15	2	2	96	82	103		10	0	0	0	0	1					
82	武神殿守护者	尉迟惜扇	4	15	2	2	96	83	104		10	0	0	0	0	1					
83	武神殿守护者	马心远	5	15	2	2	96	84	105		10	0	0	0	0	1					
84	武神殿守护者	阎天骄	6	15	2	2	96	85	106		10	0	0	0	0	1					
85	武神殿守护者	帅书柳	1	15	2	2	96	86	107		10	0	0	0	0	1					
86	武神殿守护者	麦彭彭	2	16	2	2	96	87	108		11	0	0	0	0	1					
87	武神殿守护者	连成和	3	16	2	2	96	88	109		11	0	0	0	0	1					
88	武神殿守护者	司空宏深	4	16	2	2	96	89	102		11	0	0	0	0	1					
89	武神殿守护者	易寄瑶	5	16	2	2	96	90	103		11	0	0	0	0	1					
90	武神殿守护者	苗白卉	6	16	2	2	96	91	104		11	0	0	0	0	1					
91	武神殿守护者	时俊杰	1	16	2	2	96	92	105		11	0	0	0	0	1					
92	武神殿守护者	邝飞书	2	16	2	2	96	93	106		11	0	0	0	0	1					
93	武神殿守护者	寇华翰	3	16	2	2	96	94	107		11	0	0	0	0	1					
94	武神殿守护者	淳于冷霜	4	16	2	2	96	95	108		11	0	0	0	0	1					
95	武神殿守护者	任寄灵	5	16	2	2	96	76	109		11	0	0	0	0	1					
96	武神殿守护者	何自怡	6	17	2	2	96	77	102		12	0	0	0	0	1					
97	武神殿守护者	家凡之	1	17	2	2	96	78	103		12	0	0	0	0	1					
98	武神殿守护者	隋亦游	2	17	2	2	96	79	104		12	0	0	0	0	1					
99	武神殿守护者	管初瑶	3	17	2	2	96	80	105		12	0	0	0	0	1					
100	武神殿守护者	萧浩博	4	17	2	2	96	81	106		12	0	0	0	0	1					
101	武神殿守护者	查以柳	5	17	2	2	96	82	107		12	0	0	0	0	1					
102	武神殿守护者	西门灵安	6	17	2	2	96	83	108		12	0	0	0	0	1					
103	武神殿守护者	卜海冬	1	17	2	2	96	84	109		12	0	0	0	0	1					
104	武神殿守护者	尉迟良翰	2	17	2	2	96	85	102		12	0	0	0	0	1					
105	武神殿守护者	荣夏真	3	17	2	2	96	86	103		12	0	0	0	0	1					
106	武神殿守护者	单于乐凡	4	18	2	2	96	87	104	59	13	0	0	0	0	1					
107	武神殿守护者	郎半安	5	18	2	2	96	88	105	59	13	0	0	0	0	1					
108	武神殿守护者	潘泽语	6	18	2	2	96	89	106	59	13	0	0	0	0	1					
109	武神殿守护者	单于元思	1	18	2	2	96	90	107	59	13	0	0	0	0	1					
