SkillId	AttackType	AutoFightTarget	Desc	
310	2	0		
407	2	0		AttackType
410	3	0		1默认1为普通
412	2	0		2为强制方向
507	3	0		3为强制目标
510	2	0		
308	3	0		
609	3	0		AutoFightTarget
611	2	0		无目标技能在跟战时是否需要选中目标
615	3	0		
708	2	0		
722	3	0		
816	3	0		
2118	3	0		
2119	2	0		
2128	2	0		
2130	3	0		
2132	2	0		
2143	3	0		
2147	2	0		
266	2	0		
2190	2	0		
806	2	0		
2983	2	0		
3409	2	0		
3418	2	0		
3422	2	0		
3423	3	0		
4010	2	0		
4106	2	0		
4110	2	0		
4112	3	0		
208	1	1	霸王怒吼	
513	1	1	风卷残云	
272	1	1	十二擒龙手	
312	1	1	天舞宝轮	
4334	3	0		
4512	3	0	清音长啸	
