SkillId	SkillName	Property	SkillType	MeleeForm	StartPosType	Icon	IconAtlas	WaitTime	ChildID	MissileForm	ChildCount	MSGenerate	MSGenerateParam	FlySkillId	FlyEventInterval	FlyActEventId	FlyActId	Relation	TimePerCast	IsUseAR	Series	CastActionId	ActionEventID	ActionFrontPer	ActionBackPer	StateEffectId	SkillStyle	StatePriority	StateType	StateTime	StartSkillID	HitSkillID	VanishedSkillId	EventSkillLevel	AttackRadius	ClassName	MaxUsePoint	UsePointRecover	Param1	Param1Des	Param2	Param2Des	Param3	Param3Des	Param4	Param4Des	Param5	Param5Des	Param6	Param6Des	CostType	CostValue	FactionLimit	ReqLevel	IsLinkSubSkill	IsAura	Desc	SelectorRange	SelectorType	CollisionSkillId	TargetSelf	DeathActEventID	AttackAnger	CastSoundID	AcceSpeedInfo1	AcceSpeedInfo2	AcceSpeedInfo3	InitSpeed	CastEffectRestId	IsMelee	NotChangeActFrame	NotChangeDir	CanDoSkillPri	UseLimitType	IgnoreObstacleJump	IsActPerFrame	IsPeaceCanUse	IsNotJumpObstacle	IsIgnoreInvincible
1	测试_必杀技单体		5		1	SkillUsual			1		1							enemy	0			16	1				attack_wood			0					1000	test_npc																																											
2	测试_必杀技群体		5		1	SkillUsual			1		1							enemy	0			16	1				attack_wood			0					1000	test_mustkill																																											
3	测试_必杀技自杀		5		2	SkillUsual			1		1							self	0			16	1				attack_wood			0					1000	test_mustkill																																											
4	测试_全能&无敌		2			SkillUsual												self	0			16	1							0						test3																																											
5	测试_回血		2			SkillUsual												self	0			16	1							0						test_recoverlife																																											
6	测试_隐身		3			SkillUsual												self	0			16	1							0						test3																																											
7	天王轻功		1	1		SkillUsual													0			29	7	0	0.2					0					1600	empty			30	向上的初始速度	800		800																						-1|20|90			70											
8	峨嵋轻功		1	1		SkillUsual													0			29	8	0	0.2					0					1600	empty			30	向上的初始速度	800		800																						-1|20|90			70											
9	桃花轻功		1	1		SkillUsual													0			29	9	0	0.2					0					1600	empty			30	向上的初始速度	800		800																						-1|20|90			70											
10	逍遥轻功		1	1		SkillUsual													0			29	10	0	0.2					0					1600	empty			30	向上的初始速度	800		800																						-1|20|90			70											
11	天王过场轻功		1	1		SkillUsual													0			6	11	0	0					0					1600	empty			30	向上的初始速度																												45											
12	峨嵋过场轻功		1	1		SkillUsual													0			6	12	0	0					0					1600	empty			20	向上的初始速度																												60											
13	桃花过场轻功		1	1		SkillUsual													0			6	13	0	0					0					1600	empty			20	向上的初始速度																												60											
14	逍遥过场轻功		1	1		SkillUsual													0			6	14	0	0					0					1600	empty			20	向上的初始速度																												60											
15	轻功落地通用		1	5		SkillUsual													0			30	15							0					1600	empty																																			1	1							
16	测试跳跃前摇后摇		1	2		SkillUsual			17									enemy	0			21	16	15	15		attack_earth			0					700	test1			70																													10											
17	测试跳跃前摇后摇_子		5		1	SkillUsual			17		1							enemy	0			16	17				attack_earth			0					750	tw_ymcz_child																																											
18	红色预警_子2		5		1	SkillUsual			18		1							enemy	30			16	18				attack_earth			0					600	npc_normal																																											
19	红色预警		5		1	SkillUsual			19		1							enemy	30			16	19				attack_earth			0					600	empty																																											
20	红色预警_子1		5		1	SkillUsual			20		1							enemy	30			16	20				attack_earth			0					600	empty																																											
21	npc近身单体_金	技能通用	5		1	SkillUsual			21		1							enemy	30	1		16	21				attack_normal			0					150	npc_normal																																											
22	npc近身单体2_爪子	技能通用	5		1	SkillUsual			22		1							enemy	30	1		16	22				attack_normal			0					200	npc_normal																																											
23	npc近身群体_小半月金	技能通用	5		1	SkillUsual			23		1							enemy	30	1		16	23				attack_normal			0					200	npc_normal																																	23										
24	npc近身群体1_金	技能通用	5		2	SkillUsual			24		1							enemy	60	1		16	6005				attack_earth			0	70			-1	150	empty																																											
25	npc近身群体1_水	技能通用	5		2	SkillUsual			25		1							enemy	60	1		16	6005				attack_water			0	71			-1	150	empty																																											
