ItemTID	Class	UseInfo	Channel	Desc	TimeFrame
1454	SkillHelp	使用后可增加3点技能点	完成主线任务可以获得	武道德经	
1430	SkillHelp	使用后可增加1点技能点	高级藏宝图产出，也可通过摆摊购买	武林秘籍（上）	
1431	SkillHelp	使用后可增加1点技能点	高级藏宝图、华山论剑产出，也可通过摆摊购买	武林秘籍（中）	OpenLevel69
1432	SkillHelp	使用后可增加1点技能点	高级藏宝图、华山论剑产出，也可通过摆摊购买	武林秘籍（下）	OpenLevel109
2591	SkillHelp	使用后可增加1点技能点	节日活动产出，也可通过名望商店或摆摊购买	幽灵糖 	
2876	SkillHelp	使用后可增加1点技能点	节日活动产出，也可通过名望商店或摆摊购买	月满西楼	
3238	AddAttributeItemHelp	增加4项潜能（体质、力量、敏捷、灵巧）各10点	完成主线任务可以获得	江翻海沸诀要	
3714	AddAttributeItemHelp	增加4项潜能（体质、力量、敏捷、灵巧）各5点	尊享特权礼包产出，也可通过摆摊购买	洗髓经（上）	
3715	AddAttributeItemHelp	增加4项潜能（体质、力量、敏捷、灵巧）各5点	尊享特权礼包产出，也可通过摆摊购买	洗髓经（中）	
3716	AddAttributeItemHelp	增加4项潜能（体质、力量、敏捷、灵巧）各5点	尊享特权礼包产出，也可通过摆摊购买	洗髓经（下）	
2877	AddAttributeItemHelp	增加4项潜能（体质、力量、敏捷、灵巧）各1点	商城福缘宝箱产出，最多服用2000个	彩云追月	
4579	AddSkillMaxLevel	提升技能等级上限1级	通过门派信物兑换	提高技能上限1	OpenLevel119
4580	AddSkillMaxLevel	提升技能等级上限1级	通过门派信物兑换	提高技能上限2	OpenLevel119
4581	AddSkillMaxLevel	提升技能等级上限1级	通过门派信物兑换	提高技能上限3	OpenLevel119
4582	AddSkillMaxLevel	提升技能等级上限1级	通过门派信物兑换	提高技能上限4	OpenLevel119
