SkillId		MagicDesc
201	天王锤法	对目标造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_metaldamage_v1[-]点金系伤害
206	野蛮冲撞	对砸中的目标，造成 [00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_metaldamage_v1[-]点金系伤害，附带[00ff00]state_fixed_attack2/15[-]秒的定身效果
213	金钟罩	增加[00ff00]all_series_resist_v1[-]点全系抗性、[00ff00]all_series_resist_p1%[-]基础全系抗性与抗属性效果几率[00ff00]resist_allseriesstate_rate_v1[-]点，同时每隔[00ff00]recover_life_v2/15[-]秒，回复[00ff00]recover_life_v1[-]点当前生命，持续[00ff00]skill_statetime1/15[-]秒
210	血战八方	对击中的目标，造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_metaldamage_v1[-]点金系伤害
209	天王战意	永久提升[00ff00]lifemax_p1%[-]基础生命上限，[00ff00]physics_potentialdamage_p1%[-]基础攻击力与[00ff00]state_zhican_resistrate1[-]点抗致缠几率
208	霸王怒吼	对周围命中的目标，造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_metaldamage_v1[-]点金系伤害
224	一骑当千	周围每多一个敌人，自动提升[00ff00]all_series_resist_p1%[-]基础全系抗性，最多叠加[00ff00]add_mult_proc_sate12[-]倍
229	锤法进阶	提升[天王锤法][00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_metaldamage_v1[-]点金系伤害
240	惊雷破天	普通攻击每次命中获得[00ff00]physics_potentialdamage_p1%[-]基础攻击力加成，最多叠加[00ff00]superposemagic1[-]倍
218	破釜沉舟	有[00ff00]userdesc_1011%[-]几率触发无敌与每[00ff00]recover_life_p2/15[-]秒回复生命[00ff00]recover_life_p1[-]%，持续[00ff00]skill_statetime1/15[-]秒，触发间隔[00ff00]userdesc_1021/15[-]秒
242	天王本生	永久提升[00ff00]lifemax_p1%[-]基础生命上限、[00ff00]physics_potentialdamage_p1%[-]基础攻击力、[00ff00]attackspeed_v1[-]点攻击速度与[00ff00]state_hurt_attackrate1[-]点受伤几率
216	野蛮冲撞	提高[00ff00]attackspeed_v1[-]点攻击速度，[00ff00]deadlystrike_p1%[-]基础会心几率，[00ff00]deadlystrike_v1[-]点会心一击，持续[00ff00]skill_statetime1/15[-]秒
222	血战八方	提高[00ff00]userdesc_1011%[-]基础攻击 + [00ff00]userdesc_1021[-]点金系伤害
220	霸王怒吼	化解伤害[00ff00]defuse_damage1[-]点，不超过原伤害[00ff00]defuse_damage2%[-]；最高叠加[00ff00]superposemagic1[-]层，持续[00ff00]skill_statetime1/15[-]秒
243	中级·血战八方	提高[00ff00]userdesc_1011%[-]基础攻击 + [00ff00]userdesc_1021[-]点金系伤害。提升该技能[00ff00]userdesc_1032%[-]基础忽闪、[00ff00]userdesc_1042[-]点会心一击
244	中级·霸王怒吼	提高[00ff00]userdesc_1012[-]%基础攻击。化解伤害[00ff00]defuse_damage1[-]点，不超过原伤害[00ff00]defuse_damage2%[-]；最高叠加[00ff00]superposemagic1[-]层，持续[00ff00]skill_statetime1/15[-]秒
