StateEffectId	StateName	EffectResID1	SlotID1	EffectResID2	SlotID2	HeadResID	Alpha	ChangeSize	ChangeSizeSpeed	RunActID	HeadWord	MagicDesc	Icon	IconAtlas	NotShowTime	HideBody	HideHead
114	钢之铠甲	114															
195	首领光环	9031															
197	精英光环	197															
198	篝火	198															
199	修炼珠											打怪经验：[00ff00]%s[-]倍\n剩余经验：[00ff00]%s[-]	BUFF_xiulianzhu	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
213	金钟罩	9076										全系抗性+[00ff00]all_series_resist_v1[-]点\n基础全系抗性+[00ff00]all_series_resist_p1%[-]\n抗属性效果几率+[00ff00]resist_allseriesstate_rate_v1[-]\n生命回复+[00ff00]recover_life_v1[-]	TianwangSkill_03_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
217	秘籍：野蛮冲撞											攻击速度+[00ff00]attackspeed_v1[-]\n基础会心几率+[00ff00]deadlystrike_p1%[-]\n会心一击+[00ff00]deadlystrike_v1[-]	Tianwang_bd02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
221	秘籍：霸王怒吼											化解伤害+[00ff00]defuse_damage1[-]点	Tianwang_bd04_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
219	破釜沉舟	2416										无敌与每[00ff00]recover_life_p2/15[-]秒回复[00ff00]recover_life_p1%[-]生命	Tianwang_bd03_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
225	一骑当千											基础全系抗性+[00ff00]all_series_resist_p1%[-]	Tianwang_bd07_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
241	惊雷破天											基础攻击力+[00ff00]physics_potentialdamage_p1%[-]	Tianwang_bd08_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
246	气盖八荒											生命上限+[00ff00]lifemax_v1[-]点	Tianwang_bd09_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
247	气盖八荒											生命上限+[00ff00]lifemax_v1[-]点	Tianwang_bd09_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
254	秘籍：金钟罩											全系抗性+[00ff00]all_series_resist_v1[-]点\n基础全系抗性+[00ff00]all_series_resist_p1%[-]	TianwangSkill_03_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
270	金刚伏魔	3270						120	5			免疫异常状态\n化解伤害+[00ff00]defuse_damage1[-]点	ShaolinSkill_04_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
273	罗汉阵	273															
279	立地成佛											基础全系抗性+[00ff00]all_series_resist_p1%[-]	Shaolin_bd04_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
281	金刚怒目	3281										基础全系抗性+[00ff00]all_series_resist_p1%[-]\n金刚怒目的基础攻击+[00ff00]add_usebasedmg_p12%[-]	Shaolin_bd05_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
295	秘籍：金刚伏魔											化解伤害+[00ff00]defuse_damage1[-]点\n生命回复+[00ff00]recover_life_v1[-]	Sl_mj03_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
307	慈航普度	3306															
316	秘籍：慈航普渡											免疫属性状态	Em_mj02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
318	绵里藏针											每[00ff00]recover_life_p2/15[-]秒回复[00ff00]recover_life_p1%[-]生命	Emei_bd06_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
328	秘籍：天舞宝轮											全系抗性+[00ff00]all_series_resist_v1[-]	Emei_bd06_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
329	秘籍：天舞宝轮																
330	秘籍：天舞宝轮											清除并免疫属性效果与负面效果	Emei_bd06_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
331	秘籍：天舞宝轮											基础移动速度+[00ff00]runspeed_p1%[-]	Emei_bd06_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
377	秘籍：天舞宝轮											来自峨眉的负面效果：基础闪避减少[00ff00]defense_p1%[-]	Emei_bd06_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
380	秘籍：慈航普渡											免疫属性状态与回复生命	Em_mj02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
341	佛心慈佑											抗属性效果几率+[00ff00]resist_allseriesstate_rate_v1[-]\n抗属性效果时间+[00ff00]resist_allseriesstate_time_v1[-]\n抗负面效果几率+[00ff00]resist_allspecialstate_rate_v1[-]\n抗负面效果时间+[00ff00]resist_allspecialstate_time_v1[-]	Emei_bd02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
342	佛心慈佑											抗属性效果几率+[00ff00]resist_allseriesstate_rate_v1[-]\n抗属性效果时间+[00ff00]resist_allseriesstate_time_v1[-]\n抗负面效果几率+[00ff00]resist_allspecialstate_rate_v1[-]\n抗负面效果时间+[00ff00]resist_allspecialstate_time_v1[-]	Emei_bd02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
406	火凤燎原	406										移动速度+[00ff00]runspeed_v1[-]\n攻速+[00ff00]attackspeed_v1[-]\n基础闪避+[00ff00]defense_p1%[-]	TaohuaSkill_02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
414	秘籍：火凤燎原											免疫属性与负面效果	Taohua_bd02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
426	浴火重生											每[00ff00]recover_life_p2/15[-]秒回复[00ff00]recover_life_p1%[-]生命	Taohua_bd07_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
459	秘籍：火凤燎原											免疫属性与负面效果\n闪避+[00ff00]defense_v1[-]点	Taohua_bd02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
523	三元归一	523										基础攻击力+[00ff00]physics_potentialdamage_p1%[-]	Xiaoyao_bd07_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
542	逍遥御风	2888										基础闪避值+[00ff00]defense_p1%[-]\n基础攻击力+[00ff00]physics_potentialdamage_p1%[-]\n攻击速度+[00ff00]attackspeed_v1[-]\n基础会心几率+[00ff00]deadlystrike_p1%[-]\n移动速度+[00ff00]runspeed_v1[-]	Xiaoyao_bd02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
527	寰宇逍遥游	527															
562	悲酥清风											基础全系抗性+[00ff00]all_series_resist_p1%[-]\n基础攻击力+[00ff00]physics_potentialdamage_p1%[-]	Xiaoyao_bd08_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
613	坐忘无我											总抵御伤害点数：%s	WudangSkill_04_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
618	太一真气	2849										清除并免疫属性效果	Wudang_bd02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
645	真武七截											基础攻击力+[00ff00]physics_potentialdamage_p1%[-]	Wudang_bd04_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
646	真武七截											基础攻击力+[00ff00]physics_potentialdamage_p1%[-]	Wudang_bd04_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
706	魔焰在天	706										攻击6次后消失	TianrenSkill_02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
707	魔焰在天	6707										来自天忍的负面状态：基础移动速度[00ff00]减少runspeed_p1%[-]	TianrenSkill_02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
711	血月之影									31		隐身状态：\n移动速度+[00ff00]runspeed_v1[-]\n\n下一次普攻连招：\n攻速+[00ff00]attackspeed_v1[-]\n忽略闪避+[00ff00]ignore_defense_v1[-]\n会心一击+[00ff00]deadlystrike_v1[-]	TianrenSkill_04_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
737	圣火焚心	970										移动速度+[00ff00]runspeed_v1[-]\n闪避+[00ff00]defense_p1%[-]\n基础攻击力+[00ff00]physics_potentialdamage_p1%[-]\n基础会心几率+[00ff00]deadlystrike_p1%[-]	Tianren_bd06_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
743	魔焰七杀											来自天忍的负面状态：基础全系抗性[00ff00]减少all_series_resist_p1%[-]	Tianren_bd02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
744	魔焰七杀											闪避+[00ff00]defense_v1[-]点	Tianren_bd02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
752	秘籍：魔焰在天											来自天忍的负面状态：闪避减少[00ff00]defense_v1[-]点	TianrenSkill_02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
757	秘籍：血月之影											基础闪避+[00ff00]defense_p1%[-]	TianrenSkill_04_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
758	秘籍：血月之影											免疫属性效果	TianrenSkill_04_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
764	秘籍：魔焰在天											来自天忍的负面状态：\n闪避减少[00ff00]defense_v1[-]点\n基础全系抗性[00ff00]减少all_series_resist_p1%[-]	TianrenSkill_02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
