nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	Target_Achievement	Target_KillNpc	bNotAutoNext	bKillNpcToAllPlayer	bAutoFinish	Target_ExtPoint	szAwardInfo	nTaskType	bShowFinish	nNeedConfirmFinish	Target_ExtInfo	szOnFinishTrack	nAcceptTaskNpcId	Target_CollectItem	Target_MinLevel	Require_MinLevel	Require_MaxLevel	bCanRepeat	nAcceptDialogId	IsFinishGuide	Target_ExpPoint	Target_EnterMap
3001	PedagogicalTask1_2	[支]鑒定	裝備開始都是[FFFE0D]未鑒定狀態[-]，需要[FFFE0D]花費一定銀兩[-]進行鑒定，才能夠穿戴！也許下一件就是極品裝備哦！	鑒定一件[FFFE0D]裝備[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, ItemBox]	[url=npc:testtt,$F,10]		3002						1		1		Exp|10000	2			JianDing											
3002	PedagogicalTask1_3	[支]洗鍊	洗鍊能夠將[FFFE0D]同部位裝備[-]的[FFFE0D]強力屬性轉移[-]到[FFFE0D]穿戴的裝備[-]上，大幅度提升裝備的能力！	給裝備洗鍊一條[FFFE0D]屬性[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, ItemBox]	[url=npc:testtt,$F,10]	3001		3002	626		EquipRefinement|1		1				Exp|10000;Gold|50	2	1	1												
3004	PedagogicalTask1_4	[支]幫派	如今江湖紛亂，俠士若是沒有幫派可是寸步難行哦，若是[FFFE0D] 不打算創建幫派 [-]或是[FFFE0D] 沒有心儀的幫派 [-]，不妨試試[FFFE0D] 一鍵申請 [-]哦！	[FFFE0D]加入或創建[-]一個幫派	[FFFE0D]加入或創建[-]一個幫派	[url=openwnd:test, KinJoinPanel, 1]	[url=npc:testtt,$F,10]		3005				Family|1		1		1		Exp|20000	2														
3005	PedagogicalTask1_5	[支]幫派捐獻	幫派最重要的除了兄弟姐妹之間的情誼，就是幫派[FFFE0D] 貢獻 [-]了，[FFFE0D] 貢獻 [-]可以在幫派[FFFE0D] 天工坊、兵甲坊 [-]等等建築購買所需的物資，而捐獻則是性價比最高的貢獻獲取途徑之一！快來試試捐獻吧！	打開[FFFE0D]金庫[-]進行一次[FFFE0D]捐獻[-]	打開[FFFE0D]金庫[-]進行一次[FFFE0D]捐獻[-]	[url=openwnd:test, KinVaultPanel, "FamilyBuilding", 1]	[url=npc:testtt,$F,10]	3004	3006				FamilyContribute|1		1		1		Exp|10000	2														
3006	PedagogicalTask1_6	[支]幫派禮盒	通過參與[FFFE0D] 幫派活動 [-]以及進行[FFFE0D] 幫派捐獻 [-]都能夠獲得[FFFE0D] 貢獻 [-]，每天有若干次在[FFFE0D] 金庫 [-]購買[FFFE0D] 幫派禮盒 [-]的機會，獎勵非常豐富！千萬不要忘記哦！	打開[FFFE0D]金庫[-]兌換一個[FFFE0D]禮盒[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, KinVaultPanel, "FamilyBuilding", 1]	[url=npc:testtt,$F,10]	3005		3006	627		Family|3		1				Exp|10000;Item|212|10	2	1	1												
3007	PedagogicalTask1_7	[支]幫派烤火	每日晚上的[FFFE0D] 19：15 [-]將會在幫派開啟烤火！只要來參與的幫派成員都將獲得[FFFE0D] 經驗獎勵 [-]哦！烤火期間更有[FFFE0D] 趣味答題 [-]，可以獲得很多獎勵哦！	參與一次[FFFE0D]幫派烤火[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CalendarPanel, 1, 18]	[url=npc:testtt,$F,10]			3007	627		Family|5		1				Exp|80000;Gold|50	2	1	1												
3008	PedagogicalTask1_8	[支]瞭解強化	俠士若想名揚江湖，那麼提升裝備的屬性就變得異常重要！俠士玩家只需花費一定數量的[FFFE0D]水晶和銀兩[-]就能夠提升裝備的能力，神器在手問鼎江湖指日可待！	找[FFFE0D]$NF[-]瞭解強化	找[FFFE0D]$NF[-]瞭解強化	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]		3009	3008	626				1				Item|212|1	2	1													
3009	PedagogicalTask1_9	[支]強化	俠士若想名揚江湖，那麼提升裝備的屬性就變得異常重要！俠士玩家只需花費一定數量的[FFFE0D]水晶和銀兩[-]就能夠提升裝備的能力，神器在手問鼎江湖指日可待！	強化一次[FFFE0D]裝備[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, StrengthenPanel, "Strengthen"]	[url=npc:testtt,$F,10]	3008		3009	626		EnhanceOnce|1		1				Exp|40000;Item|212|10	2	1	1												
3010	PedagogicalTask1_10	[支]山賊秘窟	討伐無惡不作的[FFFE0D]山賊[-]，維護武林秩序，既簡單又輕鬆，是不可錯過的活動哦！	參與一次[FFFE0D]山賊秘窟[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CalendarPanel, 1, 21]	[url=npc:testtt,$F,10]			3010	97				1				Exp|40000;Contrib|500	2	1	1	ShanZeiMiKu											
3011	PedagogicalTask1_11	[支]商城	商城乃是天下寶物的聚集地，其中的東西只能夠通過元寶購買，快去看看有沒有什麼需要的東西吧！	前往商城購買[FFFE0D]任意物品[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CommonShop, Treasure, 1, 1242]	[url=npc:testtt,$F,10]			3011	632				1				Exp|40000;Gold|50	2	1	1	ShangCheng											
3012	PedagogicalTask1_12	[支]組隊秘境	與武林中志同道合的俠士[FFFE0D] 結成隊伍 [-]，一同挑戰強大的敵人，更有機會獲得[FFFE0D] 豐厚的獎勵 [-]。	參與一次[FFFE0D]組隊秘境[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, TeamFubenPanel]	[url=npc:testtt,$F,10]			3012	629		TeamFuben|1		1				Exp|40000;Coin|5000	2	1	1												
3013	PedagogicalTask1_13	[支]武神殿	[FFFE0D]攜帶四名同伴[-]進行戰鬥，通過挑戰榜單上的其他俠士來提升自己的排名，[FFFE0D]排名[-]越高獎勵越高！	進行一次武神殿[FFFE0D]挑戰[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, RankPanel, 1, 9]	[url=npc:testtt,$F,10]			3013	633		RankBattle|1		1				Exp|40000;Item|212|10	2	1	1												
3014	PedagogicalTask1_14	[支]元寶招募	要拜訪一些隱士的俠客，需要不少的盤纏，通過元寶可以招募到一些隱世的武林高手出山，幫助你征戰江湖！	進行一次[FFFE0D]元寶招募[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, Partner, "CardPickingPanel"]	[url=npc:testtt,$F,10]		3015						1		1		Exp|20000;Item|1969|1	2			YuanBaoZhaoMu											
3015	PedagogicalTask1_15	[支]提升資質	同伴的資質可以通過服用丹藥提升，提升資質將提升同伴的基礎屬性，而且會將服用丹藥前的基礎屬性都補回哦！	同伴提升一次[FFFE0D]資質[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, Partner]	[url=npc:testtt,$F,10]	3014		3015	622				1				Exp|20000;Item|1968|1	2	1	1	TiShengZiZhi											
3016	PedagogicalTask1_16	[支]同伴技能	同伴乃是行走江湖的好幫手，他們也能夠修習一些武功招式，只需要將對應的同伴技能書學習即可，每本技能書只能給[FFFE0D]一位同伴[-]學習，學習後同伴技能書將消失。	找[FFFE0D]$NF[-]瞭解同伴	找[FFFE0D]$NF[-]瞭解同伴	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]			3016	622				1				Item|1971|1	2	1	1												
3017	PedagogicalTask1_17	[支]同伴技能書	同伴乃是行走江湖的好幫手，他們也能夠修習一些武功招式，只需要將對應的同伴技能書學習即可，每本技能書只能給[FFFE0D]一位同伴[-]學習，學習後同伴技能書將消失。	給同伴學習一本[FFFE0D]技能書[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, Partner, "PartnerMainPanel", "PId=0;EP=LearnSkill;"]	[url=npc:testtt,$F,10]			3017	622				1				Exp|20000;Gold|50	2	1	1	TongBanDaShu											
3018	PedagogicalTask1_18	[支]頭銜	「頭銜」是江湖俠士能力的綜合評判標準，除了拉風的名前標識，還能獲得強大的屬性！武林中那些人人敬仰的大俠，均是先從獲得一個「頭銜」開始的！去獲取屬於自己的頭銜吧！	獲得一個[FFFE0D]頭銜[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, HonorLevelPanel, 1]	[url=npc:testtt,$F,10]			3018	88		HonorLevel|1		1				Exp|40000	2	1	1												
3019	PedagogicalTask1_19	[支]寶藏探索	武林中有許多不為人知的寶藏，在闖蕩江湖的過程中可能會遇見意外驚喜哦！	進行一次[FFFE0D]寶藏探索[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CalendarPanel, 1, 8]	[url=npc:testtt,$F,10]			3019	625		SearchFuben|1		1				Exp|40000;Item|212|10	2	1	1												
3020	PedagogicalTask1_20	[支]江湖試煉	江湖中有許多武功高強之人，通過他們的試練，才能夠名揚天下！去挑戰他們吧！	參加[FFFE0D]江湖試煉[-]直到試煉結束	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CalendarPanel, 1, 31]	[url=npc:testtt,$F,10]			3020	99				1					2	1	1	JiangHuTrain											
3021	PedagogicalTask1_21	[支]瞭解鑲嵌	江湖中武林人士的內力所化，能夠與某些特定部位的裝備產生共鳴，故而只能夠鑲嵌在[FFFE0D]指定位置的裝備[-]上，從而提升屬性，千萬別忘記鑲嵌魂石！	找[FFFE0D]$NF[-]瞭解鑲嵌	向[FFFE0D]$NF[-]彙報情況	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]			3021	626				1				Item|1720|1	2	1	1												
3022	PedagogicalTask1_22	[支]鑲嵌	江湖中武林人士的內力所化，能夠與某些特定部位的裝備產生共鳴，故而只能夠鑲嵌在[FFFE0D]指定位置的裝備[-]上，從而提升屬性，千萬別忘記鑲嵌魂石！	鑲嵌一顆[FFFE0D]魂石[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, StrengthenPanel, "Inset"]	[url=npc:testtt,$F,10]			3022	626		InsetOnce|1		1				Exp|40000;Item|2154|1	2	1	1												
3023	PedagogicalTask1_23	[支]武林盟主	每日午間[FFFE0D] 12：30-13：00 [-]和夜間[FFFE0D] 19：30-20：00 [-]，「武林盟主」獨孤劍將現身與諸多江湖俠士切磋，挑戰不僅能獲得[FFFE0D] 貢獻 [-]，還有稀有[FFFE0D] 衣服 [-]哦，快去參與吧！	參與一次[FFFE0D]武林盟主[-]	向[FFFE0D]$NF[-]彙報情況	[url=openwnd:test, CalendarPanel, 1, 1]	[url=npc:testtt,$F,10]			3023	88		BossChallenge|1		1				Exp|80000;Coin|5000	2	1	1												
