Name	Path	IsPreLoad	Layer	Desc	BlackBg	AutoHideInFightMode	IsStay	OpenSound	CloseSound	OpenAni	CloseAni	BackBtnClose
Login	UI/Prefabs/Login/Login_v1.prefab		LAYER_NORMAL	登录								
LoginBg	UI/Prefabs/Login/Login_Bg.prefab		LAYER_NORMAL	登录背景	1							
SituationalDialogue	UI/Prefabs/SituationalDialogue.prefab		LAYER_NORMAL	剧情对话						SituationalDialogueOpen		
MessageBox	UI/Prefabs/Tips&notice/MessageBox.prefab		LAYER_POPUP	通用弹窗				8002	8003	NormalOpen		
Commander	UI/Prefabs/Debug/Commander.prefab		LAYER_DEBUG	姬爱母界面								
HomeScreenTask	UI/Prefabs/HomeScreen/HomeScreenTask.prefab		LAYER_HOME	主界面-任务								
HomeScreenBattle	UI/Prefabs/HomeScreen/HomeScreenBattle.prefab		LAYER_HOME	主界面-技能			1					
HomeScreenExpBar	UI/Prefabs/HomeScreen/HomeScreenExpBar.prefab		LAYER_HOME	主界面-经验								
Task	UI/Prefabs/Task/NewTask.prefab		LAYER_NORMAL	任务	1			8002	8003	NormalOpen	NormalClose	1
PkMode	UI/Prefabs/HomeScreen/Modewidget.prefab		LAYER_HOME	PK模式								
PkModeGuide	UI/Prefabs/HomeScreen/ModeWidgetGuide.prefab		LAYER_GUIDE	PK模式导引								
TeamRequestQueue	UI/Prefabs/Team/TeamRequestQueue.prefab		LAYER_NORMAL	队伍申请列表						NormalOpen		
RoleHead	UI/Prefabs/Role/RoleHead.prefab		LAYER_HOME	角色头像								
ChatLargePanel	UI/Prefabs/ChatNew/ChatLargePanel.prefab		LAYER_NORMAL	聊天详细								
ChatRightPopup	UI/Prefabs/ChatNew/ChatRightPopup.prefab		LAYER_POPUP	聊天互动表情								
CopyTipPanel	UI/Prefabs/ChatNew/CopyTipPanel.prefab		LAYER_NORMAL	复制								
ChatSmall	UI/Prefabs/Chat/ChatSmall.prefab		LAYER_HOME	主界面-聊天								
FakeJoyStick	UI/Prefabs/FakeJoyStick.prefab		LAYER_HOME	假摇杆界面								
HomeScreenFuben	UI/Prefabs/Fuben/HomeScreenFuben.prefab		LAYER_HOME	战斗主界面-副本信息								
PersonalFubenEntrance	UI/Prefabs/Fuben/FubenEntrance.prefab		LAYER_NORMAL	普通关卡主界面	1					NormalOpen	NormalClose	
PersonalFubenSucces	UI/Prefabs/Fuben/PersonalFubenSuccesPanel.prefab		LAYER_NORMAL	关卡-战斗胜利	1							
PersonalFubenFail	UI/Prefabs/Fuben/PersonalFubenFail.prefab		LAYER_NORMAL	关卡-战斗失败	1					NormalOpen	NormalClose	
PersonalFubenDeath	UI/Prefabs/Fuben/DeathInformationPopup.prefab		LAYER_NORMAL	关卡-死亡弹窗	1					NormalOpen	NormalClose	
GetPosition	UI/Prefabs/GetPosition.prefab		LAYER_DEBUG									
GetNotice	UI/Prefabs/Tips&notice/GetNotice.prefab		LAYER_INFO									
ItemBox	UI/Prefabs/Role&BagPannle.prefab		LAYER_NORMAL	背包	1			8002	8003	NormalOpen	NormalClose	1
TaskNotice	UI/Prefabs/Tips&notice/TaskNotice.prefab		LAYER_INFO									
SystemNotice	UI/Prefabs/Tips&notice/SystemNotice.prefab		LAYER_INFO				1					
LoadingTips	UI/Prefabs/Tips&notice/LoadingTips.prefab		LAYER_LOADING				1					
TopButton	UI/Prefabs/HomeScreen/HomeScreenTopButton.prefab		LAYER_HOME	主界面-功能按钮集			1					
NpcStrip	UI/Prefabs/NPCstrip.prefab		LAYER_INFO									
LogMsg	UI/Prefabs/Debug/LogMsg.prefab		LAYER_DEBUG									
SkillPanel	UI/Prefabs/Skill/SkillPanel.prefab		LAYER_NORMAL	技能主界面	1			8002	8003	NormalOpen	NormalClose	1
EquipTips	UI/Prefabs/Tips&notice/equipmengttipspanle.prefab		LAYER_POPUP	装备信息界面						NormalOpen		1
SkillCheatsPanel	UI/Prefabs/Skill/SkillCheatsPanel.prefab		LAYER_POPUP	秘籍信息界面						NormalOpen		1
SkillCheatsComparePanel	UI/Prefabs/Skill/SkillCheatsPanel.prefab		LAYER_POPUP	秘籍信息对比界面						NormalOpen		1
CheatsOperationPanel	UI/Prefabs/Skill/CheatsPanel.prefab		LAYER_NORMAL	秘籍操作界面	1					NormalOpen		1
