nMonth	nVip	szType	nItemId	nCount	Desc
	1	Gold		100000	100000元宝
		Gold		100000	100000元宝
	2	Gold		100000	100000元宝
		Gold		100000	100000元宝
	3	Gold		100000	100000元宝
		Item	3179	1	SS级同伴挑选礼盒*1
	4	Gold		100000	100000元宝
		Gold		100000	100000元宝
	5	Gold		100000	100000元宝
		Gold		100000	100000元宝
	6	Gold		100000	100000元宝
		Item	6148	1	SSS级同伴任选礼盒*1
	7	Gold		100000	100000元宝
		Gold		100000	100000元宝
	8	Gold		100000	100000元宝
		Gold		100000	100000元宝
	9	Gold		100000	100000元宝
		Gold		100000	100000元宝
	9	Gold		100000	100000元宝
		Gold		100000	100000元宝
	10	Gold		100000	100000元宝
		Gold		100000	100000元宝
	10	Gold		100000	100000元宝
		Gold		100000	100000元宝
	11	Gold		100000	100000元宝
		Gold		100000	100000元宝
	11	Gold		100000	100000元宝
		Gold		100000	100000元宝
	12	Gold		100000	100000元宝
		Gold		100000	100000元宝
	12	Gold		100000	100000元宝
