ServerId	Normal	Battle	Baihu	TeamBattle	Indiffer	DaXueZhang	BiWuZhaoQin	WLDH	BLBoss
10001	1	2	2	2	2	2	2	2	2
10002	1	2	2	2	2	2	2	2	2
10003	1	2	2	2	2	2	2	2	2
10004	1	3	3	3	3	3	3	3	3
10005	1	3	3	3	3	3	3	3	3
10006	1	3	3	3	3	3	3	3	3
10007	1	3	3	3	3	3	3	3	3
10008	1	4	4	4	4	4	4	4	4
10009	1	4	4	4	4	4	4	4	4
10010	1	4	4	4	4	4	4	4	4
10011	1	4	4	4	4	4	4	4	4
10012	1	4	4	4	4	4	4	4	4
10013	1	4	4	4	4	4	4	4	4
10014	1	5	5	5	5	5	5	5	5
10015	1	5	5	5	5	5	5	5	5
10016	1	6	6	6	6	6	6	6	6
10017	1	6	6	6	6	6	6	6	6
10018	1	6	6	6	6	6	6	6	6
10019	1	6	6	6	6	6	6	6	6
10020	1	6	6	6	6	6	6	6	6
10021	1	7	7	7	7	7	7	7	7
10022	1	7	7	7	7	7	7	7	7
10023	1	8	8	8	8	8	8	8	8
10024	1	8	8	8	8	8	8	8	8
10025	1	1	1	1	1	1	1	1	1
