MapTID	PosX	PosY
1700	4936	7364
1700	5522	7394
1700	5939	7352
1700	6344	7098
1700	6979	7061
1700	7523	7110
1700	8158	7394
1700	8509	7188
1700	8442	6747
1700	7765	6711
1700	7934	5725
1700	8340	4903
1700	8243	6300
1700	8431	4503
1700	8350	4042
1700	7842	3926
1700	7466	4221
1700	6774	4365
1700	6156	4249
1700	6029	3926
1700	5654	3857
1700	5151	3845
1700	4770	4024
1700	4753	4313
1700	4811	4740
1700	4764	5087
1700	4776	5433
1700	4747	5791
1700	4782	6132
1700	4787	6438
1700	4787	6657
1700	4834	6975
1700	5099	7061
1700	5261	7067
1700	5532	6992
1700	5861	6900
1700	6144	6882
1700	6450	6796
1700	6785	6651
1700	7085	6709
1700	7178	6472
1700	7397	6582
1700	7507	6051
1700	7553	6322
1700	7345	5468
1700	7345	5803
1700	7467	4942
1700	7732	4752
1700	8027	4723
1700	8009	4452
1700	7824	4348
1700	7432	4504
1700	7120	4619
1700	6716	4688
1700	6191	4654
1700	5763	4538
1700	5561	4348
1700	5221	4261
1700	5076	4619
1700	5197	5133
1700	5122	5497
1700	5180	6132
1700	5238	6755
1700	5145	6571
1700	5192	5797
1700	5503	6594
1700	5925	6455
1700	6237	6507
1700	6652	6351
1700	6866	6357
1700	6895	6022
1700	6935	5670
1700	6803	5231
1700	6381	5202
1700	6133	5104
1700	5890	5104
1700	5550	5300
1700	5602	5751
1700	5602	6103
1700	6012	5999
1700	6323	5878
1700	6069	5676
1700	6370	5653
1700	6693	5693
1700	6612	5866
1700	5579	4850
1700	6930	4931
1700	7115	6143
1700	7192	5134
