Name	Type	SaveId	TakeLimit	BeginDay	EndDay	MinLevel	MaxLevel	MailTxt	Award1	Award2	Award3	Award4	Award5	Award6	Award7	Award8	Award9	Award10	Desc
	JX1	1	1					恭喜你在成功領取了禮包	Gold|50	Coin|5000	item|1345|5								
	JX2	2	1					恭喜你在成功領取了禮包	Gold|50	Coin|10000	item|212|10	item|1345|10							
	JX3	3	1					恭喜你在成功領取了禮包	Gold|100	item|212|20	item|1006|5	item|1345|20							
	JXS	4	1					恭喜你在成功領取了珍貴禮包	Gold|200	item|222|5	item|1006|10	item|1345|20							
	BG1	5	99					恭喜你在成功領取了BUG回饋獎勵禮包：100元寶	Gold|100										
	BG2	6	99					恭喜你在成功領取了BUG回饋獎勵禮包：500元寶	Gold|500										
	BG3	7	99					恭喜你在成功領取了BUG回饋獎勵禮包：2000元寶	Gold|2000										
情緣B禮包	QY2		16000	2016/9/23	2017/9/30			    尊敬的俠士，恭喜你成功領取了禮包！	Gold|200	item|786|5	item|785|5	item|2301|3	item|787|10						同一批禮包序號，同角色不可重複兌換。每組序號限領一次。
情緣C禮包	QY3		16000	2016/9/23	2017/9/30			    尊敬的俠士，恭喜你成功領取了禮包！	item|1929|2	item|1234|5	item|1235|5	item|1968|4							同一批禮包序號，同角色可重複兌換。每組序號限領一次。
入幫禮包	Family		10000	2016/9/8	2017/12/8			    尊敬的俠士，恭喜你成功領取了禮包！	Coin|5000	item|212|5	item|787|3								同一批禮包序號，同角色不可重複兌換。每組序號限領一次。
幫派禮包A	FamilyNum30		10000	2016/9/8	2017/12/8			    尊敬的俠士，恭喜你成功領取了禮包！	Coin|5000	Gold|100	item|212|10	item|1929|2							同一批禮包序號，同角色不可重複兌換。每組序號限領一次。
幫派禮包B	FamilyNum50		10000	2016/9/8	2017/12/8			    尊敬的俠士，恭喜你成功領取了禮包！	Gold|200	item|2167|1	item|2301|3	item|1412|4							同一批禮包序號，同角色不可重複兌換。每組序號限領一次。
區冠軍禮包	FamilyNumDC		5000	2016/9/8	2017/12/8			    尊敬的俠士，恭喜你成功領取了禮包！	Gold|100	item|786|3	item|785|2								同一批禮包序號，同角色不可重複兌換。每組序號限領一次。
