DialogNpc	FightNpc	PosX	PosY	Series
228	229	6799	4139	1
228	229	8409	7415	1
228	229	9014	7894	1
228	229	12110	4909	1
228	229	10996	5131	1
228	229	12023	8337	1
228	229	11919	7334	1
228	229	11420	5998	1
228	229	12245	3918	1
228	229	11931	3198	1
228	229	11045	3764	1
228	229	10392	4380	1
228	229	9943	5340	1
228	229	6878	5494	1
228	229	7869	6122	1
228	229	8227	8588	1
228	229	9938	7920	1
228	229	10629	7044	1
228	229	11151	8390	1
228	229	10130	8860	1
228	229	11070	9446	1
228	229	7989	3308	1
228	229	9161	4225	1
228	229	8807	5141	1
228	229	8772	6162	1
