szTimeFrame	nDay	nMinLevel
OpenLevel39	1	1
OpenLevel39	2	1
OpenLevel39	3	25
OpenLevel39	4	30
OpenLevel39	5	32
OpenLevel49	1	35
OpenLevel49	2	37
OpenLevel49	3	38
OpenLevel49	4	39
OpenLevel49	5	40
OpenLevel49	6	41
OpenLevel49	7	42
OpenLevel49	8	43
OpenLevel49	9	44
OpenLevel59	1	45
OpenLevel59	2	46
OpenLevel59	3	47
OpenLevel59	4	48
OpenLevel59	5	48
OpenLevel59	6	49
OpenLevel59	7	49
OpenLevel59	8	50
OpenLevel59	9	50
OpenLevel59	10	51
OpenLevel59	11	51
OpenLevel59	12	52
OpenLevel59	13	52
OpenLevel59	14	53
OpenLevel59	15	53
OpenLevel59	16	54
OpenLevel59	17	54
OpenLevel59	18	54
OpenLevel69	1	55
OpenLevel69	2	56
OpenLevel69	3	56
OpenLevel69	4	57
OpenLevel69	5	57
OpenLevel69	6	57
OpenLevel69	7	58
OpenLevel69	8	58
OpenLevel69	9	58
OpenLevel69	10	59
OpenLevel69	11	59
OpenLevel69	12	59
OpenLevel69	13	59
OpenLevel69	14	60
OpenLevel69	15	60
OpenLevel69	16	60
OpenLevel69	17	60
OpenLevel69	18	61
OpenLevel69	19	61
OpenLevel69	20	61
OpenLevel69	21	61
OpenLevel69	22	62
OpenLevel69	23	62
OpenLevel69	24	62
OpenLevel69	25	62
OpenLevel69	26	63
OpenLevel69	27	63
OpenLevel69	28	63
OpenLevel69	29	63
OpenLevel69	30	64
OpenLevel69	31	64
OpenLevel69	32	64
OpenLevel69	33	64
OpenLevel69	34	65
OpenLevel69	35	65
OpenLevel69	36	65
OpenLevel79	1	65
OpenLevel79	2	66
OpenLevel79	3	66
OpenLevel79	4	66
OpenLevel79	5	66
OpenLevel79	6	66
OpenLevel79	7	67
OpenLevel79	8	67
OpenLevel79	9	67
OpenLevel79	10	67
OpenLevel79	11	67
OpenLevel79	12	68
OpenLevel79	13	68
OpenLevel79	14	68
OpenLevel79	15	68
OpenLevel79	16	68
OpenLevel79	17	69
OpenLevel79	18	69
OpenLevel79	19	69
OpenLevel79	20	69
OpenLevel79	21	69
OpenLevel79	22	70
OpenLevel79	23	70
OpenLevel79	24	70
OpenLevel79	25	70
OpenLevel79	26	70
OpenLevel79	27	71
OpenLevel79	28	71
OpenLevel79	29	71
OpenLevel79	30	71
OpenLevel79	31	71
OpenLevel79	32	72
OpenLevel79	33	72
OpenLevel79	34	72
OpenLevel79	35	72
OpenLevel79	36	72
OpenLevel79	37	73
OpenLevel79	38	73
OpenLevel79	39	73
OpenLevel79	40	73
OpenLevel79	41	73
OpenLevel79	42	74
OpenLevel79	43	74
OpenLevel79	44	74
OpenLevel79	45	74
OpenLevel89	1	75
OpenLevel89	2	75
OpenLevel89	3	75
OpenLevel89	4	75
OpenLevel89	5	76
OpenLevel89	6	76
OpenLevel89	7	76
OpenLevel89	8	76
OpenLevel89	9	76
OpenLevel89	10	76
OpenLevel89	11	77
OpenLevel89	12	77
OpenLevel89	13	77
OpenLevel89	14	77
OpenLevel89	15	77
OpenLevel89	16	77
OpenLevel89	17	78
OpenLevel89	18	78
OpenLevel89	19	78
OpenLevel89	20	78
OpenLevel89	21	78
OpenLevel89	22	78
OpenLevel89	23	79
OpenLevel89	24	79
OpenLevel89	25	79
OpenLevel89	26	79
OpenLevel89	27	79
OpenLevel89	28	79
OpenLevel89	29	80
OpenLevel89	30	80
OpenLevel89	31	80
OpenLevel89	32	80
OpenLevel89	33	80
OpenLevel89	34	80
OpenLevel89	35	81
OpenLevel89	36	81
OpenLevel89	37	81
OpenLevel89	38	81
OpenLevel89	39	81
OpenLevel89	40	81
OpenLevel89	41	82
OpenLevel89	42	82
OpenLevel89	43	82
OpenLevel89	44	82
OpenLevel89	45	82
OpenLevel89	46	82
OpenLevel89	47	83
OpenLevel89	48	83
OpenLevel89	49	83
OpenLevel89	50	83
OpenLevel89	51	83
OpenLevel89	52	83
OpenLevel89	53	84
OpenLevel89	54	84
OpenLevel89	55	84
OpenLevel89	56	84
OpenLevel89	57	84
OpenLevel89	58	84
OpenLevel89	59	84
OpenLevel89	60	84
OpenLevel99	1	85
OpenLevel99	9	86
OpenLevel99	17	87
OpenLevel99	25	88
OpenLevel99	33	89
OpenLevel99	41	90
OpenLevel99	49	91
OpenLevel99	57	92
OpenLevel99	65	93
OpenLevel99	73	94
OpenLevel109	1	95
OpenLevel109	10	96
OpenLevel109	19	97
OpenLevel109	28	98
OpenLevel109	37	99
OpenLevel109	46	100
OpenLevel109	55	101
OpenLevel109	64	102
OpenLevel109	73	103
OpenLevel109	82	104
OpenLevel119	1	105
OpenLevel119	10	106
OpenLevel119	19	107
OpenLevel119	28	108
OpenLevel119	37	109
OpenLevel119	46	110
OpenLevel119	55	111
OpenLevel119	64	112
OpenLevel119	73	113
OpenLevel119	82	114
OpenLevel129	1	115
