MapID	PosX	PosY	Rate	NpcGroupID
403	4949	5509	1	1
403	9625	4937	1	1
403	8282	5417	1	1
403	12530	5799	1	1
403	14015	12288	1	1
403	6172	10970	1	1
403	12096	12289	1	1
403	11342	11631	1	1
403	8415	6544	1	1
403	6608	5803	1	1
403	5466	3861	1	1
403	4481	7626	1	1
403	5649	13227	1	1
403	8557	9133	1	1
403	13016	12239	1	1
403	8039	12130	1	1
403	7360	11362	1	1
403	8407	11216	1	1
403	7995	13107	1	1
403	10445	10994	1	1
403	9131	12968	1	1
403	10845	12796	1	1
403	12492	10846	1	1
403	9469	9951	1	1
403	7650	7650	1	1
403	6095	8594	1	1
403	5865	9506	1	1
403	5462	7295	1	1
403	3897	5207	1	1
403	12898	7759	1	1
403	13853	7562	1	1
403	11349	9283	1	1
403	12163	4260	1	1
403	13695	5476	1	1
403	4536	9740	1	1
403	5332	11959	1	1
403	6911	13438	1	1
403	9505	11382	1	1
403	10379	12110	1	1
403	11381	13544	1	1
404	5774	10421	1	1
404	7424	10337	1	1
404	5853	6933	1	1
404	4806	5881	1	1
404	13273	11317	1	1
404	12070	8892	1	1
404	12114	6780	1	1
404	5891	5000	1	1
404	8670	5830	1	1
404	9347	4735	1	1
404	10413	4875	1	1
404	11592	5667	1	1
404	7779	6643	1	1
404	6888	7343	1	1
404	5074	13792	1	1
404	5672	11522	1	1
404	6013	14077	1	1
404	4139	10279	1	1
404	4946	8372	1	1
404	9549	12637	1	1
404	11393	12630	1	1
404	11752	11518	1	1
404	7836	12311	1	1
404	9905	9977	1	1
404	10901	8389	1	1
404	12014	7824	1	1
404	13269	7688	1	1
404	13420	3528	1	1
404	8362	3866	1	1
404	7403	3353	1	1
404	6075	3903	1	1
404	11359	4025	1	1
404	12489	3860	1	1
404	5993	12682	1	1
404	8513	13381	1	1
404	10908	10402	1	1
404	9531	10966	1	1
404	6263	8206	1	1
404	4025	12166	1	1
404	8730	11614	1	1
405	11092	11694	1	1
405	9292	10872	1	1
405	4709	5868	1	1
405	6799	6034	1	1
405	3165	8637	1	1
405	4179	7849	1	1
405	5547	8240	1	1
405	9712	6754	1	1
405	12060	5079	1	1
405	10813	6229	1	1
