AwardID	Rank	Award	AwardRate	Rate	Desc
1	1	item|2693|4			玄天武機
1	2	item|2693|2			玄天武機
1	3	item|2693|1			玄天武機
2	1	item|2693|4			玄天武機
2	2	item|2693|2			玄天武機
2	3	item|2693|1			玄天武機
3	1	item|2693|4			玄天武機
3	2	item|2693|2			玄天武機
3	3	item|2693|1			玄天武機
4	1	item|2693|4			玄天武機
4	2	item|2693|2			玄天武機
4	3	item|2693|1			玄天武機
5	1	item|2694|4			白起
5	2	item|2694|2			白起
5	3	item|2694|1			白起
6	1	item|2694|4			白起
6	2	item|2694|2			白起
6	3	item|2694|1			白起
7	1	item|2694|4			白起
7	2	item|2694|2			白起
7	3	item|2694|1			白起
8	1	item|2694|4			白起
8	2	item|2694|2			白起
8	3	item|2694|1			白起
9	1	item|2695|4			李斯
9	2	item|2695|2			李斯
9	3	item|2695|1			李斯
10	1	item|2695|4			李斯
10	2	item|2695|2			李斯
10	3	item|2695|1			李斯
11	1	item|2695|4			李斯
11	2	item|2695|2			李斯
11	3	item|2695|1			李斯
12	1	item|2695|4			李斯
12	2	item|2695|2			李斯
12	3	item|2695|1			李斯
13	1	item|2693|4			玄天武機
13	2	item|2693|2			玄天武機
13	3	item|2693|1			玄天武機
14	1	item|2693|4			玄天武機
14	2	item|2693|2			玄天武機
14	3	item|2693|1			玄天武機
15	1	item|2694|4			白起
15	2	item|2694|2			白起
15	3	item|2694|1			白起
16	1	item|2694|4			白起
16	2	item|2694|2			白起
16	3	item|2694|1			白起
17	1	item|2695|4			李斯
17	2	item|2695|2			李斯
17	3	item|2695|1			李斯
18	1	item|2695|4			李斯
18	2	item|2695|2			李斯
18	3	item|2695|1			李斯
19	1	item|2693|4			玄天武機
19	2	item|2693|2			玄天武機
19	3	item|2693|1			玄天武機
20	1	item|2694|4			白起
20	2	item|2694|2			白起
20	3	item|2694|1			白起
21	1	item|2695|4			李斯
21	2	item|2695|2			李斯
21	3	item|2695|1			李斯
