nTemplateId	nX	nY	nYaw
4105	2604	6706	270
4200	4578	14896	0
4225	2856	6986	0
4168	3388	6020	0
4216	3766	17122	0
4130	2282	6202	0
4171	3416	5908	0
4241	3402	6286	0
4170	3934	5250	0
4216	5726	15638	0
4130	2562	6202	0
4185	3248	4928	0
4241	3402	6818	0
4080	4550	7126	0
4216	5306	15638	0
4130	2310	6818	0
4180	3668	7224	270
4181	4578	7224	270
4210	4494	17066	270
4130	2618	6818	0
4178	5544	5376	0
4222	4130	7070	270
4210	4998	17066	270
4237	2436	6496	0
4168	1988	6272	0
4171	4536	6244	0
4238	1540	6202	0
4210	5110	17206	0
4168	1960	6720	0
4077	2674	5782	0
4171	4564	6776	0
4168	1848	5852	270
4210	5138	17682	0
4072	2674	5586	0
4170	2002	5334	0
4147	2968	4942	270
4241	2534	7406	270
4226	3892	19292	270
4115	2660	5908	0
4238	3780	6510	0
4226	3640	7112	270
4230	1624	7252	270
4210	5138	18494	0
4178	4732	6132	0
4178	4732	6944	0
4189	5544	4676	0
4164	2856	6832	0
4210	5138	18886	0
4176	4144	7224	270
4155	5180	5012	0
4164	5404	4732	0
4164	2856	6188	0
4210	5894	17486	0
4155	4284	4928	270
4145	4270	4886	270
4164	5404	5320	0
4223	1694	7126	270
4210	5894	17234	0
4228	4004	5180	270
4239	3976	5096	270
4176	5544	4984	0
4229	5152	4648	270
4210	6118	17066	270
4171	3948	4676	0
4170	4578	5250	0
4169	4634	6118	0
4167	4074	5726	0
4230	6048	15092	0
4168	3920	4788	0
4125	4550	4830	0
4062	5222	5026	0
4210	3402	17822	270
4230	4816	14980	0
4125	4550	4970	0
4146	4256	6524	0
4077	5390	5474	270
4210	3654	17822	270
4230	6048	14700	0
4230	1988	6496	0
4150	2730	7770	0
4082	5180	5460	0
4198	3234	17318	0
4230	4844	14588	0
4215	4368	19572	270
4211	3556	21392	270
4092	4984	5460	270
4198	3430	18802	0
4214	5054	15302	270
4210	4494	18998	270
4210	4746	18998	270
4189	4480	7224	270
4214	3850	17822	180
4214	5950	15358	90
4210	4998	18998	270
4210	4466	18326	270
4169	4634	6874	0
4214	3878	18354	0
4210	4382	18830	0
4210	4382	17206	0
4214	4718	18326	0
4140	4368	6678	270
4200	5838	16016	0
4210	3794	18746	0
4214	4690	17822	180
4214	5166	18326	0
4140	4088	6706	270
4217	3234	17822	0
4216	3794	18914	0
4214	5166	17822	180
4213	6062	16058	0
4140	4088	6286	90
4217	3262	18354	0
4197	6258	15680	270
4213	6230	16058	0
4213	4998	16086	0
4140	4368	6286	90
4210	3430	18354	270
4200	6104	17318	270
4213	4858	16086	0
4200	6370	14952	0
4145	2982	5166	270
4210	3682	18354	270
4200	4732	18438	270
4210	6118	18998	270
4213	5138	17458	0
4225	2856	6034	0
4210	4466	17822	270
4200	3304	17654	270
4213	5138	18690	0
4213	4382	18662	0
4146	2212	7700	270
4210	4970	17822	270
4200	3388	18494	270
4213	4354	17458	0
4210	6090	16198	270
4230	1624	5824	270
4210	4970	18326	270
4200	3304	17010	270
4198	6146	16730	0
4214	5502	20594	90
4178	3248	5236	0
4216	5922	17066	0
4212	5278	16450	0
4211	3752	21392	270
4195	4956	21532	270
4190	3248	4648	0
4216	5922	18942	0
4212	5810	16422	0
4245	4634	5978	0
4140	3948	5474	270
4230	2688	5236	0
4217	5894	18522	0
4212	4998	17682	0
4173	4032	5488	0
4220	6160	19236	0
4165	2058	8414	0
4217	5894	17654	0
4212	4410	17682	0
4210	4746	17066	270
4244	4634	7014	0
4165	2590	8414	0
4214	4270	17794	180
4212	4466	18438	0
4140	2898	8064	0
4110	2198	5138	270
4228	1848	7588	270
4214	4270	18354	0
4212	5026	18466	0
4140	2184	4942	90
4153	2240	4928	0
4236	2744	8400	0
4205	4186	16618	270
4200	4704	17682	270
4173	1988	4956	0
4173	1988	4900	0
4175	2352	8512	270
4203	4466	16618	270
4200	6104	18830	270
4173	1988	4844	0
4140	5894	15092	0
4187	2996	7854	0
4202	3962	16646	270
4210	5894	18746	0
4140	5894	14952	0
4140	5894	14812	0
4168	1960	8428	270
4210	5306	16058	0
4169	5978	14714	0
4140	5082	15176	180
4140	5082	15036	180
4178	2072	8512	270
4210	5306	15806	0
4190	5040	5572	270
4140	5082	14896	180
4140	5082	14756	180
4178	2632	8512	270
4210	5726	16058	0
4212	5950	15470	0
4192	5712	14546	270
4192	5292	14546	270
4076	2898	8330	0
4210	5726	15806	0
4212	5082	15442	270
4208	4816	15708	0
4208	4732	15708	0
