Kind	KeyID	UiGroupID	Desc
Chat	1	1	大家好！
Angry	2	1	我火大！
PkExcercise	3	1	切磋一下
QuickTeamUp	4	1	快速組隊
Prison	5	1	通緝
RedBag	6	1	紅包
HonorLevel	7	1	頭銜
Title	8	1	稱號
Partner	9	1	協伴同行
Friend	10	2	好友
FriendFamiliar	11	2	肝膽相照
Foe	12	2	仇人
Family	13	2	幫派情義
KinFuben	14	2	幫派試煉
GetMeFight	15	2	來傳功吧
FamilyContribute	16	2	幫派貢獻
PayOff	17	2	發薪水了
FirstAuctionDeal	18	2	我也要買
EquipRefinement	19	3	裝備洗練
EnhanceOnce	20	3	裝備強化
EnhanceFailure	21	3	運氣不好
EnhanceMaster	22	3	強化大師
InsetOnce	23	3	裝備鑲嵌
InsetFull	24	3	鑲嵌滿了
InsetMaster	25	3	鑲嵌大師
PerfectDay	26	4	完美的一天
TheBox	27	4	黃金寶箱
SignIn	28	4	來簽到了
MoneyTree	29	4	搖錢樹
XiuLian	31	5	野外修煉
CommerceTask	32	5	商會任務
Cangbaotu	33	5	藏寶圖
Dungeon	34	5	隨機地宮
HighCangbaotu	35	5	高級藏寶圖
PunishTask	36	5	懲惡任務
TeamFuben	37	5	組隊秘境
SearchFuben	38	5	關卡探索
RandomFuben	39	5	凌絕峰
RankBattle	40	6	武神殿
Battle	41	6	鏖戰沙場
Rank	42	6	浴血奮戰
HeroChallenge	43	6	英雄挑戰
TeamBattle	44	6	通天塔
FactionBattle	45	6	門派競技
WhiteTiger	46	7	白虎堂
Boss	47	7	武林盟主
BossRob	48	7	武林盟主第一次搶積分
BossNumberOne	49	7	武林盟主排名第一
BossChallenge	50	7	挑戰一次武林盟主
FieldLeader	51	7	野外首領
FieldBoss	52	7	歷代名將
KinEscort	53	7	幫派運鏢
DomainBattle	54	7	領土戰
TeacherStudentElite	56	2	師徒精英
TeacherStudentMaster	57	2	師徒宗師
TeamBattleFurniture	58	6	通天塔八層
FactionBattleNew	59	6	門派競技新人王
FactionBattleBrother	60	6	門派競技大師兄
HuaShanLunJian	61	6	華山論劍冠軍
