szTimeFrame	nNpcTID	Npc	Name	nMapId	nX	nY	Desc	nDir
OpenLevel39	1966	納蘭潛凜	鎖雲淵	400	6900	4230	南	49
OpenLevel39	1967	納蘭真	鎖雲淵	400	14350	8920	北	45
OpenLevel39	1968	獨孤劍	鎖雲淵	400	9400	14960	西北	34
OpenLevel39	1969	張琳心	武夷山	401	13300	7390	東北	49
OpenLevel39	1970	南宮飛雲	武夷山	401	4300	13320	西	30
OpenLevel39	1971	燕若雪	武夷山	401	1830	4620	南	41
OpenLevel39	1972	孟知秋	雁蕩山	402	2190	2900	西	19
OpenLevel39	1973	月眉兒	雁蕩山	402	10220	12040	東	32
OpenLevel39	1974	楊影楓	雁蕩山	402	2850	11900	北	23
OpenLevel39	1975	薔薇	洞庭湖畔	403	14000	4260	東	38
OpenLevel39	1976	張如夢	洞庭湖畔	403	3400	7600	西南	25
OpenLevel39	1977	南宮彩虹	洞庭湖畔	403	13800	12900	北	35
OpenLevel39	1978	卓非凡	苗嶺	404	5730	14100	西	36
OpenLevel39	1979	紫軒	苗嶺	404	5170	2860	南	40
OpenLevel39	1980	柴嵩	苗嶺	404	13700	6070	東	0
OpenLevel39	1981	楊瑛	點蒼山	405	6070	11820	西	0
OpenLevel39	1982	胡神醫	點蒼山	405	14240	5440	東	42
OpenLevel39	1983	秋依水	點蒼山	405	14440	14580	北	40
OpenLevel39	1984	萬金財	夜郎廢墟	409	11390	12730	北	39
OpenLevel39	1985	虞姬	夜郎廢墟	409	630	4270	南	50
OpenLevel49	1966	納蘭潛凜	鎖雲淵	400	6900	4230	南	49
OpenLevel49	1967	納蘭真	鎖雲淵	400	14350	8920	北	45
OpenLevel49	1968	獨孤劍	武夷山	401	13300	7390	東北	49
OpenLevel49	1969	張琳心	武夷山	401	4300	13320	西	30
OpenLevel49	1970	南宮飛雲	雁蕩山	402	2190	2900	西	19
OpenLevel49	1971	燕若雪	雁蕩山	402	10220	12040	東	32
OpenLevel49	1972	孟知秋	洞庭湖畔	403	14000	4260	東	38
OpenLevel49	1973	月眉兒	洞庭湖畔	403	3400	7600	西南	25
OpenLevel49	1974	楊影楓	苗嶺	404	5730	14100	西	36
OpenLevel49	1975	薔薇	苗嶺	404	5170	2860	南	40
OpenLevel49	1976	張如夢	點蒼山	405	6070	11820	西	0
OpenLevel49	1977	南宮彩虹	點蒼山	405	14240	5440	東	0
OpenLevel49	1978	卓非凡	夜郎廢墟	409	11390	12730	北	0
OpenLevel49	1979	紫軒	夜郎廢墟	409	630	4270	南	0
OpenLevel49	1980	柴嵩	響水洞	406	10450	12250	北	32
OpenLevel49	1981	楊瑛	響水洞	406	7230	630	東南	55
OpenLevel49	1982	胡神醫	見性峰	407	5430	4560	南	41
