nId	szTitle	nAnswerId	szA1	szA2	szA3	szA4
1	先秦時代，教育內容以“六藝”為主，下列不屬於“六藝”的是	4	射	禦	禮	武
2	科舉制在中國影響深遠，其中殿試錄取者被稱為	3	大元	解元	進士	榜眼
3	“生當做人傑，死亦為鬼雄，至今思項羽，不肯過江東。”為哪位元詩人的作品？	4	李白	杜甫	李商隱	李清照
4	“豆蔻”是指女子多少歲？	1	13	15	18	20
5	中國的書院制度自唐代始，有官方和私人設置的兩類，下列各書院屬於官方創辦的是	3	嶽麓書院	嵩陽書院	集賢書院	白鹿洞書院
6	被魯迅先生稱為“史家之絕唱，無韻之離騷”的是	1	史記	漢書	三國志	資治通鑒
7	中國是世界上最早發明絲織品的國家，養蠶綢絲開始於	4	北京人	半坡人	河姆渡人	大汶口文化中晚期
8	當代史學家郭沫若說：“政啟開元，治宏貞觀。”此為讚揚哪位統治者？	2	唐高宗	武則天	李世明	唐玄宗
9	“物鏡天擇，適者生存”的觀點出自下列哪部著作？	4	《權戒論》	《法意》	《原富》	《天演論》
10	第一次把牛頓力學三大定律介紹到中國的科學家是	3	詹天佑	徐壽	李善蘭	華蘅芳
11	“五嶽”中的南嶽指	1	衡山	恒山	泰山	華山
12	中國最早的字典是	1	《說文解字》	《康熙字典》	《辭海》	《爾雅》
13	不是《詩經》分類方法的是	3	風	雅	賦	頌
14	“滄海桑田”的滄海應是	1	東海	南海	北海	黃海
15	“冬天到了，春天還會遠嗎”語出	2	席勒	雪萊	歌德	徐志摩
16	“禍起蕭牆”的“蕭牆”是家中的哪一堵牆？	1	門牆	後院牆	東牆	內隔牆
17	秦代項羽“破釜沉舟”戰勝秦軍是在哪次戰役？	2	牧野之戰	巨鹿之戰	官渡之戰	昆陽之戰
18	下列哪次古代著名戰役確立了三國鼎立局面？	2	官渡之戰	赤壁之戰	長平之戰	夷陵之戰
19	史書《漢書》是哪位史學家所著？	4	司馬遷	司馬光	左丘明	班固
20	中國古代“十惡不赦”中的首惡是	4	不義	內亂	不道	謀反
21	甲骨文是屬於哪一類文字？	3	表意文字	表音文字	象形文字	楔形文字
22	下列古書中哪部不屬於“四書”之一	2	《大學》	《春秋》	《中庸》	《論語》
23	中國第一部紀傳體通史是	3	《漢書》	《後漢書》	《史記》	《春秋》
24	中國最早的一部醫學理論著作是	2	《本草綱目》	《黃帝內經》	《千金方》	《傷寒雜病論》
25	古人對“幼年的兒童”的代稱是	3	成童	束髮	總角	及笄
26	下列哪位人物不是義大利文藝復興三傑之一？	1	但丁	達芬奇	拉斐爾	米開朗琪羅
27	“香山居士”是中國古代哪位文學家的別稱？	3	李白	杜甫	白居易	王維
28	《紅樓夢》中的“蘅蕪苑”是哪位書中主要人物的住所？	1	薛寶釵	林黛玉	賈探春	賈迎春
29	在蘇州大型園林中具有代表性的園林是	4	拙政園	網師園	怡園	留園
30	“變臉”是哪個劇種的絕活？	3	京劇	豫劇	川劇	莆仙戲
31	下列詞語均出自《詩經》，那個不適用於婚姻方面？	1	與子同袍	之子與歸	宜其室家	其葉榛榛
32	對聯“一室茶香琴韻”的下聯為	4	三山六水為朋	七星光耀蒼穹	萬里同風鵬程	半窗明月梅花
33	傳說中為日神駕車的是	1	望舒	素娥	羲和	豐隆
34	詩句“曾經滄海難為水，除卻巫山不是雲。”的作者是	2	李商隱	元稹	白居易	杜甫
35	“撲朔迷離”一詞出自	4	《左傳》	《國語》	《戰國策》	《木蘭辭》
36	李煜詞“流水落花春去也，天上人間。”出自	1	《浪淘沙》	《烏夜啼》	《破陣子》	《臨江仙》
37	“竹林七賢”是魏晉時期的七位名士的合稱，其中被稱為“酒仙”的是	1	劉伶	山濤	阮籍	王戎
38	《廣陵散》常被作為“絕響”的代名詞，據說是“竹林七賢”中誰的作品？	2	山濤	嵇康	阮鹹	向秀
39	《紅樓夢》中，大觀園曾結海棠詩社。其中自號“瀟湘妃子”的是	2	邢岫煙	林黛玉	薛寶釵	史湘雲
40	“寧可食無肉，不可居無竹。無肉使人瘦，無竹使人俗。”是誰說的？	1	鄭燮	徐渭	米芾	陶潛
41	下列中國古典詩歌的意象中，所表達的含義與其他三項相差較大的一項是	3	長亭	南浦	子規	楊柳
42	《三國演義》、《水滸傳》、《西遊記》並稱“明代小說四大奇書”的是	2	《紅樓夢》	《金瓶梅》	《封神榜》	《老殘遊記》
43	衝冠一怒為紅顏”的詩句，出自下列哪個典故？	2	呂布與貂蟬	吳三桂與陳圓圓	乾隆皇帝與香妃	唐玄宗與楊貴妃
44	元代著名雜劇《西廂記》寫崔鶯鶯和張生的愛情故事。它的作者是誰？	3	關漢卿	馬致遠	王實甫	董解元
45	雜劇《竇娥冤》的作者是哪位元世界文化名人的作品？	3	屈原	李白	關漢卿	馬致遠
46	秦始皇統一全國後，也統一了天下的文字，統一後的文字是	3	金文	甲骨文	小篆	大篆
47	下列古代戰役哪個不是以少勝多的？	4	秦晉淝水之戰	曹袁官渡之戰	燕齊即墨之戰	秦趙長平之戰
48	春秋五霸中哪位霸主最先稱霸？	3	楚莊王	宋襄公	齊桓公	晉文公
49	提出“若使天下兼相愛，國與國不相攻，……則天下治”的先秦思想家是	3	老子	孔子	墨子	孟子
50	戲劇《長生殿》寫的是	4	漢明帝與趙飛燕	後羿與嫦娥	唐高宗與武則天	唐明皇與楊玉環
51	道教全真派的創始人是	2	呂洞賓	王重陽	漢鐘離	丘處機
52	中國書法藝術美的基本精神就是中華民族自古至今所崇尚的	1	尚意美	文以載道	詩言志	中和美
53	請說出北宋和南宋這兩個朝代的都城分別位於今天的哪個城市？	1	開封，杭州	杭州，開封	洛陽、南京	北京、天津
54	“弱冠”是指男子多少歲？	1	20	16	12	13
55	“群山萬壑赴荊門，生長明妃尚有村”，“明妃”是指中國古代四大美人的哪一位？	1	王昭君	楊貴妃	西施	貂禪
56	獨奏曲《十面埋伏》的演奏樂器是	3	笛子	簫	揚琴	琵琶
57	下列樂器中屬於“竹”類材料製作的有	3	磬	笙	簫	篳篥
58	音樂特點高亢寬廣嘹亮的少數民族是	2	維吾爾族	藏族	傣族	蒙古族
59	春秋時期鐘子期與俞伯牙“高山流水覓知音”的典故流傳千古，其中伯牙彈奏“高山流水”的樂器是	1	古琴	古箏	二胡	琵琶
60	中國古代繪畫具有多少的歷史？	1	兩千多年	三千多年	四千多年	五千多年
61	《步輦圖》是一幅著名的人物畫，其作者是誰？	2	吳道子	閻立本	周日方	
62	中國畫《清明上河圖》是哪個朝代的作品？	2	唐代	宋代	明代	清代
63	請補全：天行健，君子以（？）。地勢坤，君子以厚德載物。	3	生生不息	奮鬥不息	自強不息	自勉不息
64	與“合抱之木，生於毫未；九層之台，起於累土”這句話包含同樣哲學道理的成語是	1	集腋成裘	風起雲湧	禍福相倚	千慮一失
65	成也蕭何，敗也蕭何，說的是誰的經歷？	3	劉邦	項羽	韓信	張良
66	洛陽紙貴是指誰的哪個作品在當時引起轟動？	3	曹植的洛神賦	曹植的銅雀台賦	左思的三都賦	蘇軾的前赤壁賦
67	中國古代保存神話資料最多的著作是哪部？	2	搜神記	山海經	聊齋志異	封神榜
68	歷史上的“聖人”中，醫聖是誰？	3	孫思邈	華佗	張仲景	孔子
69	中國很早就有了穿木屐的相關記載，東晉時謝靈運的“謝公屐”其用途是：	3	舞鞋	上朝穿的朝鞋	登山鞋	日常便鞋
70	孔子提倡中庸之道的理論基礎是	2	陰陽五行	天人合一	道法自然	人定勝天
71	人們常說：“無事不登三寶殿”其中的“三寶”不包含	4	佛	法	僧	道
72	“中秋節”是指哪一天？	4	西曆八月十五	農曆八月十四	西曆八月十六	農曆八月十五
73	中秋節被稱為中國四大傳統節日，以下不屬於四大之一的是？	4	端午節	春節	清明節	重陽節
74	中秋節的習俗有喝酒，一般是哪種酒？	1	桂花酒	高粱酒	米酒	杏花酒
75	下列不屬於中秋節風俗習慣的是哪一種？	4	猜燈謎	拜月	吃月餅	登高
76	導致嫦娥奔月的元兇是誰？	2	後裔	蓬蒙	吳剛	王母
77	下列人物最有可能是後裔情敵的是誰？	4	玉皇大帝	二郎神	天蓬元帥	吳剛
78	世界天氣的推動力是？	1	太陽	月亮	地磁	風
79	光年是什麼單位？	2	時間	距離	力的大小	磁場強度
80	蛔蟲生活在人體內屬於什麼關係？	1	寄生	共生	孿生	
81	世界水日是哪一天？	2	2月22日	3月22日	4月22日	5月22日
82	以下不屬於鳥類的是	3	喜鵲	麻雀	蝙蝠	布穀
83	人體最大塊的肌肉是	4	胸肌	腹肌	大腿肌肉	臀肌
84	中國傳統表示次序的“天干”一共有幾個字？	1	10	11	12	13
85	漢白玉是一種	2	水晶	大理石	玉石	石灰岩
86	人在補充鈣時，應同時加服	3	維生素B	維生素C	維生素D	維生素E
87	成語“望洋興嘆”中的“望洋”指的是	4	看著大海	低頭思考	夜班失眠	仰望的樣子
88	 奧林匹克運動會的發源地是	2	古羅馬	古希臘	古代中國	古巴比倫
89	第一屆奧運會什麼時候開始舉行？	3	1890年	1894年	1896年	1900年
90	奧運會旗是:“五色環”旗，其中黃色環代表	1	亞洲	歐洲	非洲	大洋洲
91	圍棋共有多少個棋子？	2	306	361	362	365
92	下列哪一個口號不是奧運會的口號？	4	更高	更快	更強	更好
93	名言“生命在於運動”誰說的？	3	車爾尼夫斯基	普希金	伏爾泰	契訶夫
94	下列哪個國家不是聯合國常任理事國之一？	4	英國	法國	中國	德國
95	世界上最長的運河是哪一條？	1	中國京杭大運河	蘇伊士運河	巴拿馬運河	
96	下列哪一位著名畫家擅長畫虎？	2	張大千	張善子	徐悲鴻	齊白石
97	世界上最大的宮殿是	1	故宮	白宮	愛麗舍宮	克里姆林宮
98	“山重水複疑無路，柳暗花明又一村”是誰的詩句？	4	李白	辛棄疾	蘇軾	陸遊
99	看魚鱗能識魚齡，魚鱗上的一圈是表示	1	半歲	一歲	二歲	一歲半
100	“打蛇打七寸”的七寸是指	2	咽喉	心臟	頭部	尾巴
101	世界上最大的動物是哪一種？	2	鯨魚	水母	恐龍	大象
102	“破釜沉舟”這個成語出於哪次戰爭？	3	赤壁之戰	長平之戰	巨鹿之戰	官渡之戰
103	“知天命”代指什麼年紀？	4	二十歲	七十歲	三十歲	五十歲
104	下列古都哪個被稱為“六朝古都”	3	洛陽	西安	南京	北京
105	“紅娘”由來是出自下列哪部古典名劇	2	《琵琶記》	《西廂記》	《長生殿》	《桃花扇》
106	有“二十萬行長詩”之稱的世界最長的史詩是	1	《摩訶婆羅多》	《羅摩衍那》	《荷馬史詩》	《唐璜》
107	莎士比亞四大悲劇中哪部又稱“王子復仇記”？	2	《奧賽羅》	《哈姆雷特》	《馬克白》	《李爾王》
