ItemId	MaxItemCount	Desc	TypeName	OrgPrice	Price1	Price2	Price3	Price4	Price5	Price6	Price7	Price8	Price9	MaxPriceRate1	MaxPriceRate2	MaxPriceRate3	MaxPriceRate4	MaxPriceRate5	MaxPriceRate6	MaxPriceRate7	MaxPriceRate8	MaxPriceRate9
1526	1	高級附魔石	消耗品	5000	5000	5000	5000	5000	5000	5000	5000	5000		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1392	1	2級附魔石·攻擊	消耗品	2000	2000	2000	2000	2000	2000	2000	2000	2000		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
3714	1	洗髓經·上卷	消耗品	500	500	500	500	500	500	500	500	500		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
3715	1	洗髓經·中卷	消耗品	750	750	750	750	750	750	750	750	750		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1430	1	武林秘笈·上卷	消耗品	500	500	500	500	450	450	400	400	350		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1431	1	武林秘笈·中卷	消耗品	750	750	750	750	750	750	675	675	600		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1432	1	武林秘笈·下卷	消耗品	1000	1000	1000	1000	1000	1000	1000	1000	1000		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
2424	20	門派信物	消耗品	20	20	20	20	20	20	20	20	20		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
2527	20	馬牌	消耗品	60	60	60	60	60	60	60	60	60		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
2396	1	高級修為書	消耗品	1000	1000	1000	1000	1000	1000	1000	1000	1000		2.5	2.5	2.5	2.5	2	1.5	1.5	1.2	1.2
2804	1	和氏璧	消耗品	600	600	600	600	600	600	600	600	600		2.5	2.5	2.5	2.5	2.5	2	1.5	1.2	1
788	1	高級藏寶圖	消耗品	200	200	200	200	200	200	200	200	200		2.5	2.5	2.5	2.5	2.5	2.5	2	2	2
4462	5	元氣瓶（小）	消耗品	100	100	100	100	100	100	100	100	100		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
4816	5	元氣瓶（中）	消耗品	300	300	300	300	300	300	300	300	300		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
4817	1	元氣瓶（大）	消耗品	1000	1000	1000	1000	1000	1000	1000	1000	1000		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1397	1	傳說令	頭銜令牌	5000	5000	5000	5000	5000	5000	5000	5000	5000		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1396	1	皇帝令	頭銜令牌	3000	3000	3000	3000	3000	3000	3000	3000	3000		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2
1395	1	逐鹿令	頭銜令牌	1000	1000	1000	1000	1000	1000	1000	1000	1000		2.5	2.5	2.5	2.5	2.5	2	1.5	1.2	1
1394	1	名將令	頭銜令牌	500	500	500	500	500	500	500	500	500		2.5	2.5	2.5	2	1.8	1.5	1.2	1	1
1393	1	盟主令	頭銜令牌	300	300	300	300	300	300	300	300	300		2.5	2.5	2	1.5	1.5	1.2	1.2	1	1
5561	1	T11稀有武器	裝備	28500	28500	28500	28500	28500	28500	28500	28500	28500		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
5621	1	T11稀有衣服	裝備	17100	17100	17100	17100	17100	17100	17100	17100	17100		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
5571	1	T11稀有項鍊	裝備	11400	11400	11400	11400	11400	11400	11400	11400	11400		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
5581	1	T11稀有戒指	裝備	11400	11400	11400	11400	11400	11400	11400	11400	11400		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
5591	1	T11稀有玉佩	裝備	11400	11400	11400	11400	11400	11400	11400	11400	11400		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
5601	1	T11稀有護身符	裝備	11400	11400	11400	11400	11400	11400	11400	11400	11400		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
5611	1	T11稀有帽子	裝備	5700	5700	5700	5700	5700	5700	5700	5700	5700		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
5631	1	T11稀有護腕	裝備	5700	5700	5700	5700	5700	5700	5700	5700	5700		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
5641	1	T11稀有腰帶	裝備	5700	5700	5700	5700	5700	5700	5700	5700	5700		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
5651	1	T11稀有鞋子	裝備	5700	5700	5700	5700	5700	5700	5700	5700	5700		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1131	1	T10稀有武器	裝備	22500	22500	22500	22500	22500	22500	22500	22500	22500		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1191	1	T10稀有衣服	裝備	13500	13500	13500	13500	13500	13500	13500	13500	13500		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1141	1	T10稀有項鍊	裝備	9000	9000	9000	9000	9000	9000	9000	9000	9000		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1151	1	T10稀有戒指	裝備	9000	9000	9000	9000	9000	9000	9000	9000	9000		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1161	1	T10稀有玉佩	裝備	9000	9000	9000	9000	9000	9000	9000	9000	9000		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1171	1	T10稀有護身符	裝備	9000	9000	9000	9000	9000	9000	9000	9000	9000		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1181	1	T10稀有帽子	裝備	4500	4500	4500	4500	4500	4500	4500	4500	4500		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1201	1	T10稀有護腕	裝備	4500	4500	4500	4500	4500	4500	4500	4500	4500		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1211	1	T10稀有腰帶	裝備	4500	4500	4500	4500	4500	4500	4500	4500	4500		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1221	1	T10稀有鞋子	裝備	4500	4500	4500	4500	4500	4500	4500	4500	4500		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1130	1	T9稀有武器	裝備	18000	18000	18000	18000	18000	18000	18000	18000	18000		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1190	1	T9稀有衣服	裝備	10800	10800	10800	10800	10800	10800	10800	10800	10800		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1140	1	T9稀有項鍊	裝備	7200	7200	7200	7200	7200	7200	7200	7200	7200		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1150	1	T9稀有戒指	裝備	7200	7200	7200	7200	7200	7200	7200	7200	7200		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1160	1	T9稀有玉佩	裝備	7200	7200	7200	7200	7200	7200	7200	7200	7200		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1170	1	T9稀有護身符	裝備	7200	7200	7200	7200	7200	7200	7200	7200	7200		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1180	1	T9稀有帽子	裝備	3600	3600	3600	3600	3600	3600	3600	3600	3600		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1200	1	T9稀有護腕	裝備	3600	3600	3600	3600	3600	3600	3600	3600	3600		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1210	1	T9稀有腰帶	裝備	3600	3600	3600	3600	3600	3600	3600	3600	3600		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1220	1	T9稀有鞋子	裝備	3600	3600	3600	3600	3600	3600	3600	3600	3600		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1129	1	T8稀有武器	裝備	13500	13500	13500	13500	13500	13500	13500	13500	13500		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1189	1	T8稀有衣服	裝備	8100	8100	8100	8100	8100	8100	8100	8100	8100		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1139	1	T8稀有項鍊	裝備	5400	5400	5400	5400	5400	5400	5400	5400	5400		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1149	1	T8稀有戒指	裝備	5400	5400	5400	5400	5400	5400	5400	5400	5400		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1159	1	T8稀有玉佩	裝備	5400	5400	5400	5400	5400	5400	5400	5400	5400		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1169	1	T8稀有護身符	裝備	5400	5400	5400	5400	5400	5400	5400	5400	5400		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1179	1	T8稀有帽子	裝備	2700	2700	2700	2700	2700	2700	2700	2700	2700		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1199	1	T8稀有護腕	裝備	2700	2700	2700	2700	2700	2700	2700	2700	2700		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1209	1	T8稀有腰帶	裝備	2700	2700	2700	2700	2700	2700	2700	2700	2700		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1219	1	T8稀有鞋子	裝備	2700	2700	2700	2700	2700	2700	2700	2700	2700		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
1128	1	T7稀有武器	裝備	10000	10000	10000	10000	10000	10000	9000	9000	9000		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
