AwardID	Rank	Award	AwardRate	Rate	Desc
1	1	item|947|4;item|3085|1			寒玉鹿王
1	2	item|947|2;item|3086|1			寒玉鹿王
1	3	item|947|1;item|3087|1			寒玉鹿王
1	-1	item|3087|1			
2	1	item|948|4;item|3085|1			大地狼王
2	2	item|948|2;item|3086|1			大地狼王
2	3	item|948|1;item|3087|1			大地狼王
2	-1	item|3087|1			
3	1	item|949|4;item|3085|1			白眉猴王
3	2	item|949|2;item|3086|1			白眉猴王
3	3	item|949|1;item|3087|1			白眉猴王
3	-1	item|3087|1			
4	1	item|947|2;item|3085|1			寒玉鹿王
4	2	item|947|1;item|3086|1			寒玉鹿王
4	3	item|3087|1	item|947|1	50	寒玉鹿王
4	-1	item|3087|1			
5	1	item|948|2;item|3085|1			大地狼王
5	2	item|948|1;item|3086|1			大地狼王
5	3	item|3087|1	item|948|1	50	大地狼王
5	-1	item|3087|1			
6	1	item|949|2;item|3085|1			白眉猴王
6	2	item|949|1;item|3086|1			白眉猴王
6	3	item|3087|1	item|949|1	50	白眉猴王
6	-1	item|3087|1			
7	1	item|952|4;item|3085|1			九尾狐王
7	2	item|952|2;item|3086|1			九尾狐王
7	3	item|952|1;item|3087|1			九尾狐王
7	-1	item|3087|1			
8	1	item|954|4;item|3085|1			雙首異獸
8	2	item|954|2;item|3086|1			雙首異獸
8	3	item|954|1;item|3087|1			雙首異獸
8	-1	item|3087|1			
9	1	item|953|4;item|3085|1			奔焰豹王
9	2	item|953|2;item|3086|1			奔焰豹王
9	3	item|953|1;item|3087|1			奔焰豹王
9	-1	item|3087|1			
10	1	item|955|4;item|3085|1			九尾狐王
10	2	item|955|2;item|3086|1			九尾狐王
10	3	item|955|1;item|3087|1			九尾狐王
10	-1	item|3087|1			
11	1	item|2224|4;item|3085|1			雙首異獸
11	2	item|2224|2;item|3086|1			雙首異獸
11	3	item|2224|1;item|3087|1			雙首異獸
11	-1	item|3087|1			
12	1	item|956|4;item|3085|1			奔焰豹王
12	2	item|956|2;item|3086|1			奔焰豹王
12	3	item|956|1;item|3087|1			奔焰豹王
12	-1	item|3087|1			
13	1	item|955|2;item|3085|1			九尾狐王
13	2	item|955|1;item|3086|1			九尾狐王
13	3	item|3087|1	item|955|1	50	九尾狐王
13	-1	item|3087|1			
14	1	item|2224|2;item|3085|1			雙首異獸
14	2	item|2224|1;item|3086|1			雙首異獸
14	3	item|3087|1	item|2224|1	50	雙首異獸
14	-1	item|3087|1			
15	1	item|956|2;item|3085|1			奔焰豹王
15	2	item|956|1;item|3086|1			奔焰豹王
15	3	item|3087|1	item|956|1	50	奔焰豹王
15	-1	item|3087|1			
16	1	item|957|4;item|3085|1			定海金剛
16	2	item|957|2;item|3086|1			定海金剛
16	3	item|957|1;item|3087|1			定海金剛
16	-1	item|3087|1			
17	1	item|958|4;item|3085|1			金翅鵬皇
17	2	item|958|2;item|3086|1			金翅鵬皇
17	3	item|958|1;item|3087|1			金翅鵬皇
17	-1	item|3087|1			
18	1	item|959|4;item|3085|1			銀角犀皇
18	2	item|959|2;item|3086|1			銀角犀皇
18	3	item|959|1;item|3087|1			銀角犀皇
18	-1	item|3087|1			
19	1	item|960|4;item|3085|1			定海金剛
19	2	item|960|2;item|3086|1			定海金剛
19	3	item|960|1;item|3087|1			定海金剛
19	-1	item|3087|1			
20	1	item|961|4;item|3085|1			金翅鵬皇
20	2	item|961|2;item|3086|1			金翅鵬皇
