ShowAwardID	Award1	Award2	Award3	Award4	Award5
1	item|1406|0	item|2240|0	item|1706|0	item|1393|0	
2	item|1407|0	item|2240|0	item|1705|0	item|1393|0	
3	item|2221|0	item|2240|0	item|1704|0	item|1393|0	
4	item|1408|0	item|2240|0	item|1747|0	item|1393|0	
5	item|2222|0	item|2240|0	item|1745|0	item|1393|0	
6	item|1409|0	item|2240|0	item|1746|0	item|1393|0	
7	item|1408|0	item|2240|0	item|1747|0	item|1393|0	
8	item|2222|0	item|2240|0	item|1745|0	item|1393|0	
9	item|1409|0	item|2240|0	item|1746|0	item|1393|0	
10	item|1752|0	item|1124|0	item|1377|0	item|1394|0	
11	item|1751|0	item|1124|0	item|1376|0	item|1394|0	
12	item|1753|0	item|1124|0	item|2235|0	item|1394|0	
13	item|1749|0	item|1124|0	item|1375|0	item|1394|0	
14	item|1748|0	item|1124|0	item|1374|0	item|1394|0	
15	item|1750|0	item|1124|0	item|2236|0	item|1394|0	
16	item|1752|0	item|1125|0	item|1377|0	item|1394|0	
17	item|1751|0	item|1125|0	item|1376|0	item|1394|0	
18	item|1753|0	item|1125|0	item|2235|0	item|1394|0	
19	item|1749|0	item|1125|0	item|1375|0	item|1394|0	
20	item|1748|0	item|1125|0	item|1374|0	item|1394|0	
21	item|1750|0	item|1125|0	item|2236|0	item|1394|0	
22	item|1752|0	item|2089|0	item|1377|0	item|1394|0	
23	item|1751|0	item|2089|0	item|1376|0	item|1394|0	
24	item|1753|0	item|2089|0	item|2235|0	item|1394|0	
25	item|1749|0	item|2089|0	item|1375|0	item|1394|0	
26	item|1748|0	item|2089|0	item|1374|0	item|1394|0	
27	item|1750|0	item|2089|0	item|2236|0	item|1394|0	
28	item|1752|0	item|2090|0	item|1377|0	item|1395|0	
29	item|1751|0	item|2090|0	item|1376|0	item|1395|0	
30	item|1753|0	item|2090|0	item|2235|0	item|1395|0	
31	item|1749|0	item|2090|0	item|1375|0	item|1395|0	
32	item|1748|0	item|2090|0	item|1374|0	item|1395|0	
33	item|1750|0	item|2090|0	item|2236|0	item|1395|0	
34	item|2089|0	item|1398|0	item|2672|0	item|1395|0	
