TimeFrame	Cross	BaoDiMJLingParam	BaoDiItemID1	BaoDiItemParam1	BaoDiItemKinMsg1	BaoDiItemWorldMsg1	BaoDiItemID2	BaoDiItemParam2	BaoDiItemKinMsg2	BaoDiItemWorldMsg2	BaoDiItemID3	BaoDiItemParam3	BaoDiItemKinMsg3	BaoDiItemWorldMsg3	RandomSoulParam	RandomMJStoneParam	RandomMJLingParam	ExtRandomItem1Param	RandomSoulParam1	RandomMJStoneParam1	RandomMJLingParam1	ExtRandomItem1Param1	RandomSoulParam2	RandomMJStoneParam2	RandomMJLingParam2	ExtRandomItem1Param2
OpenDay7			1124	1		1									0.166667	0.333333	0.5									
OpenLevel59		0.25	1125	0.75		1									0.166666	0.416667	0.416667									
OpenLevel69		0.25	2089	0.375		1	4317	0.375							0.166666	0.416667	0.416667									
OpenDay52		0.25	2089	0.375		1	4317	0.375							0.166666	0.416667	0.416667		0.25	0.333333	0.416667					
OpenLevel79		0.125	2090	0.5		1	4317	0.375							0.166666	0.416667	0.416667		0.25	0.333333	0.416667					
OpenDay99		0.125	2090	0.5		1	4317	0.125			4318	0.25			0.166666	0.416667	0.416667		0.25	0.333333	0.416667					
OpenLevel89		0.125	2943	0.5		1	4317	0.125			4318	0.25			0.166667	0.5	0.333333		0.333333	0.333333	0.333334					
OpenDay128		0.125	2943	0.5		1	4317	0.125			4318	0.25			0.166667	0.5	0.333333		0.333333	0.333333	0.333334					
OpenLevel99		0.125	2944	0.5		1	4317	0.1			4318	0.275			0.166667	0.5	0.333333		0.333333	0.333333	0.333334					
OpenDay224		0.125	2944	0.5		1	4318	0.125			4319	0.25	1		0.166667	0.5	0.333333		0.333333	0.333333	0.333334					
OpenLevel109		0.125	2945	0.5		1	4318	0.125			4319	0.25	1		0.166667	0.5	0.333333		0.333333	0.333333	0.333334					
OpenLevel119		0.125	3667	0.5		1	4318	0.1			4319	0.275	1		0.166667	0.5	0.333333		0.333333	0.333333	0.333334					
OpenDay353		0.125	3667	0.5		1	4318	0.1			4319	0.275	1		0.166667	0.5	0.333333		0.333333	0.333333	0.333334		0.375	0.375	0.125	0.125
OpenDay399		0.125	3667	0.5		1	4319	0.125	1		4320	0.25		1	0.166667	0.5	0.333333		0.333333	0.333333	0.333334		0.375	0.375	0.125	0.125
OpenLevel129		0.125	5761	0.5		1	4319	0.125	1		4320	0.25		1	0.166667	0.5	0.333333		0.333333	0.333333	0.333334		0.375	0.375	0.125	0.125
OpenDay353	1	0.125	3667	0.5		1	4318	0.1			4319	0.275	1						0.333333	0.333333	0.333334		0.1875	0.375	0.125	0.125
OpenDay399	1	0.125	3667	0.5		1	4319	0.125	1		4320	0.25		1					0.333333	0.333333	0.333334		0.1875	0.375	0.125	0.125
OpenLevel129	1	0.125	5761	0.5		1	4319	0.125	1		4320	0.25		1					0.333333	0.333333	0.333334		0.1875	0.375	0.125	0.125
